,song_name,song_id,song_genre,artist,artist_id,artist_genre,release_date,duration_ms,popularity
0,Rolling In The Deep,7h8Ud480Fm4ReUVxgFF9ZX,blues,Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'pop soul', 'uk pop']",2011-01-16,228293,2
1,Onions,5qEo2fMErPaePE6EMT2mjR,blues,John Lee Hooker,1yNOfXGQNGjAynk77wv85x,"['blues', 'blues rock', 'classic rock', 'delta blues', 'electric blues', 'memphis blues', 'soul', 'traditional blues']",2012-09-11,131422,0
2,Walkin Man,1oKsHUHtU0jsbbBbLBQwY1,blues,Seasick Steve,6OVkHZQP8QoBYqr1ejCGDv,"['blues', 'blues rock', 'country blues', 'modern blues', 'modern blues rock', 'texas blues']",2008-07-15,164680,0
3,Walking By Myself - Remastered,3Q58LPjRulTqYtlOX1DFVQ,blues,Freddie King,5dCuFngSPyOOnTAvrC7v2s,"['blues', 'blues rock', 'classic rock', 'electric blues', 'texas blues', 'traditional blues']",2000-01-01,171133,17
4,Iceman,6YGREHE5JCSWpkW82QWrv0,blues,Albert Collins,1uFixbBAduJkFAeRKznkvW,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']",1991-01-01,302733,36
5,She's Nineteen Years Old,2VHeGMakltOZolXDbvVdSw,blues,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",2012-09-05,201773,0
6,Big Boss Man,4qrrz2Pd8hMpPyIKSscyNs,blues,Jimmy Reed,41ZMMuFFLPTVPkUsSI5KlV,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rock-and-roll', 'traditional blues']",2003,166533,32
7,Never Go West,5plqZ0v9oNxmu6l7w3mBN6,blues,Seasick Steve,6OVkHZQP8QoBYqr1ejCGDv,"['blues', 'blues rock', 'country blues', 'modern blues', 'modern blues rock', 'texas blues']",2011-11-11,210546,0
8,Before You Accuse Me,1tz3ASUgO1go23r8A2TXfb,blues,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",1992-08-25,223946,0
9,"Lenny - Live at The Spectrum, Montreal; Augusy 17 1984 (Late Show)",5w8Ti9LEgtN2wXnJ4W4qpI,blues,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,667200,25
10,All Your Love - Stereo Album Version,5APxd9Oameqe2EF2h5lDHI,blues,John Mayall & The Bluesbreakers,2ScuQMRWThcifBRIvNDFDC,"['blues', 'blues rock', 'british blues', 'british invasion', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'rock']",1966-07-22,214733,0
11,Six Days On the Road,29fflNwELe8dHQ2zN4IAGw,blues,Taj Mahal,1aTDTChWWyiJH3SEnYrdVp,"['acoustic blues', 'blues', 'blues rock', 'classic rock', 'country blues', 'country rock', 'folk rock', 'funk', 'harmonica blues', 'jazz blues', 'modern blues', 'roots rock', 'soul', 'traditional blues']",2005,180413,19
12,Ball And Biscuit,1GTHfNDbLFT6pgDFJvPFxu,blues,The White Stripes,4F84IBURUo98rz4r61KF70,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",2003-04-01,439000,0
13,Sweet Little Angel,6m9aTQU6eMX3ZXzCV3PRKk,blues,B.B. King,5xLSa7l4IV1gsQfhAMvl0U,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",2011-08-31,181560,0
14,Mary Had a Little Lamb,50yVEqOnLHtRTHWq3PWBuZ,blues,"['Stevie Ray Vaughan', 'Double Trouble']","['5fsDcuclIe8ZiBD5P787K1', '05m9VGwNd8glcJ2o5UN8H3']","[['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues'], []]",2007-08-21,166760,0
