,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,I Love The Life I Live (I Live The Life I Love),12AwEoqFVKGaZBRcrI1Y2K,blues,https://open.spotify.com/track/12AwEoqFVKGaZBRcrI1Y2K,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",1997-05-20,172600,0,0.641,0.346,2,-11.2,1,0.0984,0.654,0.00289,0.183,0.542,96.415,172600,4
1,Come Back Baby,48al0wZBGItngZQZED80WO,blues,https://open.spotify.com/track/48al0wZBGItngZQZED80WO,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",1957-01-01,186639,34,0.584,0.11,3,-12.535,1,0.0376,0.907,2.81e-06,0.113,0.369,129.765,186640,3
2,Gloomy Sunday,0TTiEmvnsCNtqRWUbvmSF7,blues,https://open.spotify.com/track/0TTiEmvnsCNtqRWUbvmSF7,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",2008-05-27,195413,0,0.382,0.125,7,-8.953,0,0.0385,0.989,1.09e-05,0.13,0.263,173.106,195413,3
3,Bad Luck,6qrnUwHfWubFB8tdvrAsby,blues,https://open.spotify.com/track/6qrnUwHfWubFB8tdvrAsby,B.B. King,5xLSa7l4IV1gsQfhAMvl0U,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",2008-08-18,174666,7,0.644,0.537,2,-5.768,1,0.0763,0.829,0.0,0.361,0.793,102.561,174667,4
4,"Lenny - Live at The Spectrum, Montreal; Augusy 17 1984 (Late Show)",5w8Ti9LEgtN2wXnJ4W4qpI,blues,https://open.spotify.com/track/5w8Ti9LEgtN2wXnJ4W4qpI,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,667200,25,0.351,0.311,8,-13.927,1,0.0345,0.319,0.126,0.313,0.221,89.495,667200,4
5,Badge,4a7Xu1edRTAGhjScmeGsUF,blues,https://open.spotify.com/track/4a7Xu1edRTAGhjScmeGsUF,Cream,74oJ4qxwOZvX6oSsu1DGnw,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']",2005-01-01,165346,24,0.594,0.678,7,-11.415,1,0.0397,0.449,0.000149,0.0833,0.73,105.987,165347,4
6,When My Train Pulls In,2mdxGlwrhtkuxgzbH7LOIh,blues,https://open.spotify.com/track/2mdxGlwrhtkuxgzbH7LOIh,Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,"['blues rock', 'electric blues', 'funk', 'modern alternative rock', 'modern blues', 'modern blues rock', 'rock', 'soul blues', 'texas blues']",2012-10-22,465960,42,0.285,0.979,11,-2.262,0,0.129,0.00405,0.061,0.267,0.323,165.976,465960,4
7,My Baby Just Cares For Me - from the Hootenanny 2009,5is9zAiBG9qu8sbR71lnZp,blues,https://open.spotify.com/track/5is9zAiBG9qu8sbR71lnZp,Jools Holland & Florence Welch,4sM0snyUavB4fe8FBKhGVy,[],2012-11-29,219053,27,0.532,0.889,0,-5.0,1,0.0895,0.32,9.58e-06,0.892,0.699,120.453,219053,4
8,Help Me,0reXR4LnjbkmgJu5gNcF6t,blues,https://open.spotify.com/track/0reXR4LnjbkmgJu5gNcF6t,Sonny Boy Williamson II,69VgCcXFV59QuQWEXSTxfK,"['acoustic blues', 'blues', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",1997-01-01,191840,0,0.736,0.409,5,-10.529,0,0.0465,0.692,0.265,0.424,0.806,114.067,191840,4
9,"Shame, Shame, Shame",2uRHKB4BYOF2A6a6PZXKE0,blues,https://open.spotify.com/track/2uRHKB4BYOF2A6a6PZXKE0,Jimmy Reed,41ZMMuFFLPTVPkUsSI5KlV,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rock-and-roll', 'traditional blues']",2003,169306,36,0.571,0.498,2,-9.77,1,0.0303,0.965,0.5,0.307,0.9,161.805,169307,4
