,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,I Love The Life I Live (I Live The Life I Love),12AwEoqFVKGaZBRcrI1Y2K,blues,https://open.spotify.com/track/12AwEoqFVKGaZBRcrI1Y2K,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",1997-05-20,172600,0,0.6409999999999999,0.34600000000000003,2,-11.2,1,0.0984,0.654,0.0028899999999999998,0.183,0.542,96.415,172600,4,"See you watching me like a hawk
I don't mind the way you talk
But if you touch me somethin's got to give
I life the life I love and I love the life I live
So if you see me and think I'm wrong
Don't worry 'bout me just let me [Incomprehensible]
My sweet life ain't nothing but a thrill
I life the life I love and I love the life I live
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Come Back Baby,48al0wZBGItngZQZED80WO,blues,https://open.spotify.com/track/48al0wZBGItngZQZED80WO,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",1957-01-01,186639,34,0.584,0.11,3,-12.535,1,0.0376,0.907,2.81e-06,0.113,0.369,129.765,186640,3,"Oh, come back baby
Oh, mama, please, don't go, yeah
'Cause the way I love you
Child, you'll never know

Oh, come back baby
Yeah, yeah
Let's talk it over one more time
Oh, now, now

Well, I admit baby
That I was wrong
Don't you know, baby?
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
2,2,Gloomy Sunday,0TTiEmvnsCNtqRWUbvmSF7,blues,https://open.spotify.com/track/0TTiEmvnsCNtqRWUbvmSF7,Billie Holiday,1YzCsTRb22dQkh9lghPIrp,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",2008-05-27,195413,0,0.382,0.125,7,-8.953,0,0.0385,0.9890000000000001,1.09e-05,0.13,0.263,173.106,195413,3,
3,3,Bad Luck,6qrnUwHfWubFB8tdvrAsby,blues,https://open.spotify.com/track/6qrnUwHfWubFB8tdvrAsby,B.B. King,5xLSa7l4IV1gsQfhAMvl0U,"['blues', 'blues rock', 'classic rock', 'electric blues', 'jazz blues', 'soul blues', 'traditional blues']",2008-08-18,174666,7,0.644,0.537,2,-5.768,1,0.0763,0.8290000000000001,0.0,0.361,0.7929999999999999,102.561,174667,4,"Well, my bad luck is falling
Falling down like rain
Bad luck is falling
Falling down like rain
No matter what I do
Seems like my luck won't never change

I felt kinda lucky
My luck was running slow
The last hand I caught four aces
And the police broke down the door
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,"Lenny - Live at The Spectrum, Montreal; Augusy 17 1984 (Late Show)",5w8Ti9LEgtN2wXnJ4W4qpI,blues,https://open.spotify.com/track/5w8Ti9LEgtN2wXnJ4W4qpI,Stevie Ray Vaughan,5fsDcuclIe8ZiBD5P787K1,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']",1984,667200,25,0.35100000000000003,0.311,8,-13.927,1,0.0345,0.319,0.126,0.313,0.221,89.495,667200,4,lyrics not found
5,5,Badge,4a7Xu1edRTAGhjScmeGsUF,blues,https://open.spotify.com/track/4a7Xu1edRTAGhjScmeGsUF,Cream,74oJ4qxwOZvX6oSsu1DGnw,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'psychedelic rock', 'rock', 'roots rock', 'supergroup']",2005-01-01,165346,24,0.594,0.6779999999999999,7,-11.415,1,0.0397,0.449,0.000149,0.0833,0.73,105.98700000000001,165347,4,
6,6,When My Train Pulls In,2mdxGlwrhtkuxgzbH7LOIh,blues,https://open.spotify.com/track/2mdxGlwrhtkuxgzbH7LOIh,Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,"['blues rock', 'electric blues', 'funk', 'modern alternative rock', 'modern blues', 'modern blues rock', 'rock', 'soul blues', 'texas blues']",2012-10-22,465960,42,0.285,0.9790000000000001,11,-2.262,0,0.129,0.00405,0.061,0.267,0.32299999999999995,165.976,465960,4,"Every day, nothing seems to change
Everywhere I go, I keep seeing the same old thing
And I, I can't take it no more
I would leave this town but I, I ain't got no where else to go, no

Wake up in the morning to more, more bad news
And I, sometimes I feel like I was born to lose
And I, it's driving me out of my mind
Gonna catch the next train, and I'll move on down the line, yeah

Well, I'll be ready now
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,My Baby Just Cares For Me - from the Hootenanny 2009,5is9zAiBG9qu8sbR71lnZp,blues,https://open.spotify.com/track/5is9zAiBG9qu8sbR71lnZp,Jools Holland & Florence Welch,4sM0snyUavB4fe8FBKhGVy,[],2012-11-29,219053,27,0.532,0.889,0,-5.0,1,0.0895,0.32,9.58e-06,0.892,0.6990000000000001,120.45299999999999,219053,4,"My baby don't care for shows
My baby don't care for clothes
He cares for me
My baby don't care for cars and races
My baby don't care for high-tone places

Liz Taylor is not his style
And even Lana Turner's smile
Is somethin' he can't see
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Help Me,0reXR4LnjbkmgJu5gNcF6t,blues,https://open.spotify.com/track/0reXR4LnjbkmgJu5gNcF6t,Sonny Boy Williamson II,69VgCcXFV59QuQWEXSTxfK,"['acoustic blues', 'blues', 'chicago blues', 'country blues', 'delta blues', 'harmonica blues', 'traditional blues']",1997-01-01,191840,0,0.736,0.409,5,-10.529000000000002,0,0.0465,0.6920000000000001,0.265,0.424,0.8059999999999999,114.06700000000001,191840,4,"You got to help me
I can't do it all by myself
You got to help me, baby
I can't do it all by myself
You know if you don't help me darling
I'll have to find myself somebody else

I may have to wash
May have to sew
I may have to cook
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,"Shame, Shame, Shame",2uRHKB4BYOF2A6a6PZXKE0,blues,https://open.spotify.com/track/2uRHKB4BYOF2A6a6PZXKE0,Jimmy Reed,41ZMMuFFLPTVPkUsSI5KlV,"['blues', 'blues rock', 'chicago blues', 'electric blues', 'harmonica blues', 'rock-and-roll', 'traditional blues']",2003,169306,36,0.5710000000000001,0.498,2,-9.77,1,0.0303,0.965,0.5,0.307,0.9,161.805,169307,4,"Well, I tried to tell you, baby
But it makes no sense
Know you got me, baby
Up against this fence

An' ain't that a shame, shame, shame,
Shame, shame the way you do?
Well, it's a shame, shame, shame
Shame, shame, on you

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
10,10,River of No Return,2YpjANn5JpgZI49NkKV7ZF,blues,https://open.spotify.com/track/2YpjANn5JpgZI49NkKV7ZF,The Jeff Healey Band,3d2hJTVTwo08F9b0ZFQukJ,"['blues rock', 'canadian blues', 'classic rock', 'electric blues', 'modern blues']",1988,212000,0,0.628,0.523,8,-12.883,0,0.0263,0.355,0.0002,0.163,0.863,109.777,212000,4,
11,11,Thank Me Someday,6raKumUf0iCaBRZWG25KY2,blues,https://open.spotify.com/track/6raKumUf0iCaBRZWG25KY2,Buddy Guy,2gCsNOpiBaMNh20jQ5prf0,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'country blues', 'electric blues', 'modern blues', 'soul blues', 'traditional blues']",2010-10-25,342906,12,0.299,0.675,9,-4.006,1,0.0414,0.361,0.00048499999999999997,0.159,0.578,164.4,342907,3,"Down in Louisiana
On a cotton plantation
Little tent room shack
And a third grade education

Two stringed wood guitar
I taught myself how to play, yes, I did
Kept the whole family up all night
And I told them that you'll all thank me one day
Yes, I did

My sister would scream
""Boy, you just got to stop
You're waking up the whole family
Everybody is going to be hot""
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
12,12,You Can't Judge A Book By It's Cover,6gShaExiRWNcqERHI21bfo,blues,https://open.spotify.com/track/6gShaExiRWNcqERHI21bfo,Bo Diddley,2bmixwMZXlkl2sbIbOfviq,"['blues', 'blues rock', 'brill building pop', 'chicago blues', 'classic rock', 'electric blues', 'funk', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'traditional blues']",1988-01-01,190733,0,0.826,0.33,1,-12.982000000000001,1,0.0582,0.22399999999999998,0.0,0.0657,0.9390000000000001,114.45,190733,4,"You can't judge an apple by looking at a tree
You can't judge honey by looking at the bee
You can't judge a daughter by looking at the mother
You can't judge a book by looking at the cover

Oh, can't you see, oh, you misjudge me
I look like a farmer but I'm a lover
Can't judge a book by looking at the cover, oh, my

Oh, come on in closer, baby
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
13,13,Ball And Biscuit,1GTHfNDbLFT6pgDFJvPFxu,blues,https://open.spotify.com/track/1GTHfNDbLFT6pgDFJvPFxu,The White Stripes,4F84IBURUo98rz4r61KF70,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",2003-04-01,439000,0,0.528,0.654,9,-7.027,1,0.172,0.0524,0.11699999999999999,0.0994,0.627,77.813,439000,4,"It's quite possible that I'm your third man, girl
But it's a fact that I'm the seventh son
It's quite possible that I'm your third man, girl
But it's a fact that I'm the seventh son

And right now you could care less about me
But soon enough you will care, by the time I'm done

Let's have a ball and a biscuit, sugar
And take our sweet little time about it
Let's have a ball, girl
And take our sweet little time about it
Tell everybody in the place to just get out
We'll get clean together
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
14,14,Lie To Me,6DCALWbYX0BCOAGy0hMmRs,blues,https://open.spotify.com/track/6DCALWbYX0BCOAGy0hMmRs,Jonny Lang,5rX1EodZfwxmW4fQX2Caot,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock']",1997,251306,53,0.621,0.693,8,-8.755,1,0.0407,0.579,0.000295,0.0634,0.8959999999999999,112.439,251307,4,"Lie to me
And tell me everything is alright
Lie to me
And tell me that you're stayin' the night
Tell me that you'll never leave
Oh, and I'll just try to make believe
That everything, everything you're tellin' me is true

Come on baby won't you just
(Lie to me) Come on baby
(Go ahead and lie to me, woah,oh, oh, lie to me)
You know how I'm sorry about it

(Go ahead and lie to me, woah, yeah)
Lie to me
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
15,15,Too Afraid to Love You,1comODdI862K7ei34XZRa4,blues,https://open.spotify.com/track/1comODdI862K7ei34XZRa4,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']",2010-05-18,204733,44,0.531,0.6759999999999999,11,-6.172999999999999,0,0.0299,0.0156,0.0028699999999999997,0.0988,0.544,136.759,204733,4,
16,16,Blue on Black,7GRq9NUgqhxPGUUksX02fk,blues,https://open.spotify.com/track/7GRq9NUgqhxPGUUksX02fk,Kenny Wayne Shepherd,1riHqX633Kup3mJAw8WR8p,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'modern blues', 'modern blues rock', 'rock']",1997-09-26,333733,62,0.41200000000000003,0.6759999999999999,7,-7.341,1,0.0266,0.00596,0.11199999999999999,0.209,0.557,155.431,333733,4,"Night falls and I'm alone
Skin, yeah, chilled me to the bone
You (you, you, you) turned and you ran (ran, ran)
Oh, yeah
Oh, slipped right from my hand

Hey, blue on black, tears on a river
A push on a shove, it don't mean much
Joker on Jack, match on a fire
Cold on ice, a dead man's touch
Whisper on a scream doesn't change a thing
Don't bring you back
Blue on black
Oh, yeah, blue on black

Blind, oh, now I see
Truth, lies an in between
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
