,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Rhapsody on Moldavian Themes Op. 47 No. 3,2in8D0voJxwq42SHpb9Kqa,classical,https://open.spotify.com/track/2in8D0voJxwq42SHpb9Kqa,"['Mieczysław Weinberg', 'Linus Roth', 'Ruben Gazarian', 'Württemberg Chamber Orchestra']","['6roPI9Y9n0FmCWxI3GxjaH', '71ElxjYlMyCf62m7WUUlae', '5UileoenjHdzeHA1uGfpp7', '2A9R1SWsttXu4VTawv3k9b']","[['russian modern classical'], [], [], ['chamber orchestra']]",2015-05-22,647400,12,0.294,0.149,5,-18.557,1,0.045,0.887,0.0362,0.0686,0.086,82.696,647400,4
1,Romance for Cello and Piano,70nMUxP46mAcjW5iRpRiyN,classical,https://open.spotify.com/track/70nMUxP46mAcjW5iRpRiyN,"['Frederick Delius', 'Kathryn Stott', 'Yo-Yo Ma']","['65YhYi4Fz5Ibgq7ueev2Rm', '7JmDqds7Y1LRSWZVM8e0Og', '5Dl3HXZjG6ZOWT5cV375lk']","[['classical', 'early modern classical', 'impressionism', 'post-romantic era'], ['british classical piano', 'classical performance'], ['classical cello', 'classical performance']]",2015-07-24,385186,0,0.223,0.0299,11,-27.344,1,0.0493,0.987,0.947,0.0711,0.0468,115.163,385187,3
2,The Ecstasy Of Gold,6PrKZUXJPmBiobMN44yR8Y,classical,https://open.spotify.com/track/6PrKZUXJPmBiobMN44yR8Y,Ennio Morricone,1nIUhcKHnK6iyumRyoV68C,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",1967,203226,61,0.134,0.474,9,-13.864,0,0.0518,0.826,0.58,0.195,0.133,98.854,203227,4
3,Requiem: Lacrimosa,69RoAhDqFOiQb2pQvb24Ii,classical,https://open.spotify.com/track/69RoAhDqFOiQb2pQvb24Ii,"['Wolfgang Amadeus Mozart', ""Choir of King's College, Cambridge"", 'Stephen Cleobury']","['4NJhFmfw43RLBLjQvxDuRS', '0f3PsS9IQ6whvNMFFKnpjl', '0ugRf6ECGBFRCHlv9iG1No']","[['classical', 'classical era'], ['british choir', 'cambridge choir', 'choral'], ['cambridge choir', 'choral', 'classical organ', 'orchestral performance']]",2013-04-08,169666,0,0.162,0.102,2,-23.315,0,0.036,0.932,0.9,0.17,0.0445,131.626,169667,3
4,Fantasien op. 116: Intermezzo: Adagio,1ipJdiNMjgvfAilddGT9sI,classical,https://open.spotify.com/track/1ipJdiNMjgvfAilddGT9sI,"['Johannes Brahms', 'Martin Tchiba']","['5wTAi7QkpP6kp8a54lmTOq', '2D0Kl9VUOvDv8Qkx0AjDxq']","[['classical', 'german romanticism', 'late romantic era'], ['german classical piano']]",2012-07-20,274746,43,0.308,0.00605,4,-35.164,1,0.0486,0.995,0.929,0.0869,0.0739,66.122,274747,5
5,In the Bleak Midwinter - (1905),4aJr80fBig7JKUsyxUeQMP,classical,https://open.spotify.com/track/4aJr80fBig7JKUsyxUeQMP,"['Gustav Holst', 'North Texas Wind Symphony', 'Eugene Migliaro Corporon']","['5B7uXBeLc2TkR5Jk23qKIZ', '1MU0DtoPi3KRw38z1NnV5E', '4312Dbo3NDq73YqKepzIyo']","[['british modern classical', 'classical', 'post-romantic era'], ['marching band', 'wind symphony'], []]",2006-01-01,281133,0,0.113,0.0595,5,-19.719,0,0.035,0.972,0.877,0.144,0.104,81.053,281133,4
6,We Played Some Open Chords,4Wa9WkQSacZDsJQgov27DA,classical,https://open.spotify.com/track/4Wa9WkQSacZDsJQgov27DA,A Winged Victory for the Sullen,13CMfEeq8AC6ryGOPODqE1,"['ambient', 'art pop', 'chamber psych', 'compositional ambient', 'drift', 'drone', 'electronica', 'neo-classical', 'post-rock']",2011-09-12,378573,35,0.253,0.0251,10,-22.818,1,0.0433,0.893,0.901,0.114,0.0312,106.235,378573,4
7,"Toccata And Fugue In D Minor, BWV 565",2CIY2peTbSKNNHgykODpO4,classical,https://open.spotify.com/track/2CIY2peTbSKNNHgykODpO4,"['Leopold Stokowski', 'Philadelphia Orchestra']","['52sDxFX9DvIxUupTy8f1yx', '6tdexW8bZTG8NgOFUCYQn1']","[['orchestral performance'], ['american orchestra', 'classical performance', 'orchestra']]",1990-01-01,565426,31,0.212,0.137,2,-17.074,0,0.0397,0.907,0.308,0.0611,0.141,83.784,565427,4
8,"Tristan und Isolde, WWV 90: Act I: Prelude",6ZrsSJiyETgzmYMrw9tu5G,classical,https://open.spotify.com/track/6ZrsSJiyETgzmYMrw9tu5G,"['Richard Wagner', 'Stephen Gould', 'Nina Stemme', 'Kwangchul Youn', 'Johan Reuter', 'Michelle Breedt', 'Simon Pauly', 'Clemens Bieber', 'Arttu Kataja', 'Timothy Fallon', 'Rundfunkchor Berlin', 'Berlin Radio Symphony Orchestra', 'Marek Janowski']","['1C1x4MVkql8AiABuTw6DgE', '44Mbti1gd8ueucjT50DpEr', '5zZMvZoNqA78JIu04ylIXl', '2O5R76b5vOk646nRSG6TiO', '1V2CUDxo3SJnjtx6DsThg4', '5eKGSJh1hie0SGbTGG3XWH', '0PaFCDGSNfuvTnKbN0swUM', '4fXsE1jM6X52v2o5apKqAO', '6FSldsi9yqCeZLPYTCJ8Zq', '2qAaljaymGGOZojhFMd8tU', '4DqlvoyKHnvnT4lvFmTSkG', '0a9SIKSCIhxjx4QJlSZfYa', '68dw0lrJCaRisguXq9rHpZ']","[['classical', 'german opera', 'german romanticism', 'late romantic era'], ['classical tenor'], ['classical soprano'], [], ['classical bass'], ['classical mezzo-soprano'], [], [], [], [], ['german choir'], ['german orchestra', 'orchestra', 'radio symphony'], ['classical performance', 'orchestral performance']]",2012-10-02,626173,9,0.0862,0.0513,4,-23.799,1,0.0406,0.945,0.805,0.285,0.028,84.991,626173,4
9,Trio Op. 17: I. Allegro moderato,5Tmnulmezi9JdtAGnv7hrD,classical,https://open.spotify.com/track/5Tmnulmezi9JdtAGnv7hrD,"['Clara Schumann', 'Trio Kandinsky']","['2yzaWNFV3cxmcRZtwtr5WC', '72N2H0qMRS32MwgqpN9uCi']","[['early romantic era', 'german romanticism'], ['classical piano trio']]",2010-12-15,487400,7,0.29,0.11,7,-19.933,0,0.0417,0.99,0.813,0.0669,0.148,142.79,487400,3
