,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Mercury Blues,4JvimMcPnSqynW2kDoSDXR,country,https://open.spotify.com/track/4JvimMcPnSqynW2kDoSDXR,Alan Jackson,4mxWe1mtYIYfP040G38yvS,"['contemporary country', 'country', 'country road']",1989,218720,23,0.539,0.735,7,-9.224,1,0.0326,0.346,0.00204,0.05,0.937,172.017,218720,4
1,Break Up in the End,5Z19ylxppfnfdP4JH0u8oj,country,https://open.spotify.com/track/5Z19ylxppfnfdP4JH0u8oj,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,"['contemporary country', 'country', 'country road', 'modern country rock']",2018-08-17,199693,63,0.507,0.372,1,-8.433,1,0.0303,0.481,0.0,0.271,0.257,86.422,199693,4
2,Don't Get Better Than That,2ruYYd5CAlXujmzomLpweJ,country,https://open.spotify.com/track/2ruYYd5CAlXujmzomLpweJ,LOCASH,5IcGbIAgdns0R5EJKHMjCQ,"['contemporary country', 'country pop', 'country rap', 'country road', 'modern country rock']",2017-12-29,197524,50,0.532,0.917,4,-3.319,1,0.0373,0.0757,1.22e-05,0.0775,0.448,130.036,197525,4
3,Watching Airplanes,63u5QGp9dKXAoYTVKUKBYn,country,https://open.spotify.com/track/63u5QGp9dKXAoYTVKUKBYn,Gary Allan,37W8SKV5Vc8lcGtdyWCA5m,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']",2007-01-01,242946,62,0.374,0.711,11,-3.587,1,0.0354,0.547,4.12e-05,0.147,0.468,160.001,242947,4
4,Miss Me More,647MV7NvGdOtq5qNcDdLBL,country,https://open.spotify.com/track/647MV7NvGdOtq5qNcDdLBL,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,"['contemporary country', 'country', 'pop', 'post-teen pop']",2017-11-03,192840,45,0.643,0.708,2,-7.146,1,0.0539,0.0142,0.0,0.0834,0.461,96.039,192840,4
5,Boondocks,3duP6mBVDsHM8ioN7o7dAK,country,https://open.spotify.com/track/3duP6mBVDsHM8ioN7o7dAK,Little Big Town,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",2005-01-01,272346,70,0.41,0.78,9,-5.391,1,0.0332,0.211,0.0,0.48,0.695,88.016,272347,4
6,Tequila,42fw0rxRO2xbesF6mJfd4Y,country,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"['contemporary country', 'country', 'pop']",2018-06-22,196746,73,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,196747,4
7,Po-Dunk,3E4zA2CVysuiMWurr4W9zE,country,https://open.spotify.com/track/3E4zA2CVysuiMWurr4W9zE,Kid Rock,7dOBabd5O4CvKrg4iriHTM,"['alternative metal', 'nu metal']",2017-11-03,271486,47,0.654,0.816,7,-4.172,1,0.12,0.0603,1.81e-05,0.0375,0.526,80.016,271486,4
8,When You Say Nothing At All,46LI9mnlQ8fJHH47ioBubg,country,https://open.spotify.com/track/46LI9mnlQ8fJHH47ioBubg,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,"['bluegrass', 'folk', 'progressive bluegrass']",1994,261120,64,0.509,0.242,3,-13.353,1,0.0291,0.714,0.000365,0.127,0.448,169.642,261120,4
9,Smoke In Her Eyes,7AnGT6SsidoBRPhaQo8r11,country,https://open.spotify.com/track/7AnGT6SsidoBRPhaQo8r11,Big & Rich,0oBEeN6BCxEgMogzThqrPf,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-09-15,191933,0,0.622,0.762,9,-4.868,1,0.0317,0.0291,0.0,0.337,0.635,110.009,191933,4
