,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,Mercury Blues,4JvimMcPnSqynW2kDoSDXR,country,https://open.spotify.com/track/4JvimMcPnSqynW2kDoSDXR,Alan Jackson,4mxWe1mtYIYfP040G38yvS,"['contemporary country', 'country', 'country road']",1989,218720,23,0.539,0.735,7,-9.224,1,0.0326,0.34600000000000003,0.0020399999999999997,0.05,0.937,172.017,218720,4,"Well if I had money
I'd tell you what I'd do
I go downtown buy a Mercury or two
Crazy bout a Mercury
Lord I'm crazy bout a Mercury
I'm gonna buy me a Mercury & cruise it up & down the road

Well the girl I love
I stole her from a friend
He got lucky stole her back again
She heard he had a Mercury
Lord she's crazy bout a Mercury
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Break Up in the End,5Z19ylxppfnfdP4JH0u8oj,country,https://open.spotify.com/track/5Z19ylxppfnfdP4JH0u8oj,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,"['contemporary country', 'country', 'country road', 'modern country rock']",2018-08-17,199693,63,0.507,0.37200000000000005,1,-8.433,1,0.0303,0.48100000000000004,0.0,0.271,0.257,86.42200000000001,199693,4,"I'd still walk in that bar a little drunk
I'd still ask you what you're drinking, what's your name
I'd still kiss you by the shuffleboard, last call at 2:00 a.m.
Even though we break up in the end

I'd introduce you to my mom and dad
Say ""I think I love her"" when you leave that room
I'd still not take their advice when I say you're moving in
Even though we break up in the end

Even if I knew you'd be the one that got away
I'd still go back and get you
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
2,2,Don't Get Better Than That,2ruYYd5CAlXujmzomLpweJ,country,https://open.spotify.com/track/2ruYYd5CAlXujmzomLpweJ,LOCASH,5IcGbIAgdns0R5EJKHMjCQ,"['contemporary country', 'country pop', 'country rap', 'country road', 'modern country rock']",2017-12-29,197524,50,0.532,0.917,4,-3.319,1,0.0373,0.0757,1.22e-05,0.0775,0.44799999999999995,130.036,197525,4,"Ever caught a buzz floating down a river?
Ever looked in her eyes and seen forever?
Ever smell the air right after the rain?

Ever gone back home just for mama's cooking?
Ever hit that shot when everybody's looking?
Ever felt that rush from a leap of faith?
Yeah, it don't get better than

Rolling with a full tank, wasting gas
Sipping on a sunset, crushing cans
Little Nitty Gritty turned up full blast
Yeah, it don't get better than that
Raising all the hell on Friday night
Holding on your honey under neon lights
Knowing where you've been, loving where you're at
Yeah, it don't get better than that
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,Watching Airplanes,63u5QGp9dKXAoYTVKUKBYn,country,https://open.spotify.com/track/63u5QGp9dKXAoYTVKUKBYn,Gary Allan,37W8SKV5Vc8lcGtdyWCA5m,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']",2007-01-01,242946,62,0.374,0.711,11,-3.5869999999999997,1,0.0354,0.547,4.1200000000000005e-05,0.147,0.46799999999999997,160.001,242947,4,"Sittin' out here on the hood of this truck looking up
At a caramel colored sunset sky
Checkin' my watch doin' the math in my head
Counting back words to when you said goodbye
Well, those runway lights are getting brighter

I'm just sittin' out here watching airplanes
Take off and fly
Tryin' to figure out which one you might be on
And why you don't love me anymore
Right now I'm sittin' out here watching airplanes

I would've lied, could've cried, should've tried harder
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,Miss Me More,647MV7NvGdOtq5qNcDdLBL,country,https://open.spotify.com/track/647MV7NvGdOtq5qNcDdLBL,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,"['contemporary country', 'country', 'pop', 'post-teen pop']",2017-11-03,192840,45,0.643,0.708,2,-7.146,1,0.0539,0.0142,0.0,0.0834,0.461,96.039,192840,4,"I retired my red lipstick
'Cause you said you didn't like it
I didn't wear my high heel shoes
'Cause I couldn't be taller than you
I didn't wanna lose my friends
But now it's hard to even find them
What you wanted, ain't it?
It's what you wanted

I thought I'd miss you (when it ended)
I thought it hurt me (but it didn't)
I thought I'd miss you
I thought I'd miss you

But I miss me more
I miss my own beat, to my own snare drum
I miss me more

Miss my own sheets in the bed I made up
I forgot I had dreams, I forgot I had wings
Forgot who I was before I ever kissed you
Yeah, I thought I'd miss you

But I miss me more
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,Boondocks,3duP6mBVDsHM8ioN7o7dAK,country,https://open.spotify.com/track/3duP6mBVDsHM8ioN7o7dAK,Little Big Town,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road']",2005-01-01,272346,70,0.41,0.78,9,-5.391,1,0.0332,0.21100000000000002,0.0,0.48,0.695,88.016,272347,4,
6,6,Tequila,42fw0rxRO2xbesF6mJfd4Y,country,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"['contemporary country', 'country', 'pop']",2018-06-22,196746,73,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,196747,4,"I can still shut down a party
I can hang with anybody
I can drink whiskey and red wine
Champagne all night
Little Scotch on the rocks and I'm fine, I'm fine

But when I taste tequila, baby I still see ya
Cuttin' up the floor in a sorority t-shirt
The same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearin' on a Bible, baby, I'd never leave ya
I remember how bad I need ya, when I taste tequila (when I, when I, when I)
When I taste tequila (when I, when I, when I)
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,Po-Dunk,3E4zA2CVysuiMWurr4W9zE,country,https://open.spotify.com/track/3E4zA2CVysuiMWurr4W9zE,Kid Rock,7dOBabd5O4CvKrg4iriHTM,"['alternative metal', 'nu metal']",2017-11-03,271486,47,0.654,0.816,7,-4.172,1,0.12,0.0603,1.8100000000000003e-05,0.0375,0.526,80.016,271486,4,
8,8,When You Say Nothing At All,46LI9mnlQ8fJHH47ioBubg,country,https://open.spotify.com/track/46LI9mnlQ8fJHH47ioBubg,Alison Krauss & Union Station,0OTnx2X2FDXeewcm72lavT,"['bluegrass', 'folk', 'progressive bluegrass']",1994,261120,64,0.509,0.242,3,-13.353,1,0.0291,0.7140000000000001,0.000365,0.127,0.44799999999999995,169.642,261120,4,"It's amazing how you can speak right to my heart
Without saying a word, you can light up the dark
Try as I may I could never explain
What I hear when you don't say a thing

The smile on your face lets me know that you need me
There's a truth in your eyes saying you'll never leave me
The touch of your hand says you'll catch me if ever I fall
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,Smoke In Her Eyes,7AnGT6SsidoBRPhaQo8r11,country,https://open.spotify.com/track/7AnGT6SsidoBRPhaQo8r11,Big & Rich,0oBEeN6BCxEgMogzThqrPf,"['contemporary country', 'country', 'country road', 'modern country rock']",2017-09-15,191933,0,0.622,0.762,9,-4.868,1,0.0317,0.0291,0.0,0.337,0.635,110.009,191933,4,"If she rolls up in a cab
And she steps out in black
And you've never seen her looking more beautiful than that
If she goes walking by
Throws you a dangerous smile
I'd be careful and give that girl some space for a while
If she's sipping patrone
And flipping through her phone
You could ask her to dance
I'd probably leave her alone

She says she ain't about to cry
That's just smoke in her eyes
But it's a lie
She's drinking off her bad goodbyes
She didn't come around here
For the band or the beers
She's here
Helbent on wrecking some guy

She's looking good
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
10,10,The Weekend,48tAdjG4ng2JfECa7OQujk,country,https://open.spotify.com/track/48tAdjG4ng2JfECa7OQujk,Brantley Gilbert,5q8HGNo0BjLWaTAhRtbwxa,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",2017-01-27,187760,63,0.511,0.812,6,-4.763,0,0.0464,0.0496,1.64e-06,0.0829,0.6920000000000001,81.992,187760,4,"Hey

Tick tock, I'm on the clock and I'm feeling like
This job's just 9 to 5'in my life away
It's like I'm back in school and I'm in the last class
And I'm passing time until the bell ring
Havin' visions of summertime
Wait a minute now, that's just later tonight
Tan legs and tailgating, it's all up in the moonlight
And by the way, loosin' up its pay day

Live it up for the weekend
Pour it up, have the time of your life
Take a shot for the regrets
Double up and it's bound to get buck wild
Hey ladies, let your hair down
We know ain't nobody scared now, hell nah
Just do your thing like it's spring break
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
11,11,Lonely Call,2Wj1AZdBPMA1mkuuoTfOPg,country,https://open.spotify.com/track/2Wj1AZdBPMA1mkuuoTfOPg,RaeLynn,5dMnvpYEfXvSexjwnSRH5n,"['alt z', 'contemporary country', 'country pop', 'deep talent show']",2017-03-24,224106,61,0.588,0.722,6,-4.667,1,0.0289,0.0663,0.0,0.0721,0.243,145.931,224107,4,"Just a Monday, thrift shop couch
Bowl of Cheerios, and it's gettin' dark out
Clickin' my remote to an episode
Of Crazy Housewives
And before you know

I see your face on my screen
That ringtone can only mean
Your friends are gone
You're all alone
And you're thinkin' 'bout me

I used to be your ""6 a.m
Hey good mornin'
Beautiful, how ya been?""
I used to be a ""we just landed

Miss you, you can't stand it
See you this weekend""
Now I'm just a midnight number
Familiar voice
When you start to wonder if you made the wrong choice
So let it ring, let it ring all night long

'Cause I ain't your lonely call
It's been three weeks and two days
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
12,12,She Don't Know She's Beautiful,3rvVhgG1inZCtQ1Qf0V5SA,country,https://open.spotify.com/track/3rvVhgG1inZCtQ1Qf0V5SA,Sammy Kershaw,3tkZthBATD0S45hm1DmB2O,"['country', 'country road', 'country rock']",1993-01-01,174626,0,0.764,0.6459999999999999,9,-9.349,1,0.0305,0.35,0.0,0.0823,0.8859999999999999,116.115,174627,4,"We go out to a party somewhere
The moment we walk in the door
People stop and everybody stares
She don't know what they're starin' for

She don't know she's beautiful (never crossed her mind)
She don't know she's beautiful (no, she's not that kind)
She don't know she's beautiful
Though time and time I've told her so

There she goes just walking down the street
And someone lets a whistle out
A girl like her she just can't see
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
13,13,One Summer,0l7Q1R6vZAPocVR5BQ80nj,country,https://open.spotify.com/track/0l7Q1R6vZAPocVR5BQ80nj,Austin Burke,5jfImMkUYyViFJrhdfYt1c,"['contemporary country', 'country pop']",2018-08-03,230213,40,0.624,0.8220000000000001,7,-4.434,1,0.034,0.0741,0.0,0.332,0.37,120.059,230213,4,"High school caps were flying
We were singing and high-fiving
Yeah, the next thing
We were driving down the five and so alive
As the blue sky kissed the ocean
Turned into a red sunset
We knew we had to grow up
Didn't have to grow up yet
It was Connor, me and Kevin
Hell bent on having fun
We were bad at holding liquor
But we were good at being young
Oh and then there was that one
You know the girl you can't forget?
Who made me fall in love
Before I knew what love meant

Everybody has that one summer, that one kiss
That one moment that goes something like this
She said 'my parents are out of town
Do you wanna stick around?'
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
