,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,The Prime Time of Your Life,2ABpuao3ZbTjP2cSiX9KZc,electronic,https://open.spotify.com/track/2ABpuao3ZbTjP2cSiX9KZc,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"['electro', 'filter house']",2005-03-14,263240,41,0.503,0.507,9,-7.243,1,0.181,4.51e-05,0.514,0.288,0.0987,128.606,263240,4
1,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,electronic,https://open.spotify.com/track/1gihuPhrLraKYrJMAEONyc,Calvin Harris,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",2012-10-29,206413,81,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4
2,Bulletproof,6lUY6MoqGgPnA27PHYxem5,electronic,https://open.spotify.com/track/6lUY6MoqGgPnA27PHYxem5,La Roux,3K2zB87GZv1krx031en5VA,"['alternative dance', 'dance pop', 'electropop', 'neo-synthpop', 'new rave']",2009-01-01,205733,24,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,205733,4
3,Bad (feat. Vassy) - Radio Edit,6PtXobrqImYfnpIxNsJApa,electronic,https://open.spotify.com/track/6PtXobrqImYfnpIxNsJApa,"['David Guetta', 'Showtek', 'VASSY']","['1Cs0zKBU1kc0i8ypK3B9ai', '3gk0OYeLFWYupGFRHqLSR7', '7HqEmV7FeCi16bQyHMpIrF']","[['big room', 'dance pop', 'edm', 'pop', 'pop dance'], ['classic hardstyle', 'edm', 'electro house', 'euphoric hardstyle', 'pop dance', 'progressive electro house', 'progressive house'], ['australian dance']]",2014-04-06,170625,66,0.614,0.972,5,-3.927,0,0.088,0.00125,0.0186,0.328,0.411,127.966,170625,4
4,Wolves Running Through the Desert,7eSLODVLov3eMYl4ioKpbG,electronic,https://open.spotify.com/track/7eSLODVLov3eMYl4ioKpbG,HOTEL MEXICO,5UclLOjVqXU61eHV9rzSZj,"['indie dream pop', 'japanese dream pop', 'shimmer pop']",2012-04-08,278920,0,0.502,0.85,9,-2.409,1,0.0337,0.287,0.634,0.753,0.42,121.966,278920,4
5,Prayer in C - Robin Schulz Radio Edit,5fnA9mkIfScSqHIpeDyvck,electronic,https://open.spotify.com/track/5fnA9mkIfScSqHIpeDyvck,"['Lilly Wood and The Prick', 'Robin Schulz']","['50OApTJurDusIo9dGTqSU4', '3t5xRXzsuZmMDkQzgOX35S']","[['french indie pop', 'french rock'], ['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']]",2014-05-16,189413,72,0.763,0.875,9,-5.797,0,0.0262,0.024,5.41e-06,0.599,0.8,123.013,189413,4
6,Express Yourself (feat. Nicky Da B),6KkzEejF4WXimnpmz8Luf4,electronic,https://open.spotify.com/track/6KkzEejF4WXimnpmz8Luf4,"['Diplo', 'Nicky Da B']","['5fMUXHkw8R8eOP2RNVYEZX', '3wWXYbMxREh97Te2ZN92Wi']","[['bmore', 'dance pop', 'edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house'], ['bounce', 'lgbtq+ hip hop']]",2012-06-12,277546,0,0.84,0.939,4,-3.052,0,0.233,0.0507,1.42e-05,0.598,0.355,107.976,277546,4
7,Blind Faith,0bdbXNbIRClzywgD6UIPlw,electronic,https://open.spotify.com/track/0bdbXNbIRClzywgD6UIPlw,"['Chase & Status', 'Liam Bailey']","['3jNkaOXasoc7RsxdchvEVq', '022EiWsch2zvty0qBUksDO']","[['dancefloor dnb', 'drum and bass'], ['british soul']]",2011-01-01,233666,0,0.453,0.85,9,-4.776,0,0.0541,0.00585,1.61e-06,0.213,0.418,140.05,233082,4
8,Labyrinth,5rawOFFNlJY9YEja7Q91Se,electronic,https://open.spotify.com/track/5rawOFFNlJY9YEja7Q91Se,Zomby,0e1hn6R8UCfLkpHINwAyXR,"['bass music', 'classic dubstep', 'footwork', 'future garage', 'uk garage', 'weightless', 'wonky']",2011-11-28,190920,0,0.8,0.981,1,-4.2,1,0.108,8.8e-05,0.68,0.317,0.417,122.021,190920,4
9,Beautiful People (Zamli Summer Remix),252S4mCX2la1fsZFHQhEit,electronic,https://open.spotify.com/track/252S4mCX2la1fsZFHQhEit,Benny Benassi,4Ws2otunReOa6BbwxxpCt6,"['edm', 'electro house', 'pop dance']",2011-10-18,243748,0,0.748,0.622,5,-4.055,0,0.0605,0.0417,0.00514,0.155,0.368,128.043,243749,4
10,The Fall,77eJ2jPNaV8MiuQatgmeQ9,electronic,https://open.spotify.com/track/77eJ2jPNaV8MiuQatgmeQ9,Rhye,2AcUPzkVWo81vumdzeLLRN,"['downtempo', 'indie soul', 'indietronica', 'shimmer pop']",2013-01-01,224680,0,0.652,0.621,5,-12.733,1,0.038,0.342,0.651,0.177,0.75,104.996,224680,4
11,Higher Ground,0Js9hB2I66nJliPIJxzn2R,electronic,https://open.spotify.com/track/0Js9hB2I66nJliPIJxzn2R,"['TNGHT', 'Lunice', 'Hudson Mohawke']","['40jiZfvsiAi1aIarh5Z3d3', '5I0593TTVPzkanWW8xsTns', '6olWbKW2VLhFCHfOi0iEDb']","[['electronic trap'], ['bass music', 'electronic trap', 'glitch hop', 'wonky'], ['bass music', 'purple sound', 'scottish electronic', 'scottish hip hop', 'uk experimental electronic', 'wonky']]",2012-07-23,199343,50,0.711,0.761,6,-7.267,1,0.233,0.598,0.127,0.134,0.526,160.738,199343,4
