,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Death And The Healing,3H0pAWafR3m9IXzIqJ16jV,heavy-metal,https://open.spotify.com/track/3H0pAWafR3m9IXzIqJ16jV,Wintersun,6ui6SwChan7c1KYBQCqGKV,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'finnish power metal', 'finnish progressive metal', 'folk metal', 'melodic death metal', 'metal', 'power metal', 'symphonic death metal', 'viking metal']",2004-09-13,432986,0,0.362,0.742,5,-6.99,0,0.0321,4.44e-06,0.809,0.371,0.351,134.883,432866,3
1,Spectrum Of Eternity,12JfrP532wY8nqxbT2WoI9,heavy-metal,https://open.spotify.com/track/12JfrP532wY8nqxbT2WoI9,Soilwork,7wqP36o9lqWteOCxBnXlwx,"['alternative metal', 'melodic death metal', 'melodic groove metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish melodeath', 'swedish metal']",2013-03-01,241866,0,0.442,0.963,11,-6.094,0,0.122,1.69e-05,1.04e-05,0.0922,0.121,119.911,241867,4
2,The Ninth Wave,7FbbCW8dAY78W1IZwzEWdb,heavy-metal,https://open.spotify.com/track/7FbbCW8dAY78W1IZwzEWdb,Blind Guardian,7jxJ25p0pPjk0MStloN6o6,"['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'speed metal', 'symphonic metal']",2015-01-30,569506,0,0.473,0.888,3,-8.182,0,0.0783,0.000465,0.000928,0.382,0.224,119.039,569507,4
3,I Want Out,282RZOdU2idTClxJ7XIltH,heavy-metal,https://open.spotify.com/track/282RZOdU2idTClxJ7XIltH,Helloween,4pQN0GB0fNEEOfQCaWotsY,"['german metal', 'german power metal', 'hard rock', 'metal', 'neo classical metal', 'old school thrash', 'power metal', 'rock', 'speed metal']",1991,278640,0,0.479,0.9,2,-6.646,0,0.0425,0.000558,0.00105,0.326,0.554,90.996,278640,4
4,"A Living, Breathing Piece of Defecating Meat",7g0f1F13axfvkpNmtDT2K8,heavy-metal,https://open.spotify.com/track/7g0f1F13axfvkpNmtDT2K8,Cattle Decapitation,67ZMMtA88DDO0gTuRrzGjn,"['american grindcore', 'brutal death metal', 'death metal', 'deathgrind', 'goregrind', 'grindcore', 'technical death metal', 'technical grindcore']",2012-05-08,177880,34,0.373,0.993,11,-3.621,1,0.248,1.7e-05,0.662,0.335,0.183,147.275,177880,3
5,New Dynamic,1HpwANBpQgfglf3PSdtHKy,heavy-metal,https://open.spotify.com/track/1HpwANBpQgfglf3PSdtHKy,Omnium Gatherum,52xuvlUvnxqH0xzxGPKXSu,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal']",2013-02-22,296146,35,0.47,0.99,11,-4.86,1,0.0873,6.78e-05,0.881,0.292,0.097,107.087,296147,4
6,Kill or Become,3kBV6iIyeT5SCvGcVyg4pJ,heavy-metal,https://open.spotify.com/track/3kBV6iIyeT5SCvGcVyg4pJ,Cannibal Corpse,0yLwGBQiBqhXOvmTfH2A7n,"['alternative metal', 'brutal death metal', 'buffalo ny metal', 'death metal', 'metal', 'nu metal']",2014-09-16,230666,38,0.367,0.997,1,-2.695,0,0.228,0.00097,0.0802,0.0776,0.0567,115.024,230667,4
7,"Devour Me, Colossus, Pt. 1 - Blackholes",2zrXZonxRaKOO3XVmkWny3,heavy-metal,https://open.spotify.com/track/2zrXZonxRaKOO3XVmkWny3,Ne Obliviscaris,5kbidtcpyRRMdAQUnI1BG4,"['australian metal', 'avant-garde metal']",2014-11-07,757466,0,0.179,0.9,9,-7.184,1,0.0969,0.000141,0.00564,0.259,0.244,198.484,757467,3
8,Lack of Comprehension,1OePro13vwG9uI5tdREYLU,heavy-metal,https://open.spotify.com/track/1OePro13vwG9uI5tdREYLU,Death,4f5V3PQ66nIrBCqugJtaGn,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'hard rock', 'metal', 'rock', 'technical death metal']",1991,221480,37,0.293,0.954,5,-6.144,1,0.267,0.00117,0.00276,0.0636,0.151,89.128,221480,4
9,Where The Dead Ships Dwell,2rBvzWSfw6nrZzglkfPXvY,heavy-metal,https://open.spotify.com/track/2rBvzWSfw6nrZzglkfPXvY,In Flames,57ylwQTnFnIhJh4nu4rxCs,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish melodeath', 'swedish metal']",2011-06-17,267786,0,0.524,0.948,10,-3.558,0,0.0579,7.13e-06,0.0693,0.629,0.521,99.991,267787,4
