,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,Death And The Healing,3H0pAWafR3m9IXzIqJ16jV,heavy-metal,https://open.spotify.com/track/3H0pAWafR3m9IXzIqJ16jV,Wintersun,6ui6SwChan7c1KYBQCqGKV,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'finnish power metal', 'finnish progressive metal', 'folk metal', 'melodic death metal', 'metal', 'power metal', 'symphonic death metal', 'viking metal']",2004-09-13,432986,0,0.36200000000000004,0.742,5,-6.99,0,0.0321,4.44e-06,0.809,0.371,0.35100000000000003,134.88299999999998,432866,3,"A windstorm dropped a bird from the sky
It fell to the ground and it's wings broke and died
But when the time got by, back to sky it flied
'Cause the wings healed in time and the bird was I

Time is the death, and the healing
Take your last breath, 'cause death is deceiving
Time is the past, now and tomorrow
Days fly so fast, and it leaves me so hollow

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Spectrum Of Eternity,12JfrP532wY8nqxbT2WoI9,heavy-metal,https://open.spotify.com/track/12JfrP532wY8nqxbT2WoI9,Soilwork,7wqP36o9lqWteOCxBnXlwx,"['alternative metal', 'melodic death metal', 'melodic groove metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish melodeath', 'swedish metal']",2013-03-01,241866,0,0.442,0.963,11,-6.093999999999999,0,0.122,1.6899999999999997e-05,1.04e-05,0.0922,0.121,119.911,241867,4,"I feel I'm done with this shell of mine
Separated from the one I knew
I'll kill every minute on hold
While the ocean brings me back to life
I've lived, I've breathed, I've learned to be deceived
Sheltered for what it's worth, forced to make it work
I feel I'm chosen to see what others haven't seen
It's not a tragedy, it's just reality but how it makes me believe

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
2,2,The Ninth Wave,7FbbCW8dAY78W1IZwzEWdb,heavy-metal,https://open.spotify.com/track/7FbbCW8dAY78W1IZwzEWdb,Blind Guardian,7jxJ25p0pPjk0MStloN6o6,"['german metal', 'german power metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'speed metal', 'symphonic metal']",2015-01-30,569506,0,0.473,0.888,3,-8.182,0,0.0783,0.000465,0.0009279999999999999,0.382,0.22399999999999998,119.039,569507,4,"Lux Eternities

Lux Aeternitus
Ultima Latere Phala
Luxit Aeternum
Angeli Nova
Vivere Discorditas
Utopia / Discordia / Dystopia / Discordia
As dark night embraces
We are the nation

I will cleanse all your thoughts
We will cleanse them all
Now, my children
For the sake of our nation
Let us carry on
In glory
When dark night embraces
We are the nation

Be my fellow men
We will wipe them out
Let there be light
For the sake of our nation
Precious and bright

When dark night embraces
My mind
A twisted plan
After all
Despite all burden

Life has grown
And though the curse is still alive
File 664
The golden age's vanished and more
The ingenious knight knows it's over

He no longer denies there's a real me
He'll be disgraced
Burnt and sealed
They may end
As we will rule the world

Defeat the dying old Crow
Let this fire burn
Sail on till you reach the promised land
We all drown in the fifth dimension
The ninth wave
I can feel it's coming
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,I Want Out,282RZOdU2idTClxJ7XIltH,heavy-metal,https://open.spotify.com/track/282RZOdU2idTClxJ7XIltH,Helloween,4pQN0GB0fNEEOfQCaWotsY,"['german metal', 'german power metal', 'hard rock', 'metal', 'neo classical metal', 'old school thrash', 'power metal', 'rock', 'speed metal']",1991,278640,0,0.479,0.9,2,-6.646,0,0.0425,0.000558,0.00105,0.326,0.5539999999999999,90.99600000000001,278640,4,"From our lives beginning on
We are pushed in little forms
No one asks us how we like to be
In school they teach you what to think
But everyone says different things
But they're all convinced that
They're the ones to see
So they keep talking and they never stop
And at a certain point you give it up
So the only thing that's left to think is this
I want out
To live my life alone
I want out
Leave me be
I want out
To do things on my own
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,"A Living, Breathing Piece of Defecating Meat",7g0f1F13axfvkpNmtDT2K8,heavy-metal,https://open.spotify.com/track/7g0f1F13axfvkpNmtDT2K8,Cattle Decapitation,67ZMMtA88DDO0gTuRrzGjn,"['american grindcore', 'brutal death metal', 'death metal', 'deathgrind', 'goregrind', 'grindcore', 'technical death metal', 'technical grindcore']",2012-05-08,177880,34,0.373,0.993,11,-3.6210000000000004,1,0.248,1.7e-05,0.662,0.335,0.183,147.275,177880,3,"Death on two legs and onward!

The gestation has now mutated into what looks like a human
It displays intellect and understands reproduction

We should have stopped it before it got this far

That writhing reject, that web-footed bastard child
That spawn of animated lard, that curdled wad of embarrassment
Dripping mucus and leaving a trail...

Released upon the populace this ""thing"" shall breed, emit its seed
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,New Dynamic,1HpwANBpQgfglf3PSdtHKy,heavy-metal,https://open.spotify.com/track/1HpwANBpQgfglf3PSdtHKy,Omnium Gatherum,52xuvlUvnxqH0xzxGPKXSu,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal']",2013-02-22,296146,35,0.47,0.99,11,-4.86,1,0.0873,6.78e-05,0.8809999999999999,0.292,0.09699999999999999,107.087,296147,4,"Screaming
Running in delight to face another day
Bleeding
We do our part listen what I say
Calling
To become the woods
The way to be the answer
And falling too
Deeper, ever deeper
Fly higher

Flying
It is drying in a certain way
Never trying too hard to push too far
The art of breathing - slowly
Listen now and listen good
Calling
Higher, ever higher
Go deeper
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,Kill or Become,3kBV6iIyeT5SCvGcVyg4pJ,heavy-metal,https://open.spotify.com/track/3kBV6iIyeT5SCvGcVyg4pJ,Cannibal Corpse,0yLwGBQiBqhXOvmTfH2A7n,"['alternative metal', 'brutal death metal', 'buffalo ny metal', 'death metal', 'metal', 'nu metal']",2014-09-16,230666,38,0.36700000000000005,0.997,1,-2.695,0,0.228,0.0009699999999999999,0.0802,0.0776,0.0567,115.024,230667,4,"Viral contagion unleashed upon the earth
Billions of infected dead soon rise
Stalking the living to feast upon the flesh
Its fight or flee to survive

Living out the days and nights in absolute fear
Never knowing when and where the threat of the undead draws near
Thoughts of those left behind
Are slowly tormenting your mind

Killing is essential to survive
The world you once knew forever changed
Scavenging just to stay alive
Time to release your inner rage

Fire up the chainsaw
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,"Devour Me, Colossus, Pt. 1 - Blackholes",2zrXZonxRaKOO3XVmkWny3,heavy-metal,https://open.spotify.com/track/2zrXZonxRaKOO3XVmkWny3,Ne Obliviscaris,5kbidtcpyRRMdAQUnI1BG4,"['australian metal', 'avant-garde metal']",2014-11-07,757466,0,0.179,0.9,9,-7.184,1,0.0969,0.00014099999999999998,0.00564,0.259,0.244,198.484,757467,3,"CITADEL, OF HOPE AND WHITE FIRE
HEARKEN, A CHOIR FOR KINGS... TRANSCENDENCE
CROWNED IN TEETH AND SEVERED WINGS
IS THIS THE END OF THE FLESH?

My prison and my salvation

A CALL FROM THE VOID, PALE TENTACLES
ENTHRONED, ALONE, DYING
DOWN WITH MY DRAPED LEECHES... OH LOVER
MELANCHOLIA...

You fill my lungs
Am i undone?
Where i swallow the light
Drown me in your arms, so deep
Drown me in your arms
ABYSSAL WYRMWELL
Fathomless...
DROWN ME IN YOUR ARMS...

ANATOMY OF SPACE AND TIME
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Lack of Comprehension,1OePro13vwG9uI5tdREYLU,heavy-metal,https://open.spotify.com/track/1OePro13vwG9uI5tdREYLU,Death,4f5V3PQ66nIrBCqugJtaGn,"['alternative metal', 'death metal', 'dissonant death metal', 'florida death metal', 'hard rock', 'metal', 'rock', 'technical death metal']",1991,221480,37,0.293,0.9540000000000001,5,-6.144,1,0.267,0.00117,0.0027600000000000003,0.0636,0.151,89.12799999999999,221480,4,"A condeming fear strikes down
Things they cannot understand
An excuse to cover up weaknesses that lie within
Lies
Laying your guilt and pain
On people that had no part in the molding of a life
That creates its destruction

Lies

Right before your very eyes
A reflection of the mistakes
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,Where The Dead Ships Dwell,2rBvzWSfw6nrZzglkfPXvY,heavy-metal,https://open.spotify.com/track/2rBvzWSfw6nrZzglkfPXvY,In Flames,57ylwQTnFnIhJh4nu4rxCs,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish melodeath', 'swedish metal']",2011-06-17,267786,0,0.524,0.948,10,-3.5580000000000003,0,0.0579,7.13e-06,0.0693,0.629,0.521,99.991,267787,4,"Big picture slowly fades
Walls are closing in
And there I was cursing the ground
Unable to understand

I won't let the world break me
So I need to change direction
Nothing special and far from perfect
Light the way for me

Feel I was running an endless mile
Last candle burns and I'm dying inside
All of this will turn to ash
A change for a peace of mind
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
