,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,hip-hop,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['chicago rap', 'melodic rap']",2018-05-23,239835,3,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
1,A Lie,1vVNlXi8gf8tZ7OhnEs4VE,hip-hop,https://open.spotify.com/track/1vVNlXi8gf8tZ7OhnEs4VE,"['French Montana', 'The Weeknd', 'Max B']","['6vXTefBL93Dj5IqAWq6OTv', '1Xyo4u8uXC1ZmMpatF05PJ', '7f35VZGDpomj11PXdNn5D9']","[['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'], ['canadian contemporary r&b', 'canadian pop', 'pop'], ['trap']]",2017-07-14,226790,53,0.516,0.792,1,-5.38,0,0.216,0.0235,0.0,0.404,0.524,121.189,226790,5
2,66,6tarvNiKnEjYMj1VZhlDqR,hip-hop,https://open.spotify.com/track/6tarvNiKnEjYMj1VZhlDqR,"['Lil Yachty', 'Trippie Redd']","['6icQOAFXDZKsumw3YXyusw', '6Xgp2XMz1fhVYe7i6yNAax']","[['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap'], ['melodic rap', 'rap', 'trap']]",2018-03-09,153474,63,0.667,0.723,5,-4.31,0,0.27,0.0455,0.000193,0.213,0.251,148.058,153475,4
3,"No Flag (feat. Nicki Minaj, 21 Savage & Offset)",1tyjWMMINb9S0YBynTvJ7s,hip-hop,https://open.spotify.com/track/1tyjWMMINb9S0YBynTvJ7s,"['London On Da Track', 'Nicki Minaj', '21 Savage', 'Offset']","['5Nf5yishRW9Ye174sJISkg', '0hCNtLu0JehylgoiP8L4Gh', '1URnnhqYAYcrqrcwql10ft', '4DdkRBBYG6Yk9Ka8tdJ9BW']","[['atl hip hop'], ['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop'], ['atl hip hop', 'rap', 'trap'], ['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",2017-08-24,212383,52,0.809,0.58,1,-7.253,1,0.348,0.0856,0.0,0.115,0.146,157.961,212383,4
4,Shadowboxin',7bp5DfkdK1OAvNJ1U4HfDA,hip-hop,https://open.spotify.com/track/7bp5DfkdK1OAvNJ1U4HfDA,"['GZA', 'Method Man']","['6ns6XAOsw4B0nDUIovAOUO', '4VmEWwd8y9MCLwexFMdpwt']","[['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap'], ['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']]",1995-11-07,209973,64,0.704,0.642,1,-10.11,1,0.39,0.00704,1.43e-06,0.161,0.72,92.09,209973,4
5,Beef (feat. Meek Mill),5C44ht7rPrVh6q8UaDz8ob,hip-hop,https://open.spotify.com/track/5C44ht7rPrVh6q8UaDz8ob,"['Tee Grizzley', 'Meek Mill']","['6AUl0ykLLpvTktob97x9hO', '20sxb77xiYeusSH8cVdatc']","[['detroit hip hop', 'detroit trap', 'hip hop', 'rap', 'southern hip hop', 'trap'], ['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']]",2017-08-31,232421,52,0.751,0.752,2,-4.85,1,0.277,0.233,0.0,0.331,0.483,95.025,232421,4
6,Why You Always Hatin?,39hnH8WdPmNT3Q3yzwC9Rg,hip-hop,https://open.spotify.com/track/39hnH8WdPmNT3Q3yzwC9Rg,"['YG', 'Drake', 'Kamaiyah']","['0A0FS04o6zMoto8OKPsDwY', '3TVXtAsR1Inumwj472S9r4', '3XVpDdKav6C6zwlDXPhMEO']","[['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'], ['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'], ['cali rap', 'oakland hip hop', 'west coast trap']]",2016-06-17,196600,46,0.926,0.336,0,-9.326,0,0.594,0.0392,0.0,0.138,0.38,92.995,196600,4
7,Remember You (feat. blackbear),4WmS1ZuledEAlrpJv1E22s,hip-hop,https://open.spotify.com/track/4WmS1ZuledEAlrpJv1E22s,"['G-Eazy', 'blackbear']","['02kJSzxNuaWGqwubyUba0Z', '2cFrymmkijnjDg9SS92EPM']","[['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap'], ['electropop', 'modern rock', 'pop', 'pop rap']]",2014-06-20,215880,53,0.654,0.565,4,-8.741,0,0.196,0.345,0.0,0.157,0.207,140.079,215880,4
8,Imagine That,10xJSVXTf6k2qSiFDWjcAA,hip-hop,https://open.spotify.com/track/10xJSVXTf6k2qSiFDWjcAA,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,"['baton rouge rap', 'rap', 'southern hip hop', 'trap']",2017-09-21,220987,32,0.667,0.797,11,-6.012,0,0.35,0.105,0.0,0.17,0.816,180.015,220987,4
9,Candy Shop,5D2mYZuzcgjpchVY1pmTPh,hip-hop,https://open.spotify.com/track/5D2mYZuzcgjpchVY1pmTPh,"['50 Cent', 'Olivia']","['3q7HBObVc0L8jNeTe5Gofh', '5YBSzuCs7WaFKNr7Bky0Uf']","[['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap'], []]",2005-03-03,209106,79,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.173,209107,5
