,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,hip-hop,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['chicago rap', 'melodic rap']",2018-05-23,239835,3,0.511,0.5660000000000001,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,239836,4,"Enviyon on the mix

No, no, no, no
No-no, no, no, no, no, no, no, no, no
No, no, no, no

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh

Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh

Easier said than done
I thought you were the one
Listenin' to my heart instead of my head
You found another one
But I am the better one
I won't let you forget me

You left me falling and landing inside my grave
I know that you want me dead
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,A Lie,1vVNlXi8gf8tZ7OhnEs4VE,hip-hop,https://open.spotify.com/track/1vVNlXi8gf8tZ7OhnEs4VE,"['French Montana', 'The Weeknd', 'Max B']","['6vXTefBL93Dj5IqAWq6OTv', '1Xyo4u8uXC1ZmMpatF05PJ', '7f35VZGDpomj11PXdNn5D9']","[['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'], ['canadian contemporary r&b', 'canadian pop', 'pop'], ['trap']]",2017-07-14,226790,53,0.516,0.792,1,-5.38,0,0.21600000000000003,0.0235,0.0,0.40399999999999997,0.524,121.189,226790,5,
2,2,66,6tarvNiKnEjYMj1VZhlDqR,hip-hop,https://open.spotify.com/track/6tarvNiKnEjYMj1VZhlDqR,"['Lil Yachty', 'Trippie Redd']","['6icQOAFXDZKsumw3YXyusw', '6Xgp2XMz1fhVYe7i6yNAax']","[['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap', 'underground hip hop', 'viral rap'], ['melodic rap', 'rap', 'trap']]",2018-03-09,153474,63,0.667,0.723,5,-4.31,0,0.27,0.0455,0.000193,0.213,0.251,148.058,153475,4,"DY Krazy

Racks up, racks up
Pullin' out a Bentley truck
Semi, semi, keep it tucked
Bad bitch, bubble butt
14, 14
High school sellin' beans
Dropped out now I'm rich
Flexin' 'til I'm 66

Flexin' for these bands finna pop out, ayy
Boolin' on the block I got my Glock out, ayy
I just pulled up in a Bentley
All the hatred go right to your fucking kidney
Flexin' bands, lil' nigga won't get a penny
I'ma keep on running it up, ayy
I'ma keep on running it up, fucking it up
This choppa busting you up, ayy
There you go, testing your luck
Dumb as fuck, yeah (ayy, ooh)
Flexin' baby, pull up in a drop top
Diamonds dancing on me, they be hopscotch
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,"No Flag (feat. Nicki Minaj, 21 Savage & Offset)",1tyjWMMINb9S0YBynTvJ7s,hip-hop,https://open.spotify.com/track/1tyjWMMINb9S0YBynTvJ7s,"['London On Da Track', 'Nicki Minaj', '21 Savage', 'Offset']","['5Nf5yishRW9Ye174sJISkg', '0hCNtLu0JehylgoiP8L4Gh', '1URnnhqYAYcrqrcwql10ft', '4DdkRBBYG6Yk9Ka8tdJ9BW']","[['atl hip hop'], ['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop'], ['atl hip hop', 'rap', 'trap'], ['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']]",2017-08-24,212383,52,0.809,0.58,1,-7.252999999999999,1,0.348,0.0856,0.0,0.115,0.146,157.961,212383,4,"Woah, Woah
Niggas tryna clone me tryna make another me
I heard they called for the queen
Niggas tryna come and tryna make another me
Woah, Woah
Uh, Young Money

Niggas tryna come and tryna make another me
My baby momma bitching, but she still be fucking me
You blowing up her phone and she be steady sucking me
Woah, woah, you a sucker, sucker
I got her bent over, finna fuck her, fuck her
Them boys police them niggas undercover
Lil' bitch that pussy so dry you finna break the rubber
I done took a nigga life and I'll take another

Young nigga pull up gon' spaz
Young nigga got that bag
Young nigga run the jazz
Nigga we ain't goin' out sad
Y'all niggas goin' out bad
Y'all niggas hang around fags
Y'all niggas make a nigga laugh
Y'all niggas make a nigga laugh
Nigga we ain't throwing no flags
Nigga we ain't throwing no flags
Nigga we ain't throwing no flags
Nigga we ain't throwing no flags
Nigga we ain't throwing no flags
Nigga we ain't throwing no flags
Nigga we ain't throwing no flags
Nigga we ain't throwing no flags

Offset
We can not throw in the towel
Niggas'll gun you down
You better moo like a cow
Niggas'll shoot up the crowd (moo)
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,Shadowboxin',7bp5DfkdK1OAvNJ1U4HfDA,hip-hop,https://open.spotify.com/track/7bp5DfkdK1OAvNJ1U4HfDA,"['GZA', 'Method Man']","['6ns6XAOsw4B0nDUIovAOUO', '4VmEWwd8y9MCLwexFMdpwt']","[['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap'], ['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']]",1995-11-07,209973,64,0.7040000000000001,0.642,1,-10.11,1,0.39,0.00704,1.43e-06,0.161,0.72,92.09,209973,4,"[Special technique] fuck that
[Special technique of shadowboxing] God damn
(The gza, God damn!) pledge allegiance to the hip-hop!
(Method, God damn!) I pledge allegiance to the hip-hop
(Uh, yeah, ahh, uh) johnny blaze
I pledge allegiance to the hip-hop
(Johnny blaze) maximilli-on
Maximilli-on

I breaks it down to the bone gristle
Ill speaking scud missle heat seeking
Johnny blazing, nightmares like wes craven
Niggaz gunnin, my third eye seen it coming
Before it happen
You know about them fucking staten
Kids they smashin
Everything huh, in any shape form or fashion
Now everybody talking bout they blastin, hmmm
Is you bustin steel or is you flashin? hmmm
Talkin out your asshole
You shoulda learnt about the flow and peasy afro
Ticallion stallion, chinky eye and snot nosed
From my naps to the bunion on my big toe
I keeps it movin, know just what the fuck I'm doin
Rap insomniac, fiend to catch a nigga snoozing
Slip the cardiac arrest me, excorcist hip-hop posess me
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,Beef (feat. Meek Mill),5C44ht7rPrVh6q8UaDz8ob,hip-hop,https://open.spotify.com/track/5C44ht7rPrVh6q8UaDz8ob,"['Tee Grizzley', 'Meek Mill']","['6AUl0ykLLpvTktob97x9hO', '20sxb77xiYeusSH8cVdatc']","[['detroit hip hop', 'detroit trap', 'hip hop', 'rap', 'southern hip hop', 'trap'], ['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']]",2017-08-31,232421,52,0.7509999999999999,0.752,2,-4.85,1,0.27699999999999997,0.233,0.0,0.331,0.483,95.025,232421,4,"Helluva made this beat, baby
Haa
Meek, you got your strap?
Ain't nothin' to talk 'bout
Let's get it

I don't sleep on no beef
We ain't sleeping on these niggas
You know I'm on top of everything, nigga (Lurking)
I come on your street
We're just creeping on these niggas (Yeah)
Fuck talking, let that metal bang, nigga
Murk 'em
I don't squash no beef
We ain't throwing no flags
I was taught to handle everything, nigga (Handle that)
I don't play with no beef
We ain't play with no pussy
Run in his crib and kill everything living, you hear me? (Brr)

If I wanted a nigga gone, he a dead man (He through)
Say my name on his song, he a dead man (That's your ass)
Tryna hide behind your niggas, that's your man's ass (nigga)
I leave his whole body bloody, call him Red Man
Hit the club in them Audi trucks and threw bands
Don't get it twisted, bitch, we still got them Scooby Doo vans (Still slidin')
Fuck with me, I'ma come to where you stand
And walk in your house with big shit like I'm finna move in
(Tell that bitch, we in this bitch)
Let me say that I don't wanna see you bustlin' (Kill the niggas)
Niggas in your backyard and on your front grass (We here)
And then don't shot cribs, they gon' give you one chance
Like nigga, come outside or we gon' come in, boy

I don't sleep on no beef
We ain't sleeping on these niggas
You know I'm on top of everything, nigga (Lurking)
I come on your street
We're just creeping on these niggas (Yeah)
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,Why You Always Hatin?,39hnH8WdPmNT3Q3yzwC9Rg,hip-hop,https://open.spotify.com/track/39hnH8WdPmNT3Q3yzwC9Rg,"['YG', 'Drake', 'Kamaiyah']","['0A0FS04o6zMoto8OKPsDwY', '3TVXtAsR1Inumwj472S9r4', '3XVpDdKav6C6zwlDXPhMEO']","[['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap'], ['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap'], ['cali rap', 'oakland hip hop', 'west coast trap']]",2016-06-17,196600,46,0.9259999999999999,0.336,0,-9.326,0,0.594,0.0392,0.0,0.138,0.38,92.995,196600,4,"All up in my face, you not from the clique
Give me space, we might rob the shit
Most hate it, baby they don't love the clique
I thought they love you when you make it
This some other shit, yeah
Yeah, yeah, this some other shit
Friends and business don't mix so I'm brotherless
Tryna get back close, hit 'em with the stiff
Gears I shift, make sure they feel the drift
Just copped the Benz all with the tint
You should know cause in every song I said this shit
Yeah, in every song I said this shit
I'm just proud of my accomplishments
I'm a 4Hunnid nigga, I don't care at all
Have her suck dick, lick the head and all
Heard you talkin' 'bout I'm real, I'm fraud
Your kids and broad, they straight, you shouldn't care at all

Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'
Please, please tell me why you always hatin'
Why you hatin'?
Please tell me why you always hatin'

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,Remember You (feat. blackbear),4WmS1ZuledEAlrpJv1E22s,hip-hop,https://open.spotify.com/track/4WmS1ZuledEAlrpJv1E22s,"['G-Eazy', 'blackbear']","['02kJSzxNuaWGqwubyUba0Z', '2cFrymmkijnjDg9SS92EPM']","[['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap'], ['electropop', 'modern rock', 'pop', 'pop rap']]",2014-06-20,215880,53,0.654,0.565,4,-8.741,0,0.196,0.345,0.0,0.157,0.207,140.079,215880,4,lyrics not found
8,8,Imagine That,10xJSVXTf6k2qSiFDWjcAA,hip-hop,https://open.spotify.com/track/10xJSVXTf6k2qSiFDWjcAA,Kevin Gates,1gPhS1zisyXr5dHTYZyiMe,"['baton rouge rap', 'rap', 'southern hip hop', 'trap']",2017-09-21,220987,32,0.667,0.797,11,-6.0120000000000005,0,0.35,0.105,0.0,0.17,0.816,180.015,220987,4,"No matter what, ain't no cryin'
You don't gotta tell me it hurt
I know it hurt
No cryin'
To lose somebody you really love and they not dead

Suck it up and roll
But you dead to me
Yeah, yeah
Love you with all my heart, I swear to God I do
So I forgive you, I'll never forget what you did

I'm not a human being
And I came up from nothin' just imagine that
Now I got my own, just imagine that
Tried to take it from me, I went and got it back
I lost day one, just imagine that
Feelin' like it's all on me
Soon as they fall, they gon' call on me
I remember when they used to talk 'bout me
These days now I got it all, just imagine that

Like I remember when it wasn't nothin' with us
Now it's retarded
These days now I got it all
Choppin' game with the President, we on a call
Now we flyin' over Bogota
I swear that I'm flyer, it ain't no denial
I'm drownin', yeah, we goin' up
Got another female say she want it right now
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,Candy Shop,5D2mYZuzcgjpchVY1pmTPh,hip-hop,https://open.spotify.com/track/5D2mYZuzcgjpchVY1pmTPh,"['50 Cent', 'Olivia']","['3q7HBObVc0L8jNeTe5Gofh', '5YBSzuCs7WaFKNr7Bky0Uf']","[['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap'], []]",2005-03-03,209106,79,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.17299999999999,209107,5,"Yeah
Uh-huh
So seductive

I'll take you to the candy shop
I'll let you lick the lollipop
Go 'head girl, don't you stop
Keep going 'til you hit the spot, whoa

I'll take you to the candy shop (Yeah)
Boy, one taste of what I got (Uh-huh)
I'll have you spendin' all you got (Come on)
Keep going until you hit the spot, whoa

You could have it your way, how do you want it?
You gon' back that thing up or should I push up on it?
Temperature rising, okay, let's go to the next level
Dance floor jam-packed, hot as a tea kettle
I break it down for you now, baby, it's simple
If you be a nympho, I be a nympho
In the hotel or in the back of the rental
On the beach or in the park, it's whatever you into

Got the magic stick, I'm the love doctor
Have your friends teasing you about how sprung I got you
When you show me you could work it, baby, no problem
Get on top, then get to bounce around like a low rider
I'm a seasoned vet when it come to this shit
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
