,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,My Type,2DFi8rwHcVkTTgu7PULhtI,indie,https://open.spotify.com/track/2DFi8rwHcVkTTgu7PULhtI,Saint Motel,1dWEYMPtNmvSVaDNLgB6NV,"['indie pop', 'indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'rock']",2014-06-17,206393,65,0.596,0.897,10,-2.94,1,0.0462,0.0641,5.24e-05,0.0628,0.578,118.0,206394,4
1,Atlas Hands,4yTLzGr4hPiNWR8L88wTo6,indie,https://open.spotify.com/track/4yTLzGr4hPiNWR8L88wTo6,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,"['acoustic pop', 'indie anthem-folk', 'indie folk', 'stomp and holler', 'york indie']",2011,173093,42,0.624,0.312,6,-11.833,1,0.03,0.897,0.00182,0.0618,0.486,82.538,173093,4
2,Dirty Paws,5g7rJvWYVrloJZwKiShqlS,indie,https://open.spotify.com/track/5g7rJvWYVrloJZwKiShqlS,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,"['folk-pop', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",2012-01-01,278373,71,0.359,0.649,3,-7.06,1,0.0349,0.107,0.0124,0.0555,0.133,111.709,278373,4
3,Underwater,5ZvHcR4OSwvEV5IhigbTOT,indie,https://open.spotify.com/track/5ZvHcR4OSwvEV5IhigbTOT,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,"['australian electropop', 'indietronica']",2018-10-19,349293,64,0.611,0.809,6,-6.63,0,0.0342,0.019,0.0185,0.114,0.428,118.003,349293,4
4,Roygbiv,2XQSgmtEY2titXhfY414dy,indie,https://open.spotify.com/track/2XQSgmtEY2titXhfY414dy,Boards of Canada,2VAvhf61GgLYmC6C8anyX1,"['ambient', 'big beat', 'electronica', 'intelligent dance music', 'microhouse', 'scottish electronic', 'trip hop']",1998-04-20,151520,56,0.631,0.521,4,-10.312,0,0.063,0.0201,0.923,0.103,0.118,84.033,151520,4
5,666 ʇ,7eRU0RltchvgOTSbX6vmdv,indie,https://open.spotify.com/track/7eRU0RltchvgOTSbX6vmdv,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"['eau claire indie', 'indie folk', 'melancholia']",2016-09-30,252000,52,0.634,0.341,1,-12.356,0,0.034,0.899,0.0309,0.187,0.158,110.005,252000,4
6,Aquarium,4ZOv9mx6Lz7RRaBFi5UNaE,indie,https://open.spotify.com/track/4ZOv9mx6Lz7RRaBFi5UNaE,Nosaj Thing,0IVapwlnM3dEOiMsHXsghT,"['bass music', 'chillwave', 'electronica', 'glitch hop', 'microhouse', 'wonky']",2006-01-01,184000,51,0.635,0.655,0,-9.521,1,0.0484,0.15,0.553,0.129,0.271,91.026,184000,4
7,Stranger's Kiss (Duet with Angel Olsen),0QYBSRi2hKfkNFVwRJX3iz,indie,https://open.spotify.com/track/0QYBSRi2hKfkNFVwRJX3iz,"['Alex Cameron', 'Angel Olsen']","['6kGMx9MqwnbKR2EYvZvvrG', '6mKqFxGMS5TGDZI3XkT5Rt']","[['australian alternative rock'], ['alternative americana', 'art pop', 'chamber pop', 'dream pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock']]",2017-09-08,241467,41,0.529,0.73,7,-5.342,1,0.0388,0.463,0.0,0.11,0.362,119.938,241467,4
8,Solo,35xSkNIXi504fcEwz9USRB,indie,https://open.spotify.com/track/35xSkNIXi504fcEwz9USRB,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",2016-08-20,257380,67,0.444,0.287,5,-10.631,0,0.0375,0.849,2.82e-06,0.161,0.246,124.027,257380,4
9,Animal,3DKCYiD9C6ZBeqDzisTofP,indie,https://open.spotify.com/track/3DKCYiD9C6ZBeqDzisTofP,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",2018-08-31,265108,0,0.335,0.314,8,-11.155,1,0.0411,0.535,0.00517,0.295,0.0528,122.446,265108,4
10,Listening In,3Q69H0ykl0jrL7uvXH0AvG,indie,https://open.spotify.com/track/3Q69H0ykl0jrL7uvXH0AvG,Dr. Dog,4mLJ3XfOM5FPjSAWdQ2Jk7,"['alternative rock', 'indie folk', 'indie pop', 'indie rock', 'modern folk rock', 'modern rock', 'philly indie', 'stomp and holler']",2018-04-27,295396,38,0.635,0.327,9,-9.89,0,0.0293,0.192,0.0078,0.162,0.38,78.699,295397,4
11,Want You Back,2ixswrurtpfZHrx406eGgw,indie,https://open.spotify.com/track/2ixswrurtpfZHrx406eGgw,HAIM,4Ui2kfOqGujY81UcPrb5KE,"['art pop', 'dance pop', 'indie pop', 'metropopolis', 'pop rock']",2017-07-07,232120,53,0.635,0.853,0,-3.926,1,0.048,0.121,0.0,0.371,0.372,112.964,232120,4
12,Cosmic Love,0CSTvWUps1YmpQoXXay9ol,indie,https://open.spotify.com/track/0CSTvWUps1YmpQoXXay9ol,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,"['baroque pop', 'pop', 'uk alternative pop']",2009,255133,60,0.524,0.803,9,-5.56,0,0.0366,0.145,0.000191,0.115,0.0827,140.003,255133,4
13,Heart Cooks Brain,6ccbDtihsiqqviUM0YqbUu,indie,https://open.spotify.com/track/6ccbDtihsiqqviUM0YqbUu,Modest Mouse,1yAwtBaoHLEDWAnWR87hBT,"['alternative rock', 'double drumming', 'indie pop', 'indie rock', 'modern rock', 'rock', 'washington indie']",1997-11-18,242933,39,0.648,0.522,0,-4.787,1,0.0305,0.0063,0.00106,0.223,0.365,81.515,242933,4
14,Magician (Suture),6M3u70GWuRDLcyvpPJEgzk,indie,https://open.spotify.com/track/6M3u70GWuRDLcyvpPJEgzk,Milo,0J6PhnVD21GSFoJ9HoadLH,"['alternative hip hop', 'escape room', 'milwaukee hip hop']",2017-08-11,137062,0,0.564,0.735,7,-8.308,1,0.436,0.285,0.000201,0.239,0.38,92.98,137063,4
