,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,My Type,2DFi8rwHcVkTTgu7PULhtI,indie,https://open.spotify.com/track/2DFi8rwHcVkTTgu7PULhtI,Saint Motel,1dWEYMPtNmvSVaDNLgB6NV,"['indie pop', 'indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'rock']",2014-06-17,206393,65,0.596,0.897,10,-2.94,1,0.0462,0.0641,5.24e-05,0.0628,0.578,118.0,206394,4,"Ooh, ooh-ooh-ooh, ooh ooh

And take a look around the room
Love comes wearing disguises
How to go about and choose?
Break it down by shapes and sizes
I'm a man who's got very specific taste

You-you-you're just my type
Oh, you got a pulse and you are breathing
You-you-you're just my type
Ooh, I think it's time that we get leaving
You-you-you're just my type
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Atlas Hands,4yTLzGr4hPiNWR8L88wTo6,indie,https://open.spotify.com/track/4yTLzGr4hPiNWR8L88wTo6,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,"['acoustic pop', 'indie anthem-folk', 'indie folk', 'stomp and holler', 'york indie']",2011,173093,42,0.624,0.312,6,-11.833,1,0.03,0.897,0.00182,0.0618,0.486,82.538,173093,4,"Take me to the docks, there is a ship without a name there
And it is sailing to the middle of the sea
The water there is deeper than anything you've ever seen
Jump right in and swim until you're free

I will remember your face
'Cause I am still in love with that place
When the stars are the only things we share
Will you be there?

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
2,2,Dirty Paws,5g7rJvWYVrloJZwKiShqlS,indie,https://open.spotify.com/track/5g7rJvWYVrloJZwKiShqlS,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,"['folk-pop', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",2012-01-01,278373,71,0.359,0.649,3,-7.06,1,0.0349,0.107,0.0124,0.0555,0.133,111.709,278373,4,"Jumpin' up and down the floor
My head is an animal
And once there was an animal
It had a son that mowed the lawn

The son was an okay guy
They had a pet dragonfly
The dragonfly, it ran away
But it came back with a story to say
(...)

Hey!
(...)

Her dirty paws and furry coat
She ran down the forest slopes
The forest of talking trees
They used to sing about the birds and the bees

The bees had declared a war
The sky wasn't big enough for them all
The birds, they got help from below
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,Underwater,5ZvHcR4OSwvEV5IhigbTOT,indie,https://open.spotify.com/track/5ZvHcR4OSwvEV5IhigbTOT,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,"['australian electropop', 'indietronica']",2018-10-19,349293,64,0.611,0.809,6,-6.63,0,0.0342,0.019,0.0185,0.114,0.428,118.00299999999999,349293,4,"She said I'm running around looking for peace of mind
So come out and change me
You were always around to make me smile

Stuck underwater
I'm stuck underwater
I just need some space
My friend
It's not what you wanted
It's not what you wanted
But I just need a change
Again

Help me out before I die
Save me now before I give up
Help me out before I drown
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,Roygbiv,2XQSgmtEY2titXhfY414dy,indie,https://open.spotify.com/track/2XQSgmtEY2titXhfY414dy,Boards of Canada,2VAvhf61GgLYmC6C8anyX1,"['ambient', 'big beat', 'electronica', 'intelligent dance music', 'microhouse', 'scottish electronic', 'trip hop']",1998-04-20,151520,56,0.631,0.521,4,-10.312000000000001,0,0.063,0.0201,0.9229999999999999,0.10300000000000001,0.11800000000000001,84.03299999999999,151520,4,lyrics not found
5,5,666 ʇ,7eRU0RltchvgOTSbX6vmdv,indie,https://open.spotify.com/track/7eRU0RltchvgOTSbX6vmdv,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"['eau claire indie', 'indie folk', 'melancholia']",2016-09-30,252000,52,0.634,0.341,1,-12.356,0,0.034,0.899,0.0309,0.187,0.158,110.005,252000,4,"Sixes hang in the door
What kind of shit to ignore
I've cut the cloth
(Ooh, hard line circle)
How to know who to write?
How to know who can cull up all the questions?
(We know that I'm right, 'cause)
To clean out a night
I fell in love

I heard about it
(Bit by bit, bit by bit)
I heard about it
(Bit by bit, bit by bit)
I heard about it
(Bit by bit, bit by bit)
Oh, oooh

And so it's not in your clasp
Then what's the function or the task?
Well, I'd stun and I'd stammer
Help me reach the hammer
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,Aquarium,4ZOv9mx6Lz7RRaBFi5UNaE,indie,https://open.spotify.com/track/4ZOv9mx6Lz7RRaBFi5UNaE,Nosaj Thing,0IVapwlnM3dEOiMsHXsghT,"['bass music', 'chillwave', 'electronica', 'glitch hop', 'microhouse', 'wonky']",2006-01-01,184000,51,0.635,0.655,0,-9.521,1,0.0484,0.15,0.5529999999999999,0.129,0.271,91.02600000000001,184000,4,lyrics not found
7,7,Stranger's Kiss (Duet with Angel Olsen),0QYBSRi2hKfkNFVwRJX3iz,indie,https://open.spotify.com/track/0QYBSRi2hKfkNFVwRJX3iz,"['Alex Cameron', 'Angel Olsen']","['6kGMx9MqwnbKR2EYvZvvrG', '6mKqFxGMS5TGDZI3XkT5Rt']","[['australian alternative rock'], ['alternative americana', 'art pop', 'chamber pop', 'dream pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock']]",2017-09-08,241467,41,0.529,0.73,7,-5.3420000000000005,1,0.0388,0.46299999999999997,0.0,0.11,0.36200000000000004,119.93799999999999,241467,4,"Don't even bother climbing out of the well
That ain't no way to get out of the hell that you're in
If you wanna see the back of it, girl
You better start digging down with your pail of tin
I got shat on by an eagle, baby
Now I'm king of the neighborhood
And it feels like I could
Just peel the gym pants off a single mother
But this run of good luck don't got me feeling all that good

And it hurts, and it hurts
But I don't wanna talk about it
'Cause in my dreams, I miss you
Then I wake up to reality's bliss
Now all I ever wanted and all I ever needed is right here
In the stranger's kiss

Don't bother flying when you jump off the cliff
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Solo,35xSkNIXi504fcEwz9USRB,indie,https://open.spotify.com/track/35xSkNIXi504fcEwz9USRB,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",2016-08-20,257380,67,0.444,0.287,5,-10.630999999999998,0,0.0375,0.8490000000000001,2.82e-06,0.161,0.24600000000000002,124.027,257380,4,"Hand me a towel I'm dirty dancing by myself
Gone off tabs of that acid
Form me a circle, watch my jagger
Might lose my jacket and hit a solo
One time
We too loud in public then police turned down the function
Now we outside and the timing's perfect
Forgot to tell you, gotta tell you how much I vibe with you
And we don't gotta be solo
Now stay away from highways
My eyes like them red lights
Right now I prefer yellow
Red-bone, so mellow
Fuck 'round, be cutting you
Think we were better off solo
I got that act right in the Windy city that night
No trees to blow through
But blow me and I owe you
Two grams when the sunrise
Smoking good, rolling solo

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,Animal,3DKCYiD9C6ZBeqDzisTofP,indie,https://open.spotify.com/track/3DKCYiD9C6ZBeqDzisTofP,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",2018-08-31,265108,0,0.335,0.314,8,-11.155,1,0.0411,0.535,0.00517,0.295,0.0528,122.446,265108,4,"I told you something safe
Something I never said before
And I, I, I can't keep my hands off you
While you're lying awake
Covered all in the night before
I'm high, high, high, no one's got me quite like you

I want you all to myself
Don't leave none for nobody else
I am an animal with you

No angels could beckon me back
It's hotter than hell where I'm at
I am an animal with you

An ode to the boy I love
Boy, I'll die to care for you
You're mine, mine, mine, tell me who do I owe that to
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
