,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,정말 내가 죽을 죄를 지었어,6w8WhoTh1cYYBxV9IrLbx2,k-pop,https://open.spotify.com/track/6w8WhoTh1cYYBxV9IrLbx2,Doz,2UAy6oKbhxTwZJMG5PC04D,[],2012-01-27,271874,0,0.729,0.915,0,-5.065,1,0.0337,0.162,0.000195,0.0888,0.645,124.974,271875,4
1,함께 떠나다 (How Could I),73bx8rFCXwNWWuFb8Jrkrd,k-pop,https://open.spotify.com/track/73bx8rFCXwNWWuFb8Jrkrd,Yiruma,0fauHpmSHwodVYIjTqOGHz,"['korean instrumental', 'neo-classical', 'new age piano']",2011-11-30,115853,0,0.499,0.00535,1,-29.702,1,0.0532,0.959,0.0944,0.107,0.291,94.614,115853,4
2,깨져,0d7zYrwXOkCfjnCfocdYLJ,k-pop,https://open.spotify.com/track/0d7zYrwXOkCfjnCfocdYLJ,"['STi', 'Molly.D']","['38m6NaoBF8CowoI9HfswXC', '6E8BWapRyleJWzWxYlWuH1']","[[], []]",2011-11-28,242386,0,0.812,0.661,1,-5.455,0,0.0911,0.142,0.0,0.0924,0.497,131.902,242387,4
3,Gangnam Style (강남스타일),1R2SZUOGJqqBiLuvwKOT2Y,k-pop,https://open.spotify.com/track/1R2SZUOGJqqBiLuvwKOT2Y,PSY,2dd5mrQZvg6SmahdgVKDzh,"['k-pop', 'k-rap', 'korean old school hip hop']",2012-01-01,219493,0,0.727,0.938,11,-2.872,0,0.288,0.00432,0.0,0.0911,0.757,132.077,219493,4
4,샤방샤방 (MR),3evUIDZtyOy4ZDUGAGsIs8,k-pop,https://open.spotify.com/track/3evUIDZtyOy4ZDUGAGsIs8,Park Hyun-Bin,4CFPY7gjBXwLIaDhkngkjj,['trot'],2011-11-23,204680,0,0.661,0.919,6,-4.184,0,0.0486,0.00218,0.587,0.29,0.84,136.945,204680,4
5,How Great Is Your Love(Original Title : Still Believe In Love),7KIdiNlHgOWaMUlyodRIoG,k-pop,https://open.spotify.com/track/7KIdiNlHgOWaMUlyodRIoG,Girls' Generation,0Sadg1vgvaPqGTOjxu0N6c,"['k-pop', 'k-pop girl group']",2011-01-01,232853,0,0.562,0.743,4,-5.158,1,0.0339,0.153,0.0,0.291,0.441,134.072,232853,4
6,Without You (니가없이),3DJMTN4kjk8QF1Ol6qE2N5,k-pop,https://open.spotify.com/track/3DJMTN4kjk8QF1Ol6qE2N5,Bom,0ZM9kppqNgDNvyP33aX0KA,[],2011-07-28,205880,0,0.358,0.564,10,-6.381,1,0.0863,0.775,0.0,0.106,0.37,65.977,205880,4
7,Day Something,0ZjbtskSOOllANAAWynP2Q,k-pop,https://open.spotify.com/track/0ZjbtskSOOllANAAWynP2Q,더더 밴드(TheThE Band),5WUtamNqBWjmk0uzIKdANT,[],2011-08-29,259460,0,0.419,0.772,0,-4.859,1,0.0454,0.0195,0.0679,0.0797,0.555,155.966,259460,4
8,EV1,0jl3XLh9IVvCSmnGqsIASD,k-pop,https://open.spotify.com/track/0jl3XLh9IVvCSmnGqsIASD,JAURIM,6evmYxFbDSIHilUaYC9MhL,"['k-indie', 'k-rock']",2011-08-18,214387,0,0.676,0.554,5,-6.034,1,0.023,0.613,2.62e-05,0.118,0.306,86.97,214388,4
9,BABY GOOD NIGHT,66P1OXbpaQYFJiiYY1u1tW,k-pop,https://open.spotify.com/track/66P1OXbpaQYFJiiYY1u1tW,GD&TOP,3e3oLJehq4vQl2H0FAJnvn,"['k-pop', 'k-rap']",2010-12-24,210476,0,0.667,0.679,0,-5.994,1,0.0887,0.435,0.0,0.104,0.323,90.03,210477,4
