,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,정말 내가 죽을 죄를 지었어,6w8WhoTh1cYYBxV9IrLbx2,k-pop,https://open.spotify.com/track/6w8WhoTh1cYYBxV9IrLbx2,Doz,2UAy6oKbhxTwZJMG5PC04D,[],2012-01-27,271874,0,0.7290000000000001,0.915,0,-5.065,1,0.0337,0.162,0.000195,0.0888,0.645,124.97399999999999,271875,4,lyrics not found
1,1,함께 떠나다 (How Could I),73bx8rFCXwNWWuFb8Jrkrd,k-pop,https://open.spotify.com/track/73bx8rFCXwNWWuFb8Jrkrd,Yiruma,0fauHpmSHwodVYIjTqOGHz,"['korean instrumental', 'neo-classical', 'new age piano']",2011-11-30,115853,0,0.499,0.00535,1,-29.701999999999998,1,0.0532,0.9590000000000001,0.0944,0.107,0.29100000000000004,94.61399999999999,115853,4,lyrics not found
2,2,깨져,0d7zYrwXOkCfjnCfocdYLJ,k-pop,https://open.spotify.com/track/0d7zYrwXOkCfjnCfocdYLJ,"['STi', 'Molly.D']","['38m6NaoBF8CowoI9HfswXC', '6E8BWapRyleJWzWxYlWuH1']","[[], []]",2011-11-28,242386,0,0.812,0.6609999999999999,1,-5.455,0,0.0911,0.142,0.0,0.0924,0.49700000000000005,131.90200000000002,242387,4,lyrics not found
3,3,Gangnam Style (강남스타일),1R2SZUOGJqqBiLuvwKOT2Y,k-pop,https://open.spotify.com/track/1R2SZUOGJqqBiLuvwKOT2Y,PSY,2dd5mrQZvg6SmahdgVKDzh,"['k-pop', 'k-rap', 'korean old school hip hop']",2012-01-01,219493,0,0.727,0.938,11,-2.872,0,0.28800000000000003,0.00432,0.0,0.0911,0.757,132.077,219493,4,"오빤 강남 스타일
강남스타일

낮에는 따사로운 인간적인 여자
커피 한잔의 여유를 아는 품격 있는 여자
밤이 오면 심장이 뜨거워지는 여자
그런 반전 있는 여자

나는 사나이
낮에는 너만큼 따사로운 그런 사나이
커피 식기도 전에 원샷 때리는 사나이
밤이 오면 심장이 터져버리는 사나이
그런 사나이

아름다워 사랑스러워
그래, 너 (hey), 그래, 바로 너 (hey)
아름다워 사랑스러워
그래, 너 (hey), 그래, 바로 너 (hey)
지금부터 갈 데까지 가볼까

오빤 강남스타일 (uh)
강남스타일
오, 오, 오, 오, 오빤 강남스타일 (uh)
강남스타일
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,샤방샤방 (MR),3evUIDZtyOy4ZDUGAGsIs8,k-pop,https://open.spotify.com/track/3evUIDZtyOy4ZDUGAGsIs8,Park Hyun-Bin,4CFPY7gjBXwLIaDhkngkjj,['trot'],2011-11-23,204680,0,0.6609999999999999,0.919,6,-4.184,0,0.0486,0.00218,0.5870000000000001,0.29,0.84,136.945,204680,4,
5,5,How Great Is Your Love(Original Title : Still Believe In Love),7KIdiNlHgOWaMUlyodRIoG,k-pop,https://open.spotify.com/track/7KIdiNlHgOWaMUlyodRIoG,Girls' Generation,0Sadg1vgvaPqGTOjxu0N6c,"['k-pop', 'k-pop girl group']",2011-01-01,232853,0,0.562,0.743,4,-5.1579999999999995,1,0.0339,0.153,0.0,0.29100000000000004,0.441,134.072,232853,4,"봄날 같은 미소에
온 세상이 환해져요
날 다시 또 꿈꾸게 해요
햇살이 반짝이는 날
그대 손에 깍지 끼고
발걸음을 맞춰 걸어요
가끔 내가 앞서 걷다가
문득 뒤를 돌아보면
나를 보는 그 얼굴에
나 눈이 부시죠

봄이 오는 소리 들리면
(꽃이 핀 길 따라 걸어요)
비 내리는 여름이 오면
(무지개만 보며 걸어요)
가을 지나 겨울이 와도
손에 전해지는 온기로
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,Without You (니가없이),3DJMTN4kjk8QF1Ol6qE2N5,k-pop,https://open.spotify.com/track/3DJMTN4kjk8QF1Ol6qE2N5,Bom,0ZM9kppqNgDNvyP33aX0KA,[],2011-07-28,205880,0,0.358,0.564,10,-6.381,1,0.0863,0.775,0.0,0.106,0.37,65.977,205880,4,"Sonheundeuneun neoui moseup
Misojitneun naui eolgul
Eojewa dareun naui maeumeul ani

Bamsewotdeon jinanbame
Dajimhaetdeon naui maldeureul
Ijeneun moduda yaegihallae

Eonjeinga neoneun machi
Naegen jaseokgachi
Dagawa useojwotgo naegyeote isseojwotda
Ttaeroneun chingucheoreom
Ttaeroneun eommacheoreom nan
Sesang geu nuguboda micheosaranghagedoetda
Gajilsu eopdeon niga saranghaesseotdeon niga
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,Day Something,0ZjbtskSOOllANAAWynP2Q,k-pop,https://open.spotify.com/track/0ZjbtskSOOllANAAWynP2Q,더더 밴드(TheThE Band),5WUtamNqBWjmk0uzIKdANT,[],2011-08-29,259460,0,0.419,0.772,0,-4.859,1,0.0454,0.0195,0.0679,0.0797,0.555,155.966,259460,4,lyrics not found
8,8,EV1,0jl3XLh9IVvCSmnGqsIASD,k-pop,https://open.spotify.com/track/0jl3XLh9IVvCSmnGqsIASD,JAURIM,6evmYxFbDSIHilUaYC9MhL,"['k-indie', 'k-rock']",2011-08-18,214387,0,0.6759999999999999,0.5539999999999999,5,-6.034,1,0.023,0.613,2.62e-05,0.11800000000000001,0.306,86.97,214388,4,"기묘한 얘기 하나가 있었어
EV1이라 불리던 차의 얘기
이제쯤 너도 아마 알고 있겠지만
이 세상은 이상한 얘기로 가득하지

아직은 달릴 수가 있었는데
사막 한가운데로 버려진
빨간색 초록색 EV1
거짓말이라고 해줘
EV1
EV1
EV1의 이야기

인간은 때로 신의 이름을 외치면서
증오와 몰이해로 살인을 저지르고
타인의 불행, 아직 오지 않은 고통은
내 것이 아니니까 아랑곳하지 않지
마치 당연한 것처럼

아직은 달릴 수가 있었는데
사막 한 가운데로 버려진
빨간색 초록색 EV1
거짓말이라고 해 줘

모순과 부조리와 눈물
아무리 외면해도
세상은 처음부터 그런 곳이었어
진짜 이유를 말해 줘요
아무리 비참해도
내가 생각하는 그런 이유는 아니라고 말해 줘

EV1
EV1
EV1
EV1
EV1의 이야기
EV1
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,BABY GOOD NIGHT,66P1OXbpaQYFJiiYY1u1tW,k-pop,https://open.spotify.com/track/66P1OXbpaQYFJiiYY1u1tW,GD&TOP,3e3oLJehq4vQl2H0FAJnvn,"['k-pop', 'k-rap']",2010-12-24,210476,0,0.667,0.679,0,-5.994,1,0.0887,0.435,0.0,0.10400000000000001,0.32299999999999995,90.03,210477,4,"C'est bon, fais-moi du bien

Baby good night
Baby good night
Baby good night
Baby good night Baby good night
그대가 잠든 모습 그려볼까
더는 수줍어 마 넌 이미 나만의 여자인걸
잘은 몰라도 내겐 그래 그댄 내게 과분한 존재
넌 완벽해 내 옆에 있어주니 감사해 baby my lady
(I'll always love you girl)

한줄기 빛이 흐르네
어두운 발코니 틈 사이
완벽한 실루엣 평온해지는 이 밤의 향기가
코코넛 향 오일같다
마치 너에게 처음 고백했었던 날
혹시 기억하니
나는 네 귓가에 이리와 가까이
넌 너무 근사해 주근깨를 가진 새빨간 딸기
난 그 위를 감싸버린 휘핑크림이 되어

You know how much I love you beautiful girl
내게는 아이 그림처럼
그건 그림자 앞에 멈춰 버린채
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
