,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,All Mine,3qnoOm4fwZPBS116f5hpgF,pop,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'rap']",2018-06-01,145506,0,0.925,0.308,11,-6.562,0,0.338,0.125,0.0,0.0933,0.265,122.099,145507,4
1,Perfect,3NLnwwAQbbFKcEcV8hDItk,pop,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']",2015-11-13,230333,75,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,230333,4
2,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,pop,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['dance pop', 'pop', 'post-teen pop']",2018-10-05,210200,78,0.553,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.296,129.976,210200,4
3,1999,05mAIVLkIWc2d1UBYZBCp8,pop,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,"['Charli XCX', 'Troye Sivan']","['25uiPmTg16RbhZWAqwLBy5', '3WGpXCj9YhhfX11TToZcXP']","[['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop'], ['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']]",2018-10-05,189000,62,0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000,4
4,The Monster,3u0qM9FSgL3zXi1Vn75b0i,pop,https://open.spotify.com/track/3u0qM9FSgL3zXi1Vn75b0i,"['Eminem', 'Rihanna']","['7dGJo4pcD2V6oG8kP0tJRR', '5pKCCKE2ajJHZ9KAiaK11H']","[['detroit hip hop', 'hip hop', 'rap'], ['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']]",2013-01-01,250188,0,0.781,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110.049,250189,4
5,You Don't Know Love,3ZeszLrkylVDyAFS9MLajv,pop,https://open.spotify.com/track/3ZeszLrkylVDyAFS9MLajv,Olly Murs,3whuHq0yGx60atvA2RCVRW,"['dance pop', 'europop', 'hollywood', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",2016-11-11,199013,0,0.668,0.661,2,-5.698,0,0.0494,0.000932,0.0,0.201,0.372,118.696,199013,4
6,Chanel,6Nle9hKrkL1wQpwNfEkxjh,pop,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",2017-03-10,210285,78,0.776,0.503,0,-5.732,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,4
7,Make Me... (feat. G-Eazy),0nUGa8WQpQqg2vzJUprEo5,pop,https://open.spotify.com/track/0nUGa8WQpQqg2vzJUprEo5,"['Britney Spears', 'G-Eazy']","['26dSoYclwsYLMAKD3tpOr4', '02kJSzxNuaWGqwubyUba0Z']","[['dance pop', 'pop', 'post-teen pop'], ['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']]",2016-08-26,230960,59,0.701,0.7,7,-6.672,0,0.0925,0.146,0.0,0.206,0.592,122.984,230960,4
8,Royals,2dLLR6qlu5UJ5gk0dKz0h3,pop,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,Lorde,163tK9Wjr9P9DmM0AVK7lm,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",2013-09-27,190185,75,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.878,190185,4
9,Good Grief,6IGA5YrFiEr5ANrMqKkR6H,pop,https://open.spotify.com/track/6IGA5YrFiEr5ANrMqKkR6H,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']",2016-09-09,206493,67,0.73,0.758,1,-4.888,1,0.0653,0.147,0.0,0.311,0.877,120.041,206493,4
10,Cut It (feat. Young Dolph),376KnY4TrgBITxjlnbnmIy,pop,https://open.spotify.com/track/376KnY4TrgBITxjlnbnmIy,"['O.T. Genasis', 'Young Dolph']","['1Zatb2YN4erBOoSivOXc0o', '3HiuzBlSW7pGDXlSFMhO2g']","[['gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap'], ['gangster rap', 'hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']]",2015-09-25,222600,60,0.875,0.673,7,-4.184,1,0.0932,0.135,0.0,0.292,0.231,130.0,222600,4
11,Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,pop,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,"['Kodak Black', 'XXXTENTACION']","['46SHBwWsqBkxI7EeeBEQG7', '15UsOTVnJzReFVN1VCnxy4']","[['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap'], ['emo rap', 'miami hip hop']]",2017-08-18,213132,75,0.747,0.524,10,-6.807,0,0.245,0.0306,0.0,0.2,0.363,140.053,213132,4
12,Stronger (What Doesn't Kill You),2GcSQZ1TmuRvqp3r4fWOZO,pop,https://open.spotify.com/track/2GcSQZ1TmuRvqp3r4fWOZO,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",2011,221946,0,0.562,0.939,0,-4.282,1,0.0475,0.046,0.0,0.112,0.684,116.044,221947,4
13,All The Time,0USZx50eApN045zIIyjePN,pop,https://open.spotify.com/track/0USZx50eApN045zIIyjePN,"['Jeremih', 'Lil Wayne', 'Natasha Mosley']","['3KV3p5EY4AvKxOlhGHORLg', '55Aa2cqylxrFIXC767Z865', '1fYdgyGBrMIEML5cuo5FpZ']","[['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary'], ['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap'], ['pop r&b']]",2013-01-01,264200,71,0.675,0.44,9,-9.298,0,0.349,0.545,6.24e-06,0.197,0.0338,109.823,264200,4
14,Cool Girl,3tJ4y2Zqx6gM9xOAuFfsSF,pop,https://open.spotify.com/track/3tJ4y2Zqx6gM9xOAuFfsSF,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,"['dance pop', 'electropop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",2016-10-28,199179,66,0.674,0.694,9,-7.076,0,0.109,0.313,7.17e-06,0.0752,0.203,101.993,199179,4
15,Don't,3pXF1nA74528Edde4of9CC,pop,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']",2015-10-02,198293,76,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,198293,4
16,Either Way (feat. Joey Bada$$),3nodtPfXcok53E8Uze8gvD,pop,https://open.spotify.com/track/3nodtPfXcok53E8Uze8gvD,"['Snakehips', 'Anne-Marie', 'Joey Bada$$']","['2FwJwEswyIUAljqgjNSHgP', '1zNqDE7qDGCsyzJwohVaoX', '2P5sC9cVZDToPxyomzF1UH']","[['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house'], ['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop'], ['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']]",2017-07-28,187588,55,0.635,0.659,8,-4.92,1,0.155,0.309,0.0,0.302,0.54,178.018,187589,4
