,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,All Mine,3qnoOm4fwZPBS116f5hpgF,pop,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'rap']",2018-06-01,145506,0,0.925,0.308,11,-6.562,0,0.33799999999999997,0.125,0.0,0.0933,0.265,122.09899999999999,145507,4,"Yeah, you supermodel thick
Damn, that ass bustin' out the bottom
I'ma lose my mind in it
Crazy, that medulla oblongata
Get to rubbin' on my lamp
Get the genie out the bottle

Fuck it up, fuck it up
Pussy good, go and back it up
Pipe her up, I'ma pipe her up
Make her mine, I done fell in love
Juicy thing, make that pussy say
One more time, baby, do it big
Make it cry, come boohoo this shit

Yeah, you supermodel thick
Damn, that ass bustin' out the bottom
I'ma lose my mind in it
Crazy, that medulla oblongata
Get to rubbin' on my lamp
Get the genie out the bottle

If I pull up with a Kerry Washington
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Perfect,3NLnwwAQbbFKcEcV8hDItk,pop,https://open.spotify.com/track/3NLnwwAQbbFKcEcV8hDItk,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']",2015-11-13,230333,75,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.11900000000000001,0.396,99.93299999999999,230333,4,
2,2,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,pop,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['dance pop', 'pop', 'post-teen pop']",2018-10-05,210200,78,0.5529999999999999,0.502,0,-5.972,1,0.0409,0.299,0.0,0.764,0.29600000000000004,129.976,210200,4,"That Arizona sky, burning in your eyes
You look at me and babe I wanna catch on fire
It's buried in my soul, like California gold
You found the light in me that I couldn't find
So when I'm all choked up but I can't find the words
Every time we say goodbye, baby, it hurts
When the sun goes down
And the band won't play
I'll always remember us this way
Lovers in the night
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,1999,05mAIVLkIWc2d1UBYZBCp8,pop,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,"['Charli XCX', 'Troye Sivan']","['25uiPmTg16RbhZWAqwLBy5', '3WGpXCj9YhhfX11TToZcXP']","[['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop'], ['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']]",2018-10-05,189000,62,0.7390000000000001,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.22899999999999998,0.659,124.016,189000,4,"I just wanna go back, back to 1999
Take a ride to my old neighborhood
I just wanna go back, sing ""Hit me baby, one more time""
Wanna go back, wanna go

Yeah, I just wanna go back
Nike Airs, All That
CD, old Mercedes
Drive 'round listening to Shady like, oh
Never under pressure, oh
Those days, it was so much better, oh
Feelin' cool in my youth, relaxin'
No money, no problem
It was easy back then

Ooh, wish that we could go back in time, uh
Got memories
Ooh, maybe we could do it tonight
Tonight's the night

I just wanna go back, back to 1999
Take a ride to my old neighborhood
I just wanna go back
Sing ""Hit me baby, one more time""
Wanna go back, wanna go

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,The Monster,3u0qM9FSgL3zXi1Vn75b0i,pop,https://open.spotify.com/track/3u0qM9FSgL3zXi1Vn75b0i,"['Eminem', 'Rihanna']","['7dGJo4pcD2V6oG8kP0tJRR', '5pKCCKE2ajJHZ9KAiaK11H']","[['detroit hip hop', 'hip hop', 'rap'], ['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'urban contemporary']]",2013-01-01,250188,0,0.7809999999999999,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110.04899999999999,250189,4,"I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You trying to save me, stop holding your breath
And you think I'm crazy, yeah, you think I'm crazy

I wanted the fame, but not the cover of Newsweek
Oh well, guess beggars can't be choosey
Wanted to receive attention for my music
Wanted to be left alone, public excuse me
Been wanting my cake, I need it too, wanting it both ways
Fame made me a balloon cause my ego inflated
When I blew seep it was confusing
'Cause all I wanted to do is be the Bruce Lee of loose leaf
Abused ink, used it as a tool when I blew steam
Ooh, hit the lottery, oh wee
With what I gave up to get was bittersweet
It was like winning a huge meet
Ironic 'cause I think I'm getting so huge I need a shrink
I'm beginning to lose sleep, one sheep, two sheep

Going cucko and cuckier as Kool Keith

But I'm actually weirder than you think, 'cause I'm
I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You trying to save me, stop holding your breath

And you think I'm crazy, yeah, you think I'm crazy
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,You Don't Know Love,3ZeszLrkylVDyAFS9MLajv,pop,https://open.spotify.com/track/3ZeszLrkylVDyAFS9MLajv,Olly Murs,3whuHq0yGx60atvA2RCVRW,"['dance pop', 'europop', 'hollywood', 'neo mellow', 'pop', 'pop dance', 'pop rock', 'post-teen pop', 'talent show', 'tropical house', 'uk pop']",2016-11-11,199013,0,0.6679999999999999,0.6609999999999999,2,-5.6979999999999995,0,0.0494,0.000932,0.0,0.201,0.37200000000000005,118.696,199013,4,
6,6,Chanel,6Nle9hKrkL1wQpwNfEkxjh,pop,https://open.spotify.com/track/6Nle9hKrkL1wQpwNfEkxjh,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",2017-03-10,210285,78,0.7759999999999999,0.503,0,-5.732,0,0.237,0.8740000000000001,0.0,0.11199999999999999,0.473,110.134,210285,4,"My guy pretty like a girl
And he got fight stories to tell
I see both sides like Chanel
See on both sides like Chanel
Swimmin' laps through pool water
Heated like I'm underworld
Hide my tattoos in Shibuya
Police think I'm of the underworld

12 treat a nigga like he 12
How you lookin' up to me and talkin' down?
Can't you see I am the big man? (Big man)
God level, I am the I am (Whoa)
Now film it with that drone cam, in the pink like Killa Cam
Put a zoom on that stick; Noé, up so close I'm on that kill
Remote controller on your lower back, yeah that's the good
Dick could roll the eyes back in the skull

Rollin' when you ride, poppin'
Rollin' when you ride, ride the Rodman
Got one that's straight actin'
Turnt out like some dirty plastic (Ride)
2016 burnt some discs
2017 ideas playin' off a Walkman
This a cult, not a clique on the net
With a cup in a cup, Actavis

That's a double edge, ""Issa knife""
And I don't like to fight 'til I'm fightin'
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,Make Me... (feat. G-Eazy),0nUGa8WQpQqg2vzJUprEo5,pop,https://open.spotify.com/track/0nUGa8WQpQqg2vzJUprEo5,"['Britney Spears', 'G-Eazy']","['26dSoYclwsYLMAKD3tpOr4', '02kJSzxNuaWGqwubyUba0Z']","[['dance pop', 'pop', 'post-teen pop'], ['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']]",2016-08-26,230960,59,0.701,0.7,7,-6.672000000000001,0,0.0925,0.146,0.0,0.20600000000000002,0.5920000000000001,122.984,230960,4,"Friday, I'm dreaming a mile a minute 'bout somebody
This feeling, I wanna go with it, 'cause there's no way
We're hiding away from this tonight, oh, this tonight
Can tell you want me
By the way I see you starin' 'cross the room, babe
No shame in the game
Just cut the shit, be honest
Yeah, you know what you gotta do tonight, do tonight

I just want you to make me move
Like it ain't a choice for you
Like you got a job to do
Just want you to raise my roof
Something sensational (Sensational, oh yeah)

And make me ooh, ooh, ooh, ooh
And make me ooh, ooh, ooh, ooh

No rules
From the bar to the car, let's take it back to my room
Igniting the heat of the moment, let the sparks fuse
Blowing up to the ceiling, we're burning bright
When we cut the light
'Cause you're the flame I can't do without
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Royals,2dLLR6qlu5UJ5gk0dKz0h3,pop,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,Lorde,163tK9Wjr9P9DmM0AVK7lm,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",2013-09-27,190185,75,0.674,0.428,7,-9.504,1,0.122,0.121,0.0,0.132,0.337,84.87799999999999,190185,4,"I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In the torn-up town, no post code envy

But every song's like gold teeth, Grey Goose, trippin' in the bathroom
Blood stains, ball gowns, trashin' the hotel room

We don't care, we're driving Cadillacs in our dreams

But everybody's like Cristal, Maybach, diamonds on your time piece
Jet planes, islands, tigers on a gold leash
We don't care, we aren't caught up in your love affair

And we'll never be royals (royals)
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz
Let me be your ruler (ruler)
You can call me Queen Bee
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,Good Grief,6IGA5YrFiEr5ANrMqKkR6H,pop,https://open.spotify.com/track/6IGA5YrFiEr5ANrMqKkR6H,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']",2016-09-09,206493,67,0.73,0.758,1,-4.888,1,0.0653,0.147,0.0,0.311,0.877,120.041,206493,4,"So, what would you little maniacs like to do first?

Watching through my fingers
Watching through my fingers

Shut my eyes and count to ten
It goes in one ear out the other,
One ear out the other
Burning bright right till the end
Now you'll be missing from the photographs,
Missing from the photographs

Watching through my fingers
Watching through my fingers

In my thoughts you're far away
And you are whistling the melody,
Whistling the melody
Crystallizing clear as day
Oh I can picture you so easily,
Picture you so easily

What's gonna be left of the world if you're not in it?
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
10,10,Cut It (feat. Young Dolph),376KnY4TrgBITxjlnbnmIy,pop,https://open.spotify.com/track/376KnY4TrgBITxjlnbnmIy,"['O.T. Genasis', 'Young Dolph']","['1Zatb2YN4erBOoSivOXc0o', '3HiuzBlSW7pGDXlSFMhO2g']","[['gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap'], ['gangster rap', 'hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']]",2015-09-25,222600,60,0.875,0.6729999999999999,7,-4.184,1,0.0932,0.135,0.0,0.292,0.231,130.0,222600,4,"Cut it, cut it, cut it, cut it
Cut it, cut it, cut it, cut it
Them bricks is way too hot, you need to cut it
Your price is way too high, you need to cut it
Cut it, cut it, cut it, cut it
Cut it, cut it, cut it, cut it
Them bricks is way too hot, you need to cut it
Your price is way too high, you need to cut it

Run up them bands on the regular
Hittin' my plug on the celly, yeah
Tell my ex bitch that I'm sorry
I'm a skate off in the 'Rari
Keep 36 by my side
I'm a go bake me a pie
Keep 45 on my side
Fuck with my niggas, you die
All of my niggas say blood
All of my niggas say cuh
OT, I found me a plug
I got it straight out the mud
Keep it a hundred, no budge
I fell in love with the drugs
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
11,11,Roll in Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,pop,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,"['Kodak Black', 'XXXTENTACION']","['46SHBwWsqBkxI7EeeBEQG7', '15UsOTVnJzReFVN1VCnxy4']","[['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap'], ['emo rap', 'miami hip hop']]",2017-08-18,213132,75,0.747,0.524,10,-6.807,0,0.245,0.0306,0.0,0.2,0.363,140.053,213132,4,"Aye, everything be like, off the top these days like
These days, I don't even know what a pad is these days, you know?

Fuck that hoe 'cause she a nat nat
You ain't the one for me, baby
You ain't got shit I need, bitch
You want me to take my time with you
Well maybe I'm not your speed bitch
Maybe I'm out your league, bitch
You ain't even got no cheese, bitch
Maybe I'm just too G for you
Or maybe I'm just too street, bitch

I can't even roll in peace (why)
Everybody notice me (yeah)
I can't even go to sleep (why)
I'm rolling on a bean (yeah)
They tried to give me eight
Got on my knees like ""Jesus please""
He don't even believe in Jesus
Why you got a Jesus plead?
If you wanna leave just leave
But you ain't gotta lie to me

Even the blind can see, fuck
That you ain't gon ride for me
You ain't even showing me the love you say you got me for
There ain't no loyalty, you lied to me
You said that you gon' ride for me

Baby that's blasphemy, yeah
Baby you're bad for me, yeah
Say you gon' clap for me, yeah
Say you gon' blast for me, yeah
Why you ain't show me none of the love you say you have for me, yeah
I was goin' through tragedy
Bitch, I needed you drastically, yeah

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
