,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Don't Make Me,6MIWp6yV0KUG1u1snehG7n,punk,https://open.spotify.com/track/6MIWp6yV0KUG1u1snehG7n,Rehasher,3JegvPNbAf7Pt3zrKsgXWu,"['fast melodic punk', 'melodic hardcore', 'modern ska punk', 'orgcore', 'skate punk']",2015-07-10,124177,29,0.535,0.968,9,-1.862,1,0.181,0.00355,0.0,0.0384,0.74,138.788,124177,4
1,Double Cross,1KSIcYQfxmOXOacCKyKzDf,punk,https://open.spotify.com/track/1KSIcYQfxmOXOacCKyKzDf,Senses Fail,591yCCsZCLXvaJ0Rg38vLZ,"['emo', 'pop punk', 'post-hardcore', 'screamo']",2017-12-01,205373,0,0.379,0.935,2,-3.546,1,0.0604,1.82e-05,0.0,0.064,0.469,179.902,205373,4
2,Tiny Raindrop,4EvzBvvreh74hcVAsUvfjD,punk,https://open.spotify.com/track/4EvzBvvreh74hcVAsUvfjD,Balance And Composure,2fgl3me4n9diODTrVfruF3,"['alternative emo', 'anthem emo', 'dreamo', 'emo', 'grungegaze', 'melodic hardcore', 'philly indie', 'pop punk', 'progressive post-hardcore']",2013-09-10,213746,45,0.512,0.951,4,-4.245,0,0.0661,2.77e-05,1.56e-05,0.252,0.145,110.172,213747,4
3,American Idiot,45zvStEMsXp8z45OQRhWFJ,punk,https://open.spotify.com/track/45zvStEMsXp8z45OQRhWFJ,Green Day,7oPftvlwr6VrsViSDV7fJY,"['permanent wave', 'pop punk', 'punk']",2004-09-21,174320,65,0.381,0.984,1,-2.42,1,0.0638,2.53e-05,6.91e-05,0.27,0.81,186.081,174320,4
4,Natural's Not in It,6Rsf9POXEmgQHzxXr6ubTg,punk,https://open.spotify.com/track/6Rsf9POXEmgQHzxXr6ubTg,Gang Of Four,3AmWjMXXtBJOmNGpUFSOAl,"['alternative rock', 'art punk', 'art rock', 'dance rock', 'experimental', 'funk rock', 'new wave', 'post-hardcore', 'post-punk', 'punk', 'uk post-punk']",1979-09-25,186760,44,0.763,0.84,0,-6.974,1,0.288,0.0401,0.0652,0.0199,0.895,161.34,186760,4
5,The Taste of Ink,5jZ1Z2GFTf2gwmFc3qiUxs,punk,https://open.spotify.com/track/5jZ1Z2GFTf2gwmFc3qiUxs,The Used,55VydwMyCuGcavwPuhutPL,"['post-hardcore', 'screamo']",2002-06-25,208693,67,0.541,0.904,7,-3.001,1,0.0435,0.00143,0.0,0.193,0.541,98.122,208693,4
6,Hopeless Romantic,180mXjN61yhrKhbY2yQc0E,punk,https://open.spotify.com/track/180mXjN61yhrKhbY2yQc0E,The Bouncing Souls,3mvTAjG7rcyk7DQzLwauzV,"['asbury park indie', 'melodic hardcore', 'new jersey hardcore', 'new jersey punk', 'pop punk', 'punk', ""punk 'n' roll"", 'ska punk', 'skate punk']",1999-05-04,127000,50,0.243,0.981,4,-5.251,1,0.074,0.000164,1.11e-05,0.207,0.216,105.022,127000,4
7,I Fought the Law,7lSDCrF11sdTVfjbAQVZE8,punk,https://open.spotify.com/track/7lSDCrF11sdTVfjbAQVZE8,The Clash,3RGLhK1IP9jnYFH4BRFJBS,"['classic rock', 'permanent wave', 'punk', 'rock']",2013-08-26,163240,63,0.526,0.9,2,-6.815,1,0.0545,0.00539,4.12e-05,0.14,0.883,151.279,163240,4
8,Break Through It All,4WN54cERPExpnOs1adL5nB,punk,https://open.spotify.com/track/4WN54cERPExpnOs1adL5nB,Death Before Dishonor,0BIBoMLD3B0gptcCP0b9K5,"['beatdown', 'boston hardcore', 'hardcore', 'straight edge']",2007,181226,35,0.303,0.987,7,-1.502,1,0.16,0.000235,0.0,0.257,0.247,96.617,181227,4
9,December,7874Z343PEj8TkssG3ySr7,punk,https://open.spotify.com/track/7874Z343PEj8TkssG3ySr7,Introvert,7FwkSwnzWbhUzwJEwlqlJw,"['aussie emo', 'australian post-hardcore', 'newcastle nsw indie']",2017-10-19,186535,0,0.4,0.956,2,-4.081,1,0.0718,1.16e-05,2.25e-05,0.299,0.22,139.954,186535,4
