,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,Don't Make Me,6MIWp6yV0KUG1u1snehG7n,punk,https://open.spotify.com/track/6MIWp6yV0KUG1u1snehG7n,Rehasher,3JegvPNbAf7Pt3zrKsgXWu,"['fast melodic punk', 'melodic hardcore', 'modern ska punk', 'orgcore', 'skate punk']",2015-07-10,124177,29,0.535,0.968,9,-1.8619999999999999,1,0.18100000000000002,0.00355,0.0,0.0384,0.74,138.78799999999998,124177,4,"Another day, lacking some definition
Can anyone remind me what were my intentions
Some people say, it's best to be dependent
Much easier to just lay low and stay suspended
Night after night, what I'm feeling ain't right
But I'm too lame to fight it anymore
There's too much stop and go
Never stay with the flow
Can we just hang it up or
Chalk it up to bad luck I'm asking
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Double Cross,1KSIcYQfxmOXOacCKyKzDf,punk,https://open.spotify.com/track/1KSIcYQfxmOXOacCKyKzDf,Senses Fail,591yCCsZCLXvaJ0Rg38vLZ,"['emo', 'pop punk', 'post-hardcore', 'screamo']",2017-12-01,205373,0,0.379,0.935,2,-3.5460000000000003,1,0.0604,1.82e-05,0.0,0.064,0.469,179.90200000000002,205373,4,"While you're watching from the window waiting
I've been spilling my guts out on the stage
I spent the best years of my life
Drinking myself to sleep at night
And now the glory days have all but faded
Everyone I used to know is jaded
Where is the passion that you used to have
When music was the only thing that you had?

All my pictures have faded over time
I burnt the negatives of you
What have I got here left to prove?
Cause all I got, all I really got is this music that's left of me
And all I want, all I really want is a reason to believe
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
2,2,Tiny Raindrop,4EvzBvvreh74hcVAsUvfjD,punk,https://open.spotify.com/track/4EvzBvvreh74hcVAsUvfjD,Balance And Composure,2fgl3me4n9diODTrVfruF3,"['alternative emo', 'anthem emo', 'dreamo', 'emo', 'grungegaze', 'melodic hardcore', 'philly indie', 'pop punk', 'progressive post-hardcore']",2013-09-10,213746,45,0.512,0.951,4,-4.245,0,0.0661,2.7699999999999996e-05,1.56e-05,0.252,0.145,110.17200000000001,213747,4,"I'll take you on a drive,
Like gardens filled with mirrors,
Lay back eyes open wide,
Through allies we're disappearing,

Come close, stay far,
I'll be your tiny raindrop
I'll fall down now
You left me feeling shameful.

Even if I could I would never let you know,
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,American Idiot,45zvStEMsXp8z45OQRhWFJ,punk,https://open.spotify.com/track/45zvStEMsXp8z45OQRhWFJ,Green Day,7oPftvlwr6VrsViSDV7fJY,"['permanent wave', 'pop punk', 'punk']",2004-09-21,174320,65,0.381,0.9840000000000001,1,-2.42,1,0.0638,2.5300000000000002e-05,6.91e-05,0.27,0.81,186.081,174320,4,"Don't wanna be an American idiot
Don't want a nation under the new media
And can you hear the sound of hysteria?
The subliminal mind-fuck America

Welcome to a new kind of tension
All across the alien nation
Where everything isn't meant to be okay
Television dreams of tomorrow
We are not the ones who are meant to follow
For that's enough to argue

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,Natural's Not in It,6Rsf9POXEmgQHzxXr6ubTg,punk,https://open.spotify.com/track/6Rsf9POXEmgQHzxXr6ubTg,Gang Of Four,3AmWjMXXtBJOmNGpUFSOAl,"['alternative rock', 'art punk', 'art rock', 'dance rock', 'experimental', 'funk rock', 'new wave', 'post-hardcore', 'post-punk', 'punk', 'uk post-punk']",1979-09-25,186760,44,0.763,0.84,0,-6.974,1,0.28800000000000003,0.0401,0.0652,0.0199,0.895,161.34,186760,4,"The problem of leisure
What to do for pleasure
Ideal love, a new purchase
A market of the senses

Dream of the perfect life
Economic circumstances
The body is good business
Sell out, maintain the interest

Remember Lot's wife
Renounce all sin and vice
Dream of the perfect life
This heaven gives me migraine

The problem of leisure
What to do for pleasure

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,The Taste of Ink,5jZ1Z2GFTf2gwmFc3qiUxs,punk,https://open.spotify.com/track/5jZ1Z2GFTf2gwmFc3qiUxs,The Used,55VydwMyCuGcavwPuhutPL,"['post-hardcore', 'screamo']",2002-06-25,208693,67,0.541,0.904,7,-3.0010000000000003,1,0.0435,0.00143,0.0,0.193,0.541,98.12200000000001,208693,4,"Is it worth it, can you even hear me?
Standing with your spotlight on me
Not enough to feed the hungry
I'm tired, and I've felt it for a while now
In this sea of lonely
The taste of ink is getting old
It's four o'clock in the fucking morning

Each day gets more and more like the last day
Still I can see it coming
While I'm standing in the river drowning
This could be my chance to break out
This could be my chance to say goodbye

At last it's finally over
Couldn't take this town much longer
Being half dead wasn't what I planned to be
Now I'm ready to be free

So here I am, it's in my hand
And I'll savor every moment of this
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,Hopeless Romantic,180mXjN61yhrKhbY2yQc0E,punk,https://open.spotify.com/track/180mXjN61yhrKhbY2yQc0E,The Bouncing Souls,3mvTAjG7rcyk7DQzLwauzV,"['asbury park indie', 'melodic hardcore', 'new jersey hardcore', 'new jersey punk', 'pop punk', 'punk', ""punk 'n' roll"", 'ska punk', 'skate punk']",1999-05-04,127000,50,0.243,0.981,4,-5.251,1,0.07400000000000001,0.000164,1.11e-05,0.207,0.21600000000000003,105.022,127000,4,"I don't know what other people say
Or what they think is love
But i know what it means to me
I fall in love so easily
And it's hard to let your guard down
Something you never wanted to do
I give you my love and you turned away
I guess i'd be screwed
But

I'm a hopeless romantic
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,I Fought the Law,7lSDCrF11sdTVfjbAQVZE8,punk,https://open.spotify.com/track/7lSDCrF11sdTVfjbAQVZE8,The Clash,3RGLhK1IP9jnYFH4BRFJBS,"['classic rock', 'permanent wave', 'punk', 'rock']",2013-08-26,163240,63,0.526,0.9,2,-6.815,1,0.0545,0.00539,4.1200000000000005e-05,0.14,0.883,151.279,163240,4,"Breakin' rocks in the hot sun
I fought the law, and the law won
I fought the law, and the law won
I needed money 'cause I had none
I fought the law, and the law won
I fought the law, and the law won

I left my baby and it feels so bad
Guess my race is run
She's the best girl that I ever had
I fought the law, and the law won
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Break Through It All,4WN54cERPExpnOs1adL5nB,punk,https://open.spotify.com/track/4WN54cERPExpnOs1adL5nB,Death Before Dishonor,0BIBoMLD3B0gptcCP0b9K5,"['beatdown', 'boston hardcore', 'hardcore', 'straight edge']",2007,181226,35,0.303,0.987,7,-1.5019999999999998,1,0.16,0.00023500000000000002,0.0,0.257,0.247,96.617,181227,4,"Time took its toll – left me cold
And drove me down to hopelessness
Through suffering gamed my strength
Just to see it's limits
Should I quit
Let defeat have it's way with my soul
Or should I crash into those walls
That seems so unbreakable
Why die a beaten man?
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,December,7874Z343PEj8TkssG3ySr7,punk,https://open.spotify.com/track/7874Z343PEj8TkssG3ySr7,Introvert,7FwkSwnzWbhUzwJEwlqlJw,"['aussie emo', 'australian post-hardcore', 'newcastle nsw indie']",2017-10-19,186535,0,0.4,0.956,2,-4.081,1,0.0718,1.1599999999999999e-05,2.25e-05,0.299,0.22,139.954,186535,4,"Tired eyes are slipping in
Saying words we feel and think
Is it ever enough?

Promises made to be broken
Sorry, I'm miss-spoken
I can't get the words from my head out of my mouth
So I guess you should

Stay if you want
You can leave
I won't hold you back
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
10,10,Amoeba,1xQE0QHrmJUQweLoMB0ZWC,punk,https://open.spotify.com/track/1xQE0QHrmJUQweLoMB0ZWC,Adolescents,2sSmGd0x45FGBtjJwNBSFr,"['hardcore punk', 'punk', 'skate punk', 'thrash core']",1981,186626,54,0.231,0.9620000000000001,4,-7.341,1,0.0753,7.97e-05,0.00175,0.8029999999999999,0.534,189.29,186627,4,"Amoeba!
Amoeba!
Amoeba!
Amoeba!

Amoeba!
Amoeba!
Amoeba!
Amoeba!

We are the scientists in the lab
Looking through a microscope
The little glass slides they never lie
How can this small mind cope?

I've never seen anything like it before
This amoeba's got a mind of it's own
But don't turn your back you stupid science world
This is reaching for the telephone
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
11,11,Knowledge - 2007 Remaster,4rpfA2rFOC7FMGxFNktB0i,punk,https://open.spotify.com/track/4rpfA2rFOC7FMGxFNktB0i,Operation Ivy,18XRGxd1b484f2h06cwvJJ,"['hardcore punk', 'punk', 'ska', 'ska punk', 'skate punk']",1989,102106,50,0.42,0.9470000000000001,5,-4.269,1,0.11900000000000001,0.262,6.52e-05,0.41600000000000004,0.51,92.027,102107,4,"I know things are getting tougher
When you can't get the top off the bottom of the barrel
The Wide open road to my future now
Is looking fuckin narrow

All I know is that I don't know
All I know is that I don't know nothing
All I know is that I don't know
All I know is that I don't know nothing

We get told to decide
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
