,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,When We Love,63LJjsJuqZgQyYibMXn9ku,r-n-b,https://open.spotify.com/track/63LJjsJuqZgQyYibMXn9ku,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,"['alternative r&b', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",2017-09-22,262626,54,0.467,0.517,1,-9.073,0,0.104,0.552,0.0741,0.111,0.322,169.907,262627,4
1,Craving,3TRNLShed8CXtj8xnEakW0,r-n-b,https://open.spotify.com/track/3TRNLShed8CXtj8xnEakW0,Xscap3,3kykbzl1m7Jt9Peg9P9COk,[],2018-03-02,195607,12,0.782,0.535,2,-3.902,1,0.121,0.0428,2.14e-06,0.449,0.764,154.014,195608,4
2,Golden,0bHs3ly4Bv5BlzE3KrePfX,r-n-b,https://open.spotify.com/track/0bHs3ly4Bv5BlzE3KrePfX,Jill Scott,6AVLthptCPhfrxlHadOBJD,"['funk', 'hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",2004-08-31,231560,56,0.769,0.558,10,-6.232,0,0.0828,0.275,1.06e-06,0.0758,0.593,100.007,231560,4
3,Part II (On The Run),2gSh6B45bWv4gDOhawR8C2,r-n-b,https://open.spotify.com/track/2gSh6B45bWv4gDOhawR8C2,"['JAY-Z', 'Beyoncé']","['3nFkdlSjzX9mRTtwJOzDYB', '6vWDO969PvNqNYHIOW5v0m']","[['east coast hip hop', 'hip hop', 'pop rap', 'rap'], ['dance pop', 'pop', 'post-teen pop', 'r&b']]",2013-07-04,333746,48,0.6,0.636,8,-5.732,1,0.0939,0.279,0.0,0.451,0.351,86.997,333747,4
4,Still Miss You,3EP7Za6FlJyBvSpPRPR2XU,r-n-b,https://open.spotify.com/track/3EP7Za6FlJyBvSpPRPR2XU,Sinead Harnett,6tUJpYN2aYiXbzAcg0pIOo,"['alternative r&b', 'chill r&b', 'dance pop', 'gauze pop', 'indie r&b', 'indie soul', 'pop', 'r&b', 'uk contemporary r&b']",2017-06-01,269236,34,0.558,0.392,9,-9.135,0,0.0576,0.552,0.000288,0.125,0.395,159.845,269237,4
5,One Night Only,74fQgHleHZ4V7Gm1XYcGkj,r-n-b,https://open.spotify.com/track/74fQgHleHZ4V7Gm1XYcGkj,Sonder,2ICR2m4hOBPhaYiZB3rnLW,"['alternative r&b', 'r&b']",2018-02-09,195909,61,0.874,0.405,4,-5.783,1,0.0677,0.278,0.000873,0.142,0.777,119.991,195910,4
6,My Main,5embh0i7ZHHn3BXhjoeihX,r-n-b,https://open.spotify.com/track/5embh0i7ZHHn3BXhjoeihX,"['Mila J', 'Ty Dolla $ign']","['6cN9XwPMj9bWzJ32GC6V7v', '7c0XG5cIJTrrAgEC3ULPiq']","[['alternative r&b', 'hip pop', 'pop r&b', 'r&b', 'trap queen', 'urban contemporary'], ['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']]",2014-09-30,212720,53,0.68,0.531,10,-8.824,0,0.0351,0.0195,0.0,0.169,0.398,95.05,212720,4
7,Oh How I Love You,2rX2LNaTlQYbIdJNcue4lJ,r-n-b,https://open.spotify.com/track/2rX2LNaTlQYbIdJNcue4lJ,Zacardi Cortez,1e5OohAPdgqCeMq3eegvqp,"['contemporary gospel', 'gospel', 'gospel r&b']",2018-03-09,232825,0,0.577,0.71,1,-3.525,0,0.0371,0.137,0.0,0.112,0.326,100.11,232825,3
8,Changes,0a8DKMuDnJguJSjkyKFmeW,r-n-b,https://open.spotify.com/track/0a8DKMuDnJguJSjkyKFmeW,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,"['alternative r&b', 'dance pop', 'pop', 'r&b']",2017-06-16,213746,40,0.678,0.336,0,-11.722,0,0.0657,0.411,1.92e-05,0.0731,0.235,100.042,213747,4
9,Girls Need Love,1QC6VpD6q6TJrl30969QM9,r-n-b,https://open.spotify.com/track/1QC6VpD6q6TJrl30969QM9,Summer Walker,57LYzLEk2LcFghVwuWbcuS,"['pop', 'r&b']",2018-10-19,140760,0,0.645,0.418,6,-10.065,0,0.29,0.558,0.0003,0.562,0.123,96.963,140760,4
10,Too Close,5IFCyWplye09HytIP80RCF,r-n-b,https://open.spotify.com/track/5IFCyWplye09HytIP80RCF,Next,2MGT7CYlixSPxAnnkhLpaA,"['boy band', 'hip hop', 'hip pop', 'minneapolis sound', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']",1997-09-30,259440,65,0.847,0.402,7,-9.952,1,0.0641,0.0118,0.0,0.283,0.752,99.693,259440,4
11,Free Your Mind,2vG1yrWSMiL6egg6w4e9ma,r-n-b,https://open.spotify.com/track/2vG1yrWSMiL6egg6w4e9ma,En Vogue,5fikk4h5qbEebqK2Fc6e48,"['dance pop', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",1992-03-24,293105,57,0.765,0.831,7,-6.522,1,0.0565,0.0894,0.0,0.393,0.809,100.026,293106,4
12,Indestructible,6EfioL7gSa7URn35dlJgnE,r-n-b,https://open.spotify.com/track/6EfioL7gSa7URn35dlJgnE,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,"['dance pop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']",2017-04-28,283786,27,0.615,0.491,5,-4.683,0,0.0716,0.173,0.0,0.203,0.102,146.036,283787,4
13,Acquainted,7uJH0YdSZL6psjxI6Xy08b,r-n-b,https://open.spotify.com/track/7uJH0YdSZL6psjxI6Xy08b,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",2015-08-28,348853,71,0.372,0.478,7,-9.835,0,0.0503,0.482,0.0,0.0844,0.254,101.102,348853,4
14,Butterflies,4A58lXGBRCg2cumRXTRxHO,r-n-b,https://open.spotify.com/track/4A58lXGBRCg2cumRXTRxHO,Queen Naija,3nViOFa3kZW8OMSNOzwr98,"['dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']",2018-07-27,212174,63,0.737,0.542,8,-7.593,1,0.0732,0.295,0.0,0.103,0.385,119.973,212175,4
15,All Over You,4D2Z8yUlhaDD81ubWpcRdt,r-n-b,https://open.spotify.com/track/4D2Z8yUlhaDD81ubWpcRdt,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,"['alternative r&b', 'canadian contemporary r&b', 'pop', 'r&b', 'trap soul']",2018-09-07,215327,51,0.797,0.5,0,-6.964,0,0.0354,0.0579,0.0,0.122,0.492,106.957,215327,4
16,Chunky,0mBKv9DkYfQHjdMcw2jdyI,r-n-b,https://open.spotify.com/track/0mBKv9DkYfQHjdMcw2jdyI,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop', 'post-teen pop']",2016-11-17,186973,70,0.571,0.539,5,-4.446,0,0.116,0.0208,0.0,0.125,0.727,202.103,186973,4
17,Let It Go,2RqZFOLOnzVmHUX7ZMcaES,r-n-b,https://open.spotify.com/track/2RqZFOLOnzVmHUX7ZMcaES,"['Keyshia Cole', 'Missy Elliott', ""Lil' Kim""]","['1vfezMIyCr4XUdYRaKIKi3', '2wIVse2owClT7go1WT98tk', '5tth2a3v0sWwV1C7bApBdX']","[['dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary'], ['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop'], ['dance pop', 'east coast hip hop', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']]",2007-01-01,238333,67,0.806,0.721,10,-5.167,0,0.215,0.197,0.0,0.209,0.781,94.967,238333,4
18,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",6Wt5QBzHp9vdSLAFlvdnDQ,r-n-b,https://open.spotify.com/track/6Wt5QBzHp9vdSLAFlvdnDQ,"['Diddy', 'Ginuwine', 'Loon', 'Mario Winans', 'Tammy Ruggieri']","['59wfkuBoNyhDMQGCljbUbA', '7r8RF1tN2A4CiGEplkp1oP', '2gie1bU1LwnxdFAJoTLjzT', '4BIQA9vRkqXEnA2twmq7mU', '3syIAcIriqzXKN77IwQnWB']","[['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap'], ['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'southern hip hop', 'urban contemporary'], ['hip pop', 'pop rap'], ['r&b', 'urban contemporary'], []]",2004-03-09,285586,69,0.713,0.471,1,-7.392,0,0.483,0.421,0.0,0.0308,0.781,199.765,285587,4
19,So Into You,3c6afiysmB7OnxQzzSqRfD,r-n-b,https://open.spotify.com/track/3c6afiysmB7OnxQzzSqRfD,Tamia,0le01dl1WllSHhjEXRl4in,"['canadian pop', 'dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop r&b', 'quiet storm', 'r&b', 'urban contemporary']",1998,261866,64,0.656,0.479,7,-7.055,0,0.0348,0.0665,0.00272,0.168,0.708,184.374,261867,4
20,Anniversary,6PViGgcsQhLPSkMxgoRWLl,r-n-b,https://open.spotify.com/track/6PViGgcsQhLPSkMxgoRWLl,Tony! Toni! Toné!,7vWlb4pM85jCHvV771qZZW,"['funk', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",1997-01-01,271200,54,0.711,0.505,8,-9.675,0,0.0343,0.0472,0.0,0.317,0.55,89.004,271200,4
21,Scripture,6kUZRNGYywoULRpI2QpI6t,r-n-b,https://open.spotify.com/track/6kUZRNGYywoULRpI2QpI6t,6LACK,4IVAbR2w4JJNJDDRFP3E83,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",2018-09-14,200204,48,0.542,0.592,4,-11.056,0,0.355,0.772,6.95e-06,0.0816,0.146,92.185,200205,4
