,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,When We Love,63LJjsJuqZgQyYibMXn9ku,r-n-b,https://open.spotify.com/track/63LJjsJuqZgQyYibMXn9ku,Jhené Aiko,5ZS223C6JyBfXasXxrRqOk,"['alternative r&b', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",2017-09-22,262626,54,0.467,0.517,1,-9.073,0,0.10400000000000001,0.552,0.0741,0.111,0.322,169.907,262627,4,"You're mine and I like it, yeah
You're fine, but besides that eyes
I see through to your heart
You lie, I don't mind it
That's just the kind of guy that you are

Tell me anything, everything, whatever, I wanna hear
It's the sweet little nothings that's all I need to keep me here
If you want me like you say you want me
Then you'll do whatever, yeah
Love me like you say you love me
We'll be down forever

Aye, aye, aye, aye, aye
Aye, aye, aye, aye, aye
Aye, aye, aye, aye, aye
Aye, aye, aye, aye, aye

Don't lose me, don't lose me, oh
Don't choose me then use me
Just stay right beside me, oh
Don't you dare deny my love
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Craving,3TRNLShed8CXtj8xnEakW0,r-n-b,https://open.spotify.com/track/3TRNLShed8CXtj8xnEakW0,Xscap3,3kykbzl1m7Jt9Peg9P9COk,[],2018-03-02,195607,12,0.782,0.535,2,-3.9019999999999997,1,0.121,0.0428,2.14e-06,0.449,0.764,154.014,195608,4,lyrics not found
2,2,Golden,0bHs3ly4Bv5BlzE3KrePfX,r-n-b,https://open.spotify.com/track/0bHs3ly4Bv5BlzE3KrePfX,Jill Scott,6AVLthptCPhfrxlHadOBJD,"['funk', 'hip hop', 'hip pop', 'neo soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",2004-08-31,231560,56,0.769,0.5579999999999999,10,-6.232,0,0.0828,0.275,1.06e-06,0.0758,0.593,100.007,231560,4,"Heyyy, oh-oh-oh, heyyy
Yeah, oh yeah-yeah-yeah-yeah-yeah-yeah-yeah

I'm taking my freedom, pulling it off the shelf
Putting it on my chain, wearing it 'round my neck
I'm taking my freedom, putting it in my car
Wherever I choose to go, it will take me far

I'm livin' my life like it's golden
Livin' my life like it's golden
Livin' my life like it's golden
Livin' my life like it's golden
Livin' my life like it's golden (Golden)

Livin' my life like it's golden
Livin' my life like it's golden
Livin' my life like it's golden
Livin' my life like it's golden
Livin' my life like it's golden (Golden)

I'm taking my own freedom, putting it in my song
Singing loud and strong, groovin' all day long
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,Part II (On The Run),2gSh6B45bWv4gDOhawR8C2,r-n-b,https://open.spotify.com/track/2gSh6B45bWv4gDOhawR8C2,"['JAY-Z', 'Beyoncé']","['3nFkdlSjzX9mRTtwJOzDYB', '6vWDO969PvNqNYHIOW5v0m']","[['east coast hip hop', 'hip hop', 'pop rap', 'rap'], ['dance pop', 'pop', 'post-teen pop', 'r&b']]",2013-07-04,333746,48,0.6,0.636,8,-5.732,1,0.0939,0.27899999999999997,0.0,0.451,0.35100000000000003,86.99700000000001,333747,4,"Who wants that perfect love story any way, anyway
Cliché, cliché, cliché, cliché
Who wants that hero love that saves the day, anyway
Cliché, cliché, cliché, cliché
What about the bad guy goes good, yeah
An innocent love un-misunderstood, yeah
Black hour glass, hour glass
Toast to cliché is in a dark past
Toast to cliché is in a dark past

Boy meets girl, girl perfect woman
Girl get the bustin' before the cops come running
Chunking deuces, chugging D'USSE
Fuck what you say, boys in blue say

I don't care if we on the run
Baby as long as I'm next to you
And if loving you is a crime
Tell me why do I bring out
The best in you

I hear sirens while we make love
Loud as hell but they don't know
They're nowhere near us
I will hold your heart and your gun
I don't care if they come, no
I know it's crazy but

They can take me
Now that I found the places that you take me
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,Still Miss You,3EP7Za6FlJyBvSpPRPR2XU,r-n-b,https://open.spotify.com/track/3EP7Za6FlJyBvSpPRPR2XU,Sinead Harnett,6tUJpYN2aYiXbzAcg0pIOo,"['alternative r&b', 'chill r&b', 'dance pop', 'gauze pop', 'indie r&b', 'indie soul', 'pop', 'r&b', 'uk contemporary r&b']",2017-06-01,269236,34,0.5579999999999999,0.392,9,-9.135,0,0.0576,0.552,0.000288,0.125,0.395,159.845,269237,4,"Your energy it scares me
I wanna protect my own
The center of my universe
But you are a black hole
And your darkness steals the light I built for both us
When you look me in the eyes I feel you cover me up
All the colors starts to fade and yet its not enough
You're stuck in a habit
And it's kinda tragic

I can't fix you up, oh no
I can't fix you up, no no
I can't fix you up, oh no
But I still miss you (I still miss you)
But I still miss you
But I still miss you
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,One Night Only,74fQgHleHZ4V7Gm1XYcGkj,r-n-b,https://open.spotify.com/track/74fQgHleHZ4V7Gm1XYcGkj,Sonder,2ICR2m4hOBPhaYiZB3rnLW,"['alternative r&b', 'r&b']",2018-02-09,195909,61,0.8740000000000001,0.405,4,-5.7829999999999995,1,0.0677,0.278,0.0008730000000000001,0.142,0.777,119.991,195910,4,"I'm flying out for the weekend
I'll be calling you when I land
'Cause we ain't got no time to waste

And I don't give a damn 'bout your boyfriend
He can have you when I go
Next week, it might be Japan

I know you been
Thinking bout me
Thinking bout me
Thinking bout me, (I know you still think about me)
I know you been
Thinking bout me
Thinking bout me
Thinking bout me
I know you been
Thinking bout me
Thinking bout me
Thinking bout me
I know you been
Thinking bout me
Thinking bout me
Thinking bout me, (I'm in town)

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,My Main,5embh0i7ZHHn3BXhjoeihX,r-n-b,https://open.spotify.com/track/5embh0i7ZHHn3BXhjoeihX,"['Mila J', 'Ty Dolla $ign']","['6cN9XwPMj9bWzJ32GC6V7v', '7c0XG5cIJTrrAgEC3ULPiq']","[['alternative r&b', 'hip pop', 'pop r&b', 'r&b', 'trap queen', 'urban contemporary'], ['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']]",2014-09-30,212720,53,0.68,0.531,10,-8.824,0,0.0351,0.0195,0.0,0.16899999999999998,0.39799999999999996,95.05,212720,4,"That my, uh
That my, uh
That my, uh
Mustard on the beat, hoe

This girl that I came here with (that my main)
The one that's sharing these drinks (that my main)
The one celebrating her birthday (that my main)
Yeah, that's my number one chick (that my main)
The one that always had my back (that my main)
When me and my bae broke up (that my main)
She beat a bitch ass on sight (that my main)
And don't let her get turnt up (that my main)

She my nigga for a reason (woah-woah-woah)
I can tell her all my secrets (woah-woah-woah)
'Cause I know that she gon' keep 'em (woah-woah-woah)
Can't nothing come between us (woah-woah-woah)

That my main one (ayy), that my main one (ayy)
Yeah, she up in here with me right now
I said that, that my main one (ayy), that my main one (ayy)
Yeah, she know that she my ride or die (say what?)

So all you haters lookin' you can try tonight
'Cause I'm down for whatever when she by my side
That my main one, that my main one
And we always be down for life

One of the baddest chicks in this club (that my main)
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,Oh How I Love You,2rX2LNaTlQYbIdJNcue4lJ,r-n-b,https://open.spotify.com/track/2rX2LNaTlQYbIdJNcue4lJ,Zacardi Cortez,1e5OohAPdgqCeMq3eegvqp,"['contemporary gospel', 'gospel', 'gospel r&b']",2018-03-09,232825,0,0.5770000000000001,0.71,1,-3.525,0,0.0371,0.13699999999999998,0.0,0.11199999999999999,0.326,100.11,232825,3,"It's been a million days
And a million nights
Oh I still remember
How your love changed my life

There's not enough words in my vocabulary
To express how I feel
And I still pinch myself
Just to see if it's real

Said a man ain't supposed to cry
But I'll put my pride aside
Let these tears fall from my eyes
I'm so happy you still in my life

You got me like, oh oh
(Oh how I love you)
And that will never change (that will never change)
Oh, oh oh oh oh
(Oh how I love you)
Forever and ever and ever and always
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Changes,0a8DKMuDnJguJSjkyKFmeW,r-n-b,https://open.spotify.com/track/0a8DKMuDnJguJSjkyKFmeW,H.E.R.,3Y7RZ31TRPVadSFVy1o8os,"['alternative r&b', 'dance pop', 'pop', 'r&b']",2017-06-16,213746,40,0.6779999999999999,0.336,0,-11.722000000000001,0,0.0657,0.41100000000000003,1.92e-05,0.0731,0.235,100.042,213747,4,
9,9,Girls Need Love,1QC6VpD6q6TJrl30969QM9,r-n-b,https://open.spotify.com/track/1QC6VpD6q6TJrl30969QM9,Summer Walker,57LYzLEk2LcFghVwuWbcuS,"['pop', 'r&b']",2018-10-19,140760,0,0.645,0.418,6,-10.065,0,0.29,0.5579999999999999,0.0003,0.562,0.12300000000000001,96.963,140760,4,"Honestly

Honestly, I'm tryna stay focused
You must think I've got to be joking when I say
I don't think I can wait
I just need it now
Better swing my way

I just need some dick
I just need some love
Tired of fucking with these lame niggas baby
I just need a thug

Won't you be my plug, ayy
You could be the one, ayy
Can start with a handshake baby
I'ma need more than a hug
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
