,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Hail King Selassie,2NSdP3HfHFMThfZl95xBKA,reggae,https://open.spotify.com/track/2NSdP3HfHFMThfZl95xBKA,Capleton Feat. Luciano,2txXkqY8kxFSODSWDA1kr9,[],2003-01-14,228826,0,0.67,0.668,4,-3.96,0,0.242,0.183,0.0,0.449,0.773,139.156,228827,4
1,Declaration of Rights,37WFLcHD7yUpM35mTuMyiE,reggae,https://open.spotify.com/track/37WFLcHD7yUpM35mTuMyiE,The Abyssinians,1vB5909auE9YUaTjQ7ZkTj,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']",2012-04-04,213368,36,0.762,0.439,4,-12.769,1,0.13,0.325,1.15e-05,0.123,0.919,140.395,213368,4
2,The Flame (feat. Kabaka Pyramid),2rK7knZC1komGjPscuEXV5,reggae,https://open.spotify.com/track/2rK7knZC1komGjPscuEXV5,"['Protoje', 'Kabaka Pyramid']","['7BGR8y1VZAWK2oR4zD9COr', '10p1CDVyRIkR2ybAu7SbVH']","[['dancehall', 'modern reggae'], ['dancehall', 'modern reggae', 'reggae fusion']]",2015-03-10,319920,0,0.703,0.777,1,-4.76,1,0.143,0.0315,6.56e-05,0.0485,0.586,160.112,319920,4
3,The Plane Land,15Ad73dlBgmnzVaXOx1CjK,reggae,https://open.spotify.com/track/15Ad73dlBgmnzVaXOx1CjK,Richie Spice,3PqSrKPGZXefu4krgFCZSP,"['dancehall', 'lovers rock', 'modern reggae', 'roots reggae']",2009-03-30,235613,33,0.816,0.71,7,-5.184,1,0.134,0.0949,0.0,0.175,0.724,82.008,235613,4
4,Jah Jah Bless Me,2pshT4DN00rDtljpPQxncK,reggae,https://open.spotify.com/track/2pshT4DN00rDtljpPQxncK,Jah Cure,1bSn5aMcE83TXLlLDU9rTy,"['lovers rock', 'modern reggae', 'reggae fusion', 'roots reggae']",2005-02-15,226506,0,0.641,0.519,8,-9.787,1,0.105,0.333,5.65e-06,0.17,0.581,81.243,226302,4
5,Murderer,1fzU56UB3aa68fIBoUZSq7,reggae,https://open.spotify.com/track/1fzU56UB3aa68fIBoUZSq7,Buju Banton,4wLAjfeqAsV66AocWNcowA,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'reggae fusion', 'roots reggae']",1995,236640,0,0.801,0.513,0,-8.992,1,0.324,0.15,7.59e-06,0.108,0.699,137.81,236640,4
6,Rainbow Warrior,4XysPaqDJfL0T6iFJuSNMo,reggae,https://open.spotify.com/track/4XysPaqDJfL0T6iFJuSNMo,Martin Jondo,0rjQs0BXlxtEniNqvD3zNQ,['german reggae'],2005-05-02,225853,0,0.808,0.62,7,-7.229,1,0.115,0.0728,0.0,0.0695,0.921,129.954,225853,4
7,Freedom Fighter,6PRbVv4wnY122AezByj0CL,reggae,https://open.spotify.com/track/6PRbVv4wnY122AezByj0CL,Anthony B,7Lij2ZLJJQOfGojVR3Wmqa,"['dancehall', 'french reggae', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",2012-05-25,240182,0,0.715,0.747,9,-5.727,1,0.197,0.135,0.0,0.203,0.857,172.088,240183,4
8,Positive Herb,76CtCUzlATz2sJt7Z4eQIU,reggae,https://open.spotify.com/track/76CtCUzlATz2sJt7Z4eQIU,Niyorah,5sZGFCXUKn555SsXywFUhP,"['modern reggae', 'virgin islands reggae']",2005-06-01,260173,44,0.867,0.619,7,-6.397,1,0.261,0.343,0.0,0.0777,0.759,92.02,260173,4
9,War Inna Babylon,0FVxU203nxSYN6Z4pKUadE,reggae,https://open.spotify.com/track/0FVxU203nxSYN6Z4pKUadE,Max Romeo,45QpZznbXYo3nWy0TIhvgv,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']",2010-03-11,296254,0,0.706,0.431,7,-13.831,1,0.3,0.0495,0.0,0.0742,0.907,146.302,296255,4
10,Apartment,7tGB1F0qzzJ9kTvn4LOSwc,reggae,https://open.spotify.com/track/7tGB1F0qzzJ9kTvn4LOSwc,Demarco,0af5VM6xubf8EXKvoG35x6,"['bongo flava', 'dancehall', 'modern reggae', 'reggae fusion', 'soca']",2013-06-11,152711,0,0.691,0.827,6,-4.846,0,0.344,0.151,0.0,0.337,0.798,90.776,152712,4
11,New Heights,09aLLGz6xaH8C86a6Fs4CO,reggae,https://open.spotify.com/track/09aLLGz6xaH8C86a6Fs4CO,Ky-Mani Marley,1XTGADISSMRf8B4TcVGYUC,"['modern reggae', 'reggae', 'reggae fusion', 'roots reggae']",2011-03-01,180024,53,0.803,0.47,1,-9.098,1,0.345,0.505,0.0,0.0887,0.793,88.065,180024,4
12,Stranger In Town,3At3K1PPupn6mhnBt33UCA,reggae,https://open.spotify.com/track/3At3K1PPupn6mhnBt33UCA,Gregory Isaacs,6QHu71f8LLeT8n0GzfbYFc,"['dub', 'lovers rock', 'reggae', 'roots reggae']",1982,229133,0,0.858,0.34,7,-11.595,1,0.256,0.0237,0.00441,0.0834,0.83,146.419,229133,4
13,Mama,1dTCwGjVspJIpA318cquIy,reggae,https://open.spotify.com/track/1dTCwGjVspJIpA318cquIy,Christopher Martin,3dXC1YPbnQPsfHPVkm1ipj,"['dancehall', 'lovers rock', 'modern reggae', 'reggae fusion']",2012-09-11,205714,46,0.667,0.697,3,-5.147,0,0.106,0.412,0.0,0.038,0.765,83.904,205714,4
14,Telephone Ting,1rDJeTMc1lmblrMOalCr5x,reggae,https://open.spotify.com/track/1rDJeTMc1lmblrMOalCr5x,Kiprich,1K6FlvOftq7555uvKY0m5v,"['dancehall', 'riddim']",2005-11-22,205453,0,0.826,0.543,7,-6.218,1,0.246,0.177,0.0,0.287,0.694,80.067,205453,4
15,Don't Haffi Dread,5HdF2l0OkkRfpjac0NEoJR,reggae,https://open.spotify.com/track/5HdF2l0OkkRfpjac0NEoJR,Morgan Heritage,3VV18HyGcfLTqNjSjbROA1,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",2000,496160,0,0.621,0.733,7,-6.365,0,0.0537,0.0326,0.0,0.452,0.829,140.93,496160,4
16,Amsterdam - Original Mix,1wVwWPgd2BXF71KzFcadZG,reggae,https://open.spotify.com/track/1wVwWPgd2BXF71KzFcadZG,"['Marlon Asher', 'Leah Rosier']","['4DeCJnS3fuqohKk4FCVl0y', '6Y3rVYUFcet1iinuRKNxhk']","[['modern reggae', 'trinidadian reggae'], ['uk dub']]",2011-05-25,255013,38,0.615,0.682,1,-5.36,1,0.302,0.000971,0.0,0.155,0.64,175.519,255013,4
17,Call Pon Dem,2igdDBqJSvt2Y3bc6iHwjw,reggae,https://open.spotify.com/track/2igdDBqJSvt2Y3bc6iHwjw,Chezidek,5HePAITZSCxQ0H9PEKZ5DH,"['french reggae', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",2007-09-10,203013,0,0.582,0.741,1,-5.22,1,0.22,0.353,0.0,0.48,0.87,87.332,203013,4
18,Piece Of Ganja,2OKtijdzwNXvZiNE20r8k3,reggae,https://open.spotify.com/track/2OKtijdzwNXvZiNE20r8k3,Elijah Prophet,203xcww9bptxnMNZrpjIYO,[],2006-07-07,275853,0,0.748,0.751,9,-4.064,0,0.195,0.0386,0.0,0.0724,0.944,79.534,275853,4
19,Earth A Run Red,1B05XiEwzSM5VGE4x1TCvr,reggae,https://open.spotify.com/track/1B05XiEwzSM5VGE4x1TCvr,Richie Spice,3PqSrKPGZXefu4krgFCZSP,"['dancehall', 'lovers rock', 'modern reggae', 'roots reggae']",2000-04-02,231498,0,0.85,0.465,8,-9.912,1,0.0703,0.109,0.0,0.196,0.665,81.176,231498,4
20,Ina Dancehall,4g5dxNxjmQjMwwyKmxIseI,reggae,https://open.spotify.com/track/4g5dxNxjmQjMwwyKmxIseI,Pressure,009IKtLg2rg2QMbvNtWaoh,"['lovers rock', 'virgin islands reggae']",2010-01-10,220575,29,0.815,0.759,7,-4.094,0,0.277,0.033,0.0,0.28,0.905,90.013,220576,4
21,Romie,4KlnHq8kW2k1RisegiOg0I,reggae,https://open.spotify.com/track/4KlnHq8kW2k1RisegiOg0I,Beenie Man,4L3GTE04bW5N7azA9QPhjA,"['dancehall', 'reggae fusion', 'soca']",2005-01-01,229026,51,0.727,0.613,4,-7.243,0,0.314,0.000256,0.0,0.0908,0.716,121.084,229027,5
22,Marcus Garvey,3Ni6vR9yGUnVy7fRFwpVfE,reggae,https://open.spotify.com/track/3Ni6vR9yGUnVy7fRFwpVfE,Burning Spear,6qaKS0nzGP4hfjl4aFZmEU,"['dub', 'reggae', 'roots reggae', 'ska']",2003-06-16,199613,0,0.726,0.487,0,-9.235,1,0.0993,0.0442,0.00766,0.0955,0.48,91.899,199613,4
23,Herbalist,1UOhKnE2fZJuGdB7ssn9nf,reggae,https://open.spotify.com/track/1UOhKnE2fZJuGdB7ssn9nf,Alborosie,78u1jLVBjPSXQVmHBV43yG,"['french reggae', 'modern reggae', 'reggae', 'roots reggae']",2008-01-01,191333,56,0.804,0.607,10,-6.84,0,0.37,0.0773,0.0,0.0993,0.823,142.421,191333,4
24,Picture On the Wall,7Jm9ZgKW3cWCOp4BSxjSuO,reggae,https://open.spotify.com/track/7Jm9ZgKW3cWCOp4BSxjSuO,"['Groundation', 'Don Carlos & The Congos']","['5L59UhTBOeIRPxF5umwC9p', '0L266qgIHqMQKV7A76O95w']","[['brazilian reggae', 'dub', 'east coast reggae', 'reggae', 'roots reggae'], []]",2003,370600,2,0.87,0.317,0,-10.668,1,0.0821,0.00628,1.28e-05,0.0716,0.319,106.493,370600,4
