,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,Hail King Selassie,2NSdP3HfHFMThfZl95xBKA,reggae,https://open.spotify.com/track/2NSdP3HfHFMThfZl95xBKA,Capleton Feat. Luciano,2txXkqY8kxFSODSWDA1kr9,[],2003-01-14,228826,0,0.67,0.6679999999999999,4,-3.96,0,0.242,0.183,0.0,0.449,0.773,139.156,228827,4,lyrics not found
1,1,Declaration of Rights,37WFLcHD7yUpM35mTuMyiE,reggae,https://open.spotify.com/track/37WFLcHD7yUpM35mTuMyiE,The Abyssinians,1vB5909auE9YUaTjQ7ZkTj,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']",2012-04-04,213368,36,0.762,0.439,4,-12.769,1,0.13,0.325,1.15e-05,0.12300000000000001,0.919,140.395,213368,4,"Look, oh Lord, they brought us down here
Have us in bondage, right through these years
Fussing and fighting, among ourselves
Nothing to achieve this way, it's worser than hell, I say
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
2,2,The Flame (feat. Kabaka Pyramid),2rK7knZC1komGjPscuEXV5,reggae,https://open.spotify.com/track/2rK7knZC1komGjPscuEXV5,"['Protoje', 'Kabaka Pyramid']","['7BGR8y1VZAWK2oR4zD9COr', '10p1CDVyRIkR2ybAu7SbVH']","[['dancehall', 'modern reggae'], ['dancehall', 'modern reggae', 'reggae fusion']]",2015-03-10,319920,0,0.703,0.777,1,-4.76,1,0.14300000000000002,0.0315,6.56e-05,0.0485,0.586,160.112,319920,4,"Forever the same It's only Jah love will remain.
Forever the same never the fortune nor the fame.
Forever the same oh we will call up on his name.
Forever the same say Babylon can't hold the Flame.

I hear the questions bickering, tensions thickening,
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,The Plane Land,15Ad73dlBgmnzVaXOx1CjK,reggae,https://open.spotify.com/track/15Ad73dlBgmnzVaXOx1CjK,Richie Spice,3PqSrKPGZXefu4krgFCZSP,"['dancehall', 'lovers rock', 'modern reggae', 'roots reggae']",2009-03-30,235613,33,0.816,0.71,7,-5.184,1,0.134,0.0949,0.0,0.175,0.7240000000000001,82.008,235613,4,"Woah na na na
Na na na na na na na

Yes I
Huh
Di plane land, yes di plane land
Ah hundred pound of kali
Weed ah where they get it from
Di plane land yes di plane land
Cycle up miself we take interrogation
Di plane land yes di plane land
Make up mi mind to face di immigration
Di plane land yes di plane land
Cycle up miself we take interrogation
Search dem ah search
Dem ah search di Taliban
Searching mass destruction
Dash up mi tooth paste
Dash where mi say mi land
Old lady ah ball and dash ah medication
Draw out mi belt with me pant inna me hand
Scanna ana ask me where me come from
Take out mi shoe them ah say take off your tam

If they never find you with a spliff you gone another land
Di plane land, yes di plane land
Ah hundred pound of kali
Weed ah where they get it from
Di plane land yes di plane land
Cycle up miself we take interrogation
Di plane land yes di plane land
Make up mi mind to face di immigration
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,Jah Jah Bless Me,2pshT4DN00rDtljpPQxncK,reggae,https://open.spotify.com/track/2pshT4DN00rDtljpPQxncK,Jah Cure,1bSn5aMcE83TXLlLDU9rTy,"['lovers rock', 'modern reggae', 'reggae fusion', 'roots reggae']",2005-02-15,226506,0,0.6409999999999999,0.519,8,-9.787,1,0.105,0.33299999999999996,5.65e-06,0.17,0.581,81.243,226302,4,"I know jah jah bless me
No wicked heart cant test me
No matter how hard they tryyyy O III
No jah invess me
And ma fanz blessing
Nah go mek di riva run dry

As far as da wind blow from the rest east side
Eye n eye prayes they most seen Oh LOrd!
Empores Hiesillahie seen the judgement of the wicked man key
And i know they must get the feet
So ghetto youth be wise
Open up yuh eyes
And do bring to blue eyes because

I kow jah jah bless me
No wicked heart can test me
No matter how hard they try
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,Murderer,1fzU56UB3aa68fIBoUZSq7,reggae,https://open.spotify.com/track/1fzU56UB3aa68fIBoUZSq7,Buju Banton,4wLAjfeqAsV66AocWNcowA,"['dancehall', 'lovers rock', 'modern reggae', 'reggae', 'reggae fusion', 'roots reggae']",1995,236640,0,0.8009999999999999,0.513,0,-8.992,1,0.324,0.15,7.59e-06,0.10800000000000001,0.6990000000000001,137.81,236640,4,"Murderer, blood is on your shoulder
Kill I today you cannot kill I tomorrow
Murder, your inside must be hollow
How does it feel to take the life of another?

Murderer, blood is on your shoulder
Kill I today you cannot kill I tomorrow
Murder, your inside must be hollow
How does it feel to take the life?

You can hide from man but not your conscience
You eat the bread of sorrow drink the wine of violence
Allow yourself to be conquered by the serpent
Why you disobey the first commandment?

Walk through the valley I feel no pestilence
God is my witness and He ma me evidence
Lift up mine eyes from whence cometh help
You coulda never escape this judgement

Murderer, blood is, blood is on your shoulder
Kill I today you cannot kill I tomorrow
Murder, your inside must be hollow
How does it feel to take the life?

I tell you, all men are created equal
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,Rainbow Warrior,4XysPaqDJfL0T6iFJuSNMo,reggae,https://open.spotify.com/track/4XysPaqDJfL0T6iFJuSNMo,Martin Jondo,0rjQs0BXlxtEniNqvD3zNQ,['german reggae'],2005-05-02,225853,0,0.8079999999999999,0.62,7,-7.229,1,0.115,0.0728,0.0,0.0695,0.9209999999999999,129.954,225853,4,"Well, dis one rainbow warrior
Down ina Babylon we're chanting songs of freedom
And it go like dis brothers and sisters

Said I am a rainbow warrior
Rainbow rainbow warrior
Lord I am a rainbow warrior
Warrior of love now
We seh

War war dem fuss and dem fight
Silly hypocrites well dem won't unite
And I see dem fight a competition
Well, don't dem know dis an impossible mission
But Jah love come to quench we thirst
We've enough of those dirty works
Love a love a love a love a come quench we thirst
We've enough of those dirty words and

Said I am a rainbow warrior
Rainbow rainbow warrior
Lord I am a rainbow warrior
Warrior of love now
We seh
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,Freedom Fighter,6PRbVv4wnY122AezByj0CL,reggae,https://open.spotify.com/track/6PRbVv4wnY122AezByj0CL,Anthony B,7Lij2ZLJJQOfGojVR3Wmqa,"['dancehall', 'french reggae', 'lovers rock', 'modern reggae', 'reggae', 'roots reggae']",2012-05-25,240182,0,0.715,0.747,9,-5.727,1,0.19699999999999998,0.135,0.0,0.203,0.857,172.088,240183,4,"The mouths of envious
Always find another door
While at the gates of paradise they beat us down some more
But our mission's set in stone
'Cause the writing's on the wall
I'll scream it from the mountain tops pride comes before the fall

So many thoughts to share
All this energy to give
Unlike those who hide the truth I tell it like it is
If the truth will set you free
I feel sorry for your soul
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Positive Herb,76CtCUzlATz2sJt7Z4eQIU,reggae,https://open.spotify.com/track/76CtCUzlATz2sJt7Z4eQIU,Niyorah,5sZGFCXUKn555SsXywFUhP,"['modern reggae', 'virgin islands reggae']",2005-06-01,260173,44,0.867,0.619,7,-6.397,1,0.261,0.34299999999999997,0.0,0.0777,0.759,92.02,260173,4,"I'm floating high can't you see my eyes I'm red red red red
Tap into Zion I marijuana high in my head head head head
Homey skunk herb hit my brain nerve I can't be mislead lead
Potent purple haze let the fire blaze with some lamb's bread bread bread bread
So if you feel a way about the herb Let it be positive all the time
If you feel a way about the herb Remember that it's creation divine
If you feel a way about the herb Let it be positive all the time
If you feel a way about the herb Homegrown weed is the best weed to find
Check the benefits when you using it It's so deep deep deep deep
When you full ah stress it will help you rest During sleep sleep sleep sleep
If you got a task all you got to ask Is for strength strength strength strength
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,War Inna Babylon,0FVxU203nxSYN6Z4pKUadE,reggae,https://open.spotify.com/track/0FVxU203nxSYN6Z4pKUadE,Max Romeo,45QpZznbXYo3nWy0TIhvgv,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']",2010-03-11,296254,0,0.706,0.431,7,-13.831,1,0.3,0.0495,0.0,0.0742,0.907,146.30200000000002,296255,4,"War Inna Babylon
It sipple out deh!
War inna babylon, tribal war inna Babylon
Let me tell, it sipple out deh
A wha' you seh, it sipple out deh, oh yeah
War inna babylon, tribal war inna Babylon
It sipple out deh, wha' you seh, it sipple out deh, oh yeah

De baba men nuh like de dreadlocks man
De dreadlocks man nuh like de baba man, no
De po-lice men nuh like de dreadlocks man
De dreadlocks man nuh like de po-lice man, no

So war inna babylon, tribal war inna Babylon
Let me tell, it sipple out deh
A wha' you seh, it sipple out deh, oh yeah
War inna babylon, tribal war inna Babylon
Let me tell, it sipple out deh
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
