,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Se Cree Mala,4dBKjGL96nR9wNOsi9pyWD,reggaeton,https://open.spotify.com/track/4dBKjGL96nR9wNOsi9pyWD,Plan B,2jSGzJw0ebJLu7OLVSOcBP,"['latin', 'reggaeton', 'trap latino']",2012-08-20,267333,0,0.828,0.77,0,-5.292,1,0.0931,0.147,2.85e-05,0.154,0.94,79.999,267333,4
1,Soy Igual Que Tú (feat. Toby Love),4Zil8ro7fhQGVYXl2YYkO2,reggaeton,https://open.spotify.com/track/4Zil8ro7fhQGVYXl2YYkO2,"['Alexis y Fido', 'Toby Love']","['7tU1VKOuxiNZwBZC6RHidA', '72R3RMGmSmzG57R7OUaDaN']","[['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino'], ['bachata', 'latin', 'latin hip hop', 'reggaeton', 'tropical']]",2007-09-28,224706,61,0.852,0.66,2,-6.177,1,0.224,0.277,0.0,0.207,0.517,94.006,224707,4
2,Sabor A Melao,5TtUpDKB0bVmzK543eANFp,reggaeton,https://open.spotify.com/track/5TtUpDKB0bVmzK543eANFp,"['Daddy Yankee', 'Andy Montañez']","['4VMYDCV2IEDYJArk749S6m', '6RMWFexOHVj5ctezneQH5v']","[['latin', 'latin hip hop', 'reggaeton', 'trap latino'], ['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']]",2004-07-13,223613,0,0.803,0.946,0,-3.989,0,0.062,0.0759,0.055,0.131,0.899,96.012,223613,4
3,Escápate Conmigo,20QeOUS3grTsOkECFYzar9,reggaeton,https://open.spotify.com/track/20QeOUS3grTsOkECFYzar9,Wolfine,2OnKRchqP7tT0FzTvWIFI7,"['colombian pop', 'reggaeton', 'reggaeton flow', 'trap latino']",2012-09-06,156107,41,0.812,0.889,7,-5.953,0,0.0811,0.195,0.0,0.323,0.832,93.959,156108,4
4,Gata Gangster,6pdQ14lBqaAcNR7B2mUqEx,reggaeton,https://open.spotify.com/track/6pdQ14lBqaAcNR7B2mUqEx,Don Omar,33ScadVnbm2X8kkUqOkC6Z,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']",2005-01-01,219106,0,0.884,0.831,10,-8.106,0,0.155,0.00422,0.000448,0.0914,0.617,97.028,219107,4
5,Scandalous,5LdvS9AE8trloD7JZcH11Z,reggaeton,https://open.spotify.com/track/5LdvS9AE8trloD7JZcH11Z,"['Cuban Link', 'Don Omar']","['1ZAujONMGo6GGiHxDQCGeA', '33ScadVnbm2X8kkUqOkC6Z']","[['bronx hip hop', 'hip hop cubano'], ['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']]",2005-01-01,278133,0,0.753,0.855,4,-7.846,0,0.101,0.0355,0.0,0.23,0.923,93.964,278133,4
6,Passion Whine,2LxYSBpLM0xGXy9TP9BWRd,reggaeton,https://open.spotify.com/track/2LxYSBpLM0xGXy9TP9BWRd,"['Farruko', 'Sean Paul']","['329e4yvIujISKGKz1BZZbO', '3Isy6kedDrgPYoTS1dazA9']","[['latin', 'latin hip hop', 'reggaeton', 'trap latino'], ['dance pop', 'dancehall', 'pop', 'pop rap']]",2014-01-01,212506,0,0.796,0.667,10,-3.784,0,0.0589,0.435,0.0,0.062,0.754,80.988,212507,4
7,Vicio De Ti,0EdHN4chrPohl6mGvCkwI3,reggaeton,https://open.spotify.com/track/0EdHN4chrPohl6mGvCkwI3,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,"['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'trap latino']",2007-01-01,201480,36,0.838,0.745,7,-6.732,0,0.0897,0.156,0.0,0.134,0.849,94.003,201480,4
8,Nos Fuimos Discoteca,3UICWR2jXXoj1VRoiPVoZf,reggaeton,https://open.spotify.com/track/3UICWR2jXXoj1VRoiPVoZf,Plan B,2jSGzJw0ebJLu7OLVSOcBP,"['latin', 'reggaeton', 'trap latino']",2010-07-20,308573,0,0.645,0.847,2,-4.883,0,0.0777,0.165,0.0,0.0899,0.792,176.178,308573,4
9,Papi Lover,2o8w85kO58gBrFRvOEGPxX,reggaeton,https://open.spotify.com/track/2o8w85kO58gBrFRvOEGPxX,"['Daddy Yankee', 'Nicole Scherzinger']","['4VMYDCV2IEDYJArk749S6m', '40xbWSB4JPdOkRyuTDy1oP']","[['latin', 'latin hip hop', 'reggaeton', 'trap latino'], ['dance pop', 'electropop', 'post-teen pop', 'urban contemporary']]",2007-06-04,221026,0,0.795,0.735,1,-3.106,1,0.0661,0.043,0.0,0.0461,0.576,91.986,221027,4
