,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,Se Cree Mala,4dBKjGL96nR9wNOsi9pyWD,reggaeton,https://open.spotify.com/track/4dBKjGL96nR9wNOsi9pyWD,Plan B,2jSGzJw0ebJLu7OLVSOcBP,"['latin', 'reggaeton', 'trap latino']",2012-08-20,267333,0,0.828,0.77,0,-5.292000000000001,1,0.0931,0.147,2.8499999999999998e-05,0.154,0.94,79.999,267333,4,"De lejos la vi, bailando yo la vi
Y cuando llegué yo, ella me vio
Con una mirada me insinuó que estaba mala, bien mala
Que quiere que le den con ganas
Esa chica es mala, se cree mala
Yo le voy a quitar las ganas

En la disco cantan
En la disco dicen
En la disco cantan
En la disco dicen

Mala, se cree mala, yo le voy a quitar las ganas

Déjame verte, que te muevas y me dejes atónito
Pégate y báilame hasta que me ponga loquito
No te cohíbas, dale, házmelo estrambótico
Trépateme encima con movimientos acrobáticos

Lúcete haciéndome algo que sea simbólico
Obvio que no es apto pa' menores, hazlo explícito
Riquísima es tu boca y tu cuello aromático
Por eso es que me gusta aunque empieces por lo básico

Suéltate sin miedo hasta que quede yo complacido
No te limites, mami, que aquí todo es válido
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Soy Igual Que Tú (feat. Toby Love),4Zil8ro7fhQGVYXl2YYkO2,reggaeton,https://open.spotify.com/track/4Zil8ro7fhQGVYXl2YYkO2,"['Alexis y Fido', 'Toby Love']","['7tU1VKOuxiNZwBZC6RHidA', '72R3RMGmSmzG57R7OUaDaN']","[['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino'], ['bachata', 'latin', 'latin hip hop', 'reggaeton', 'tropical']]",2007-09-28,224706,61,0.852,0.66,2,-6.1770000000000005,1,0.22399999999999998,0.27699999999999997,0.0,0.207,0.517,94.006,224707,4,"Soy igual que tu (Sobrenatural Alexis y Fido)
Soy igual que tu (Toby Love y los presidentes)

Soy igual que tu
Me rompiste el corazón me hiciste infiel
No te hagas tonta lo hiciste ayer
Como tú llorástes yo también llore
No te sorprendas
Soy igual que tu

Soy igual que tu
Me rompiste el corazón me hiciste infiel
No te hagas tonta lo hiciste ayer
Como tú lloraste yo también llore, no te sorprendas
Soy igual que tu

Hoy un hombre nuevo se levanta
Ahora si voy a dejar que la soga se parta
Lo que nos toca pues que Dios nos lo reparta
Yo sé que yo no fui un santo, pero usted no fue muy santa
Demas esta decir que sintió
Ella se perdió, sin mucho rindió
Aguante muchas pitchaeras, muchos nebuleos
Ahora soy yo el que decide hablarte sin rodeos

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
2,2,Sabor A Melao,5TtUpDKB0bVmzK543eANFp,reggaeton,https://open.spotify.com/track/5TtUpDKB0bVmzK543eANFp,"['Daddy Yankee', 'Andy Montañez']","['4VMYDCV2IEDYJArk749S6m', '6RMWFexOHVj5ctezneQH5v']","[['latin', 'latin hip hop', 'reggaeton', 'trap latino'], ['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']]",2004-07-13,223613,0,0.8029999999999999,0.946,0,-3.989,0,0.062,0.0759,0.055,0.131,0.899,96.012,223613,4,"(Sabor pa toa las mujeres
Que con mi salsa se mueven)

Barrio Fino, Dad-Dy Yan-kee
Este caballo va suelto sin erradura
Marcando duro la clave el son de la rumba
Dormio bien en el pie la cuna
Abrele paso a lo real que tu ma tengo la cura
Dale prieta afinca y aprieta
Pa'que tu sientas el pique de esta pimienta
Pa' las blanquitas con flavor de vainilla
Mueve esa evilla que las tengo en la mirilla
Tu no eres Sammy chula no lo bailes sosa
Mueve tu cuerpo pa'que tu veas como gozas

Pasando el rolo por mucho kilometraje
Encendio mi tigeraje
Dale de'lao, tu tienes el swing con el sabor a melao
Este tigere ahorra que si va acelerao, pegao
Bailalo con migo en la esquina enfinqao

Mueve mami
Dale de'lao, tu tienes el swing con el sabor a melao
Este tigere ahorra que si va acelerao, pegao
Bailalo con migo en la esquina enfinqao

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,Escápate Conmigo,20QeOUS3grTsOkECFYzar9,reggaeton,https://open.spotify.com/track/20QeOUS3grTsOkECFYzar9,Wolfine,2OnKRchqP7tT0FzTvWIFI7,"['colombian pop', 'reggaeton', 'reggaeton flow', 'trap latino']",2012-09-06,156107,41,0.812,0.889,7,-5.952999999999999,0,0.0811,0.195,0.0,0.32299999999999995,0.8320000000000001,93.959,156108,4,"Escápate conmigo donde nadie nos vea
No importa que tu novio a ti te ponga pelea
Por ti tú sabes mami que voy a toa
Dile que siga su camino y que no te joda
Hoy yo te voy a llevar conmigo
Aunque yo me busque un lio
Se lo dices tú o se lo digo yo
Que ahora el dueño de tu corazón soy yo

Estoy cansao de buscarte los domingos por la noche
Que te trate como quiere y yo mirando por mi coche a la ventana
Dile que te tire a ver quien gana
Es que quiero verte y no me aguanto hasta mañana
Y quiero tenerte mami poderte abrazar
Sentirte sin miedo nada va a pasar
Tranquila yo te voy a cuidar tranquila
Esto se resuelve con un beso y un tequila

Olvida las penas bebiendo alcohol
Curando la herida calmando el dolor
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,Gata Gangster,6pdQ14lBqaAcNR7B2mUqEx,reggaeton,https://open.spotify.com/track/6pdQ14lBqaAcNR7B2mUqEx,Don Omar,33ScadVnbm2X8kkUqOkC6Z,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']",2005-01-01,219106,0,0.884,0.831,10,-8.106,0,0.155,0.004220000000000001,0.00044800000000000005,0.0914,0.617,97.02799999999999,219107,4,"(Los Homerunners...)

Pegala,
Mi gata gangster, sin miedo
La que conmigo es afuego
Loca con el rebuleo
Y campea' por lo de ella
Porque sabe que la velo
(Daddy Yankee, yo!)
Pegala,
Mi gata gangster, sin miedo
(El cangri!)
La que conmigo es afuego
Loca con el rebuleo
Y campea' por lo de ella
Porque sabe que la velo

Que, que!
Dale Don, su avena
Tas abusa'
Verdad que nadie como yo
(No hay!)
Janguiando como tu y yo
(No hay!)
Campiando como tu y yo
(No hay!)
Siempre
Mi gata es afueguembel
Si tu la vieras como viaja en su BMW
Gastando pacas de cienes
Con su socia se entretiene
Y jala el celu pa' llamar a su nene
Nos ven hablando juntos y le da la perse
Buscando un pal' de locos
Que quieran lamberse
Mi gata de vez en cuando
Suele crecerse
Tiene una Smith & Wesson
Pa' defenderse
Que pajo?
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,Scandalous,5LdvS9AE8trloD7JZcH11Z,reggaeton,https://open.spotify.com/track/5LdvS9AE8trloD7JZcH11Z,"['Cuban Link', 'Don Omar']","['1ZAujONMGo6GGiHxDQCGeA', '33ScadVnbm2X8kkUqOkC6Z']","[['bronx hip hop', 'hip hop cubano'], ['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']]",2005-01-01,278133,0,0.753,0.855,4,-7.846,0,0.10099999999999999,0.0355,0.0,0.23,0.9229999999999999,93.964,278133,4,"Saquen los habanos, que se juntaron el boricua y el cubano, my life's en la mano,

()
Scandalous, so bad for me,
Dile que voy a pensar que me puede matar el no verla aqui(no verla aqui),
Scandalous, i cant handle it(cant handle it), shes more than me(shes more than me), dile que voy a pensar que me pueden matar en no verla aqui (el no verla aqui))x3

(Verse one)
Yeah, yo, bori, shorty's a naughty one,
All she wants is a forty and a blunt,
As naughty as a front, just to get the party crunk,
So rump, shake and reggaeton, and some puerto rican rum,
A thong and a pair of pumps to freak it when shes drunk,
And it's done- I got it all recorded by the tons,
Even caught it in her buns for the right amount of funds,
She stunts just for the fun of it, her story's just to front-
For the chumps, I'm the one who taught her how to hump,
How to pump, how to bump 'n grind, no frontin from behind,
How to become a dime, she had to be one of a kind,
Now she's something fine, sweeter than Dunkin Hines,
Try to pump your mind up to sign on the dotted line,
And I ain't having it, shes only for the bagging it,
And stabbing it, the broad seen more draws than a cabinet,
To put a cap in it, she tapped the whole hood-
Like any ho would, I tell ya, she no good

()
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,Passion Whine,2LxYSBpLM0xGXy9TP9BWRd,reggaeton,https://open.spotify.com/track/2LxYSBpLM0xGXy9TP9BWRd,"['Farruko', 'Sean Paul']","['329e4yvIujISKGKz1BZZbO', '3Isy6kedDrgPYoTS1dazA9']","[['latin', 'latin hip hop', 'reggaeton', 'trap latino'], ['dance pop', 'dancehall', 'pop', 'pop rap']]",2014-01-01,212506,0,0.7959999999999999,0.667,10,-3.784,0,0.0589,0.435,0.0,0.062,0.754,80.988,212507,4,"Well here come de ting dem call de passion whine
For de girl dem who know how to grind pon time
Sean da Paul along side Farruko
You done know how we go

Yo to the girl them song
Na-na-eh, hm-na-na-na-na-eh (Br-bang-bang-bang)
Na-na-eh, hm-na-na-na-na-eh
'Cause dem wan' feel the passion long and strong
Ya done know say call for the champion, dutty

Quítate la ropa lento, toma tu tiempo
Que yo me quiero disfrutar todo el momento
Pon música suave, mueve tu cuerpo
Y pon en práctica todos tus movimientos

Éso sí hame' tuyo y báilame pega'ito
Hazme lo que tú quieras que yo soy tuyo todito
No te hagas la difícil dale ma' hazme un cantito
Contigo me conformo aunque sea solo un ratito

¿Pa' que me calientas?¿pa' que tú me tientas?
Báilame así (na, ra, na)
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,Vicio De Ti,0EdHN4chrPohl6mGvCkwI3,reggaeton,https://open.spotify.com/track/0EdHN4chrPohl6mGvCkwI3,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,"['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'trap latino']",2007-01-01,201480,36,0.838,0.745,7,-6.732,0,0.0897,0.156,0.0,0.134,0.8490000000000001,94.00299999999999,201480,4,"Oye baby montate que nos vamos
Victor el nazy
Uh, oh, oh
(Navegando)
Uh, oh, oh
(Aja)
Uh, oh, oh
(Oye princesa)

Mami soy yo
El hombre que suave
Y con ternura te amo
El que sin pensarlo

Te mira de frente
Y te beso uh ohoh ehhh
Ese soy yo
Ese soy yo

Yo tengo vicio de ti
Yo tengo vicio de ti
Tu despiertas en mi el deseo
Yo tengo vicio de ti
Yo tengo vicio de ti

De tus ojos de tu boca
De tu cuerpo, solo un abrazo de ti
Un cantito de ti, uh, ohoh
Sigo bailando hasta morir
Mirandote a ti uh ohoh

Mami dame una caricia
Solo una primicia
Hagamos noticias
Yo soy el dueño

De la franquicia
El jefe de la milicia
Cual es tu nombre leticia
Dale jalame tirame

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Nos Fuimos Discoteca,3UICWR2jXXoj1VRoiPVoZf,reggaeton,https://open.spotify.com/track/3UICWR2jXXoj1VRoiPVoZf,Plan B,2jSGzJw0ebJLu7OLVSOcBP,"['latin', 'reggaeton', 'trap latino']",2010-07-20,308573,0,0.645,0.847,2,-4.883,0,0.0777,0.165,0.0,0.0899,0.792,176.178,308573,4,"Nos fuimos discoteca
Nely, tírate el ritmo
Pa' romper la discoteca
Pa' romper la discoteca

Dice
Me fumo un blunt y me siento en las nubes
Nely, tira el ritmo que nos fuimos discoteca
Okay, 'tá bueno pa' escribir
Voy a escribir aquí con la mente, dice

Me fumo un blunt y me siento en las nubes
Nely, tira el ritmo que nos fuimos discoteca
Tira el ritmo que nos fuimos discoteca

Hoy es viernes y tengo la mente daña
Voy en esa, ando buscando alguna presa
Y quiero a esa
Mira, sus labios como son
Imáginate como besa, imáginate como besa

Observa bien como baila
Ella también anda en esa
Ellas también andan en esa

Observa bien como baila
Ella también anda en esa
Ellas también andan en esa

Me fumo un blunt y me siento en las nubes
Nely, tira el ritmo que nos fuimos discoteca
Que nos fuimos discoteca
Pa' que ella se ponga fresca

Bien activa'o
Me tiro los viernes para la disco
Atento al underground
Que todas las nenas se sorprenden como me quedo pegao
Porque me queda guilla'o
Y cuando miro pa'l la'o, veo que tiene el mahon apreta'o, dice

Bien activa'o
Me tiro los viernes para la disco
Atento al underground
Que todas las nenas se sorprenden como me quedo pega'o
Porque me queda guilla'o
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,Papi Lover,2o8w85kO58gBrFRvOEGPxX,reggaeton,https://open.spotify.com/track/2o8w85kO58gBrFRvOEGPxX,"['Daddy Yankee', 'Nicole Scherzinger']","['4VMYDCV2IEDYJArk749S6m', '40xbWSB4JPdOkRyuTDy1oP']","[['latin', 'latin hip hop', 'reggaeton', 'trap latino'], ['dance pop', 'electropop', 'post-teen pop', 'urban contemporary']]",2007-06-04,221026,0,0.795,0.735,1,-3.1060000000000003,1,0.0661,0.043,0.0,0.0461,0.5760000000000001,91.986,221027,4,"Daddy!
El Fuego Del Caribe, ma!
(Daddy Yankee...)
(Nicole...)
(Yeah...)

(Nicole Scherzinger)
You are the king of my heart
And I was yours from the start
So don't you ever go far
(Papi Lover!)
There ain't no other like you
No other lover than you
So does not mean what you do
(Papi Lover!)

(1: Daddy Yankee)
Soy rey de los Corazones
En todas las relaciones
Despierto mil emociones
Y no tengo comparaciones
Se como tu te pones
Tu no tienes limitationes
Viajando en las dimensiones
De sensacion y pasiones (Ohh!)
Llamame Rapido
Le llego tranquilo
Mami solo tu y yo
Formamo' el vacilon
Que tu quieres, whu-whu-what!?
Yo lo tengo, whu-whu-what!?
Mucho cariñito ma'
El Papi Lover te lo da

(Daddy Yankee) + (Nicole)
I'll be there as soon as you call me
(Te estoy esperando...)
Baby I won't leave you lonely...
You know I got you, ma'

(Nicole Scherzinger)
You are the king of my heart
And I was yours from the start
So don't you ever go far
(Papi Lover!)
There ain't no other like you
No other lover than you
So does not mean what you do
(Papi Lover!)
When I look in your eyes
I see a heat in your fire
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
