,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Novacaine,0uyDAijTR0tOuH24hxDhE5,rock,https://open.spotify.com/track/0uyDAijTR0tOuH24hxDhE5,10 Years,0REMf7H0VP6DwfZ9MbuWph,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",2017-10-27,169520,54,0.444,0.865,11,-2.433,1,0.0464,0.000106,1.55e-05,0.0366,0.74,188.036,169520,4
1,Crosstown Traffic,1ntxpzIUbSsizvuAy6lTYY,rock,https://open.spotify.com/track/1ntxpzIUbSsizvuAy6lTYY,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",1968-10-25,146573,59,0.486,0.963,0,-5.586,0,0.129,0.248,2.39e-06,0.158,0.533,113.133,146573,4
2,Cowboys from Hell,2SgbR6ttzoNlCRGQOKjrop,rock,https://open.spotify.com/track/2SgbR6ttzoNlCRGQOKjrop,Pantera,14pVkFUHDL207LzLHtSA18,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'texas metal', 'wrestling']",1990-07-20,243533,70,0.415,0.908,2,-9.701,1,0.0765,0.00437,0.0345,0.082,0.437,114.816,243533,4
3,Voodoo,5uGsG0LfotfWDq6hql4h53,rock,https://open.spotify.com/track/5uGsG0LfotfWDq6hql4h53,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",1998-01-01,282653,65,0.778,0.613,10,-9.897,0,0.0488,0.17,2.56e-06,0.102,0.853,120.005,282653,4
4,Entre dos tierras,7BYqVvoXpQFhs4jJ0qqNZt,rock,https://open.spotify.com/track/7BYqVvoXpQFhs4jJ0qqNZt,Heroes Del Silencio,3qAPxVwIQRBuz5ImPUxpZT,"['latin alternative', 'latin rock', 'musica aragonesa', 'rock en espanol', 'spanish rock']",1990,368320,66,0.458,0.746,11,-9.444,0,0.0318,0.0351,0.0,0.172,0.511,166.095,368320,4
5,There's A Reason Why (I Never Returned Your Calls),5pVbLYTdihSKd8Kylfhwa7,rock,https://open.spotify.com/track/5pVbLYTdihSKd8Kylfhwa7,Blossoms,22RISwgVJyZu9lpqAcv1F5,"['english indie rock', 'modern alternative rock', 'modern rock', 'rock']",2018-04-27,222488,56,0.493,0.882,11,-5.37,1,0.046,0.0166,2.97e-06,0.188,0.685,123.985,222489,4
6,Somewhere I Belong,3agtg0x11wPvLIWkYR39nZ,rock,https://open.spotify.com/track/3agtg0x11wPvLIWkYR39nZ,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",2003-03-24,213933,64,0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,213933,4
7,Go With The Flow,0wzRcekWyVCSyPtlPOeJau,rock,https://open.spotify.com/track/0wzRcekWyVCSyPtlPOeJau,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,"['alternative metal', 'alternative rock', 'blues rock', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",2002-01-01,187146,66,0.246,0.991,9,-3.903,1,0.087,0.00944,0.0753,0.867,0.415,159.39,187147,4
8,Warrior,2TNPagu8Z4zvDOpmnktF00,rock,https://open.spotify.com/track/2TNPagu8Z4zvDOpmnktF00,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,"['alternative metal', 'nu metal', 'rap metal']",2010-08-20,204826,62,0.549,0.969,1,-2.763,1,0.049,1.16e-05,0.106,0.104,0.348,101.055,204827,4
9,On My Teeth,11kXjnwkLFOCGZJoRmlBHe,rock,https://open.spotify.com/track/11kXjnwkLFOCGZJoRmlBHe,Underoath,3GzWhE2xadJiW8MqRKIVSK,"['christian metal', 'christian metalcore', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo', 'tampa indie']",2018-04-06,190840,47,0.414,0.944,1,-4.215,1,0.0739,4.61e-05,0.000498,0.201,0.131,165.047,190840,4
10,Can't You See,4fUU9WKxEgJXyrZJsUA2iP,rock,https://open.spotify.com/track/4fUU9WKxEgJXyrZJsUA2iP,The Marshall Tucker Band,59QxeZBL6k9L4oJBGSyukd,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']",1973,365093,71,0.406,0.713,7,-5.49,1,0.0348,0.276,0.00354,0.112,0.577,164.444,365093,4
