,Unnamed: 0,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature,lyrics
0,0,Novacaine,0uyDAijTR0tOuH24hxDhE5,rock,https://open.spotify.com/track/0uyDAijTR0tOuH24hxDhE5,10 Years,0REMf7H0VP6DwfZ9MbuWph,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",2017-10-27,169520,54,0.444,0.865,11,-2.4330000000000003,1,0.0464,0.000106,1.55e-05,0.0366,0.74,188.03599999999997,169520,4,"With dirt on your knees and blood in your teeth
You want life to lead you to believe in something
But it's coming
Oh oh, the numbing
So we dive on in to the deeper end
For a blissful kiss from Judas' lips
But it's coming
Oh yeah, the numbing

Super novacaine
(You're dead as dead can be)
You won't feel a thing
Sleepwalking
(You're dead as dead can be)
You won't feel a thing
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
1,1,Crosstown Traffic,1ntxpzIUbSsizvuAy6lTYY,rock,https://open.spotify.com/track/1ntxpzIUbSsizvuAy6lTYY,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",1968-10-25,146573,59,0.486,0.963,0,-5.586,0,0.129,0.248,2.39e-06,0.158,0.5329999999999999,113.133,146573,4,
2,2,Cowboys from Hell,2SgbR6ttzoNlCRGQOKjrop,rock,https://open.spotify.com/track/2SgbR6ttzoNlCRGQOKjrop,Pantera,14pVkFUHDL207LzLHtSA18,"['alternative metal', 'groove metal', 'hard rock', 'metal', 'nu metal', 'old school thrash', 'rock', 'texas metal', 'wrestling']",1990-07-20,243533,70,0.415,0.9079999999999999,2,-9.701,1,0.0765,0.004370000000000001,0.0345,0.08199999999999999,0.43700000000000006,114.816,243533,4,"Oh, come on!

Under the lights where we stand tall
Nobody touches us at all
Showdown, shootout, spread fear within, without
We're gonna take what's ours to have
Spread the word throughout the land
They say bad guys wear black
We're tagged and can't turn back

You see us comin'
And you all together run for cover
We're taking over this town

Here we come reach for your gun
And you better listen well, my friend, you see
It's been slowed down below
Aimed at you, we're the cowboys from hell
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
3,3,Voodoo,5uGsG0LfotfWDq6hql4h53,rock,https://open.spotify.com/track/5uGsG0LfotfWDq6hql4h53,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",1998-01-01,282653,65,0.778,0.613,10,-9.897,0,0.0488,0.17,2.56e-06,0.102,0.853,120.005,282653,4,"I'm not the one who's so far away
When I feel the snakebite enter my veins
Never did I wanna be here again
And I don't remember why I came

Candles raise my desire
Why I'm so far away
No more meaning to my life
No more reason to stay

Freezing feeling
Breathe in, breathe in
I'm coming back again

I'm not the one who's so far away
When I feel the snakebite enter my veins
Never did I wanna be here again
And I don't remember why I came

...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
4,4,Entre dos tierras,7BYqVvoXpQFhs4jJ0qqNZt,rock,https://open.spotify.com/track/7BYqVvoXpQFhs4jJ0qqNZt,Heroes Del Silencio,3qAPxVwIQRBuz5ImPUxpZT,"['latin alternative', 'latin rock', 'musica aragonesa', 'rock en espanol', 'spanish rock']",1990,368320,66,0.45799999999999996,0.746,11,-9.443999999999999,0,0.0318,0.0351,0.0,0.172,0.511,166.095,368320,4,"Te puedes vender
Cualquier oferta es buena, si quieres poder, uh
Y qué fácil es
Abrir tanto la boca para opinar

Y si te piensas echar atrás
Ya tienes muchas huellas que borrar, uh

Déjame, que yo no tengo la culpa de verte caer
Si yo no tengo la culpa de verte caer

Pierdes la fe
Cualquier esperanza es vana y no sé qué creer
Pe-pe-pe-pero, olvídame
Que nadie te ha llamado y ya estás otra vez, uh
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
5,5,There's A Reason Why (I Never Returned Your Calls),5pVbLYTdihSKd8Kylfhwa7,rock,https://open.spotify.com/track/5pVbLYTdihSKd8Kylfhwa7,Blossoms,22RISwgVJyZu9lpqAcv1F5,"['english indie rock', 'modern alternative rock', 'modern rock', 'rock']",2018-04-27,222488,56,0.493,0.882,11,-5.37,1,0.046,0.0166,2.97e-06,0.188,0.685,123.985,222489,4,"I wanna know
Since you've been gone
Have I been on
Your mind?
'Cause I know I was for a while

Late last night
I saw you out
For a moment I
Turned to stone
'Cause there's still something only we see

Don't talk
I'd have run to kiss your mouth
Is it me or
Just a dream that never dies?

There's a reason why
I never returned your calls
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
6,6,Somewhere I Belong,3agtg0x11wPvLIWkYR39nZ,rock,https://open.spotify.com/track/3agtg0x11wPvLIWkYR39nZ,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",2003-03-24,213933,64,0.451,0.951,1,-3.7539999999999996,1,0.0645,0.00037999999999999997,2.39e-06,0.261,0.442,162.065,213933,4,"When this began
I had nothing to say
And I get lost in the nothingness inside of me
(I was confused)
And I let it all out to find
That I'm not the only person with these things in mind

(Inside of me)
But all that they can see the words revealed
Is the only real thing that I've got left to feel
(Nothing to lose)
Just stuck, hollow and alone
And the fault is my own, and the fault is my own

I wanna heal, I wanna feel what I thought was never real
I wanna let go of the pain I've felt so long
(Erase all the pain 'til it's gone)
I wanna heal, I wanna feel like I'm close to something real
I wanna find something I've wanted all along
Somewhere I belong
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
7,7,Go With The Flow,0wzRcekWyVCSyPtlPOeJau,rock,https://open.spotify.com/track/0wzRcekWyVCSyPtlPOeJau,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,"['alternative metal', 'alternative rock', 'blues rock', 'modern rock', 'nu metal', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",2002-01-01,187146,66,0.24600000000000002,0.991,9,-3.903,1,0.087,0.00944,0.0753,0.867,0.415,159.39,187147,4,"She said I'll throw myself away
They're just photos, after all
I can't make you hang around
I can't wash you off my skin

Outside the frame
Is what we're leaving out
You won't remember anyway

I can go with the flow
Don't say it doesn't matter (with the flow), matter anymore
I can go with the flow (I can go)
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
8,8,Warrior,2TNPagu8Z4zvDOpmnktF00,rock,https://open.spotify.com/track/2TNPagu8Z4zvDOpmnktF00,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,"['alternative metal', 'nu metal', 'rap metal']",2010-08-20,204826,62,0.5489999999999999,0.9690000000000001,1,-2.763,1,0.049,1.1599999999999999e-05,0.106,0.10400000000000001,0.348,101.055,204827,4,"I am now, an instrument of violence
I am a vessel of invincibility
I cannot leave this undecided
Stepping down to battle another day
Remember me for all time this
Determination is a vital part of me
Surrender now or be counted
With the endless masses that I will defeat

Come on bring it
Don't sing it
Better believe it
Broken down till your hope has died
Beat down till victory's mine
Stand up and show me some pride
And now, are you ready?

I'm the one with the warrior inside

My dominance can't be denied
Your entire world will turn
Into a battlefield tonight
As I look upon you, through the warrior's eyes now
I can see the fear
That will ensure my victory this time
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
9,9,On My Teeth,11kXjnwkLFOCGZJoRmlBHe,rock,https://open.spotify.com/track/11kXjnwkLFOCGZJoRmlBHe,Underoath,3GzWhE2xadJiW8MqRKIVSK,"['christian metal', 'christian metalcore', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo', 'tampa indie']",2018-04-06,190840,47,0.414,0.9440000000000001,1,-4.215,1,0.0739,4.61e-05,0.0004980000000000001,0.201,0.131,165.047,190840,4,"Let's get this straight!

I'm fine without you
I'm not your fucking prey
So save yourself
And no one else

What you believe
What you believe
What you believe
Your life is a lie
Get over it
Get over it
Get over it

You got the best of me
And stabbed me in the back
I taste you on my teeth
You're like a heart attack
And I'm not okay
...

******* This Lyrics is NOT for Commercial use *******
(1409622095821)"
