,song_name,song_id,song_genre,url,artist,artist_id,artist_genre,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_,time_signature
0,Fabricando Fantasías,0EsDXIvOEJ7cpq6AfCFCTP,salsa,https://open.spotify.com/track/0EsDXIvOEJ7cpq6AfCFCTP,Tito Nieves,4vOycwLXdkMMzpZW04VW5m,"['latin', 'salsa', 'salsa puertorriquena', 'tropical']",2007-05-22,274373,0,0.722,0.755,9,-7.646,1,0.0457,0.244,0.0,0.113,0.943,90.684,274373,4
1,Hechicera,5Ms0w34mmZrsGB4K5hzCp1,salsa,https://open.spotify.com/track/5Ms0w34mmZrsGB4K5hzCp1,Oscar D'León,1c84wItoiAe1pEbpJMqUmQ,"['latin', 'latin jazz', 'salsa', 'salsa venezolana', 'tropical']",2009-06-04,301824,0,0.685,0.803,5,-10.992,0,0.0359,0.241,0.0123,0.304,0.967,97.817,301825,4
2,Ven devorame otra vez,767y6p0nJG8xPxPaa84Kxc,salsa,https://open.spotify.com/track/767y6p0nJG8xPxPaa84Kxc,Lalo Rodriguez,5LmwELEKyxDFxrbZzR8K4U,"['salsa', 'salsa international', 'salsa puertorriquena', 'tropical']",2007-05-12,312040,42,0.667,0.75,5,-5.581,0,0.0374,0.666,0.000137,0.332,0.967,84.222,312040,4
3,Ay Amor Cuando Hablan Las Miradas,13IiQQx5tFXgY11iE1sui8,salsa,https://open.spotify.com/track/13IiQQx5tFXgY11iE1sui8,Guayacán Orquesta,2pZ81eCkqxemIjqqfE1fhE,"['musica popular colombiana', 'salsa', 'salsa colombiana', 'tropical']",2012-04-21,257018,0,0.653,0.552,8,-11.327,1,0.0496,0.588,1.9e-06,0.0751,0.935,180.956,257019,4
4,You Sang To Me,2dwhMQsFeHr2S787WxqAqW,salsa,https://open.spotify.com/track/2dwhMQsFeHr2S787WxqAqW,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,"['latin', 'latin pop', 'modern salsa', 'salsa', 'tropical']",1999-09-28,347106,55,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66e-06,0.216,0.741,165.98,347107,4
5,"Frío, Frío - En Vivo Estadio Olímpico De República Dominicana/2012",2j5dy9SzXdQ71Y2jgtiFAJ,salsa,https://open.spotify.com/track/2j5dy9SzXdQ71Y2jgtiFAJ,"['Juan Luis Guerra 4.40', 'Romeo Santos']","['3nlpTZci9O5W8RsNoNH559', '5lwmRuXgjX8xIwlnauTZIP']","[['bachata', 'latin', 'latin pop', 'tropical'], ['bachata', 'latin']]",2013-01-01,235880,58,0.574,0.879,11,-2.336,1,0.0387,0.753,3.54e-06,0.952,0.499,125.284,235880,4
6,Lejos De Ti,1u3myea0ndESXsA2OifxCQ,salsa,https://open.spotify.com/track/1u3myea0ndESXsA2OifxCQ,Angel Canales,4bJWcXUgUrQl4E4ru6VapB,"['latin jazz', 'salsa', 'salsa international', 'salsa puertorriquena', 'tropical']",1975,255586,0,0.569,0.631,9,-6.372,1,0.0627,0.789,0.0,0.0446,0.886,101.953,255587,4
7,Que Locura Enamorarme De Ti,4Ih0JljQ3X3PbHfmuk05PR,salsa,https://open.spotify.com/track/4Ih0JljQ3X3PbHfmuk05PR,Eddie Santiago,5Wg6XnPTp0xXxFCjywwR9I,"['latin', 'salsa', 'salsa puertorriquena', 'tropical']",2006-01-01,309573,0,0.776,0.822,1,-5.663,1,0.0416,0.698,0.0,0.103,0.953,93.559,309573,4
8,"Todo Quedo, Quedo",1fgbDDNg1THQQxyql9XE0O,salsa,https://open.spotify.com/track/1fgbDDNg1THQQxyql9XE0O,Víctor Manuelle,4N5fp4zhTsVITZTVfsXpc2,"['latin', 'modern salsa', 'salsa', 'salsa peruana', 'salsa puertorriquena', 'tropical']",2010-06-08,306173,12,0.621,0.894,8,-3.54,1,0.0558,0.323,7.37e-05,0.308,0.961,102.21,306173,4
9,Tu Con El,6jCo1ni2ikRL8DWuegc92I,salsa,https://open.spotify.com/track/6jCo1ni2ikRL8DWuegc92I,Frankie Ruiz,4dLvccxeQIM5u80Ri0u9OV,"['latin', 'salsa', 'salsa puertorriquena', 'tropical']",1994-01-01,303306,59,0.827,0.791,7,-5.647,1,0.0498,0.181,0.000691,0.298,0.947,95.331,303307,4
10,Y Hubo Alguien,4lmOvO7Nc0Ppdz2hk8jpHj,salsa,https://open.spotify.com/track/4lmOvO7Nc0Ppdz2hk8jpHj,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,"['latin', 'latin pop', 'modern salsa', 'salsa', 'tropical']",1997-01-01,388360,63,0.474,0.879,4,-3.979,0,0.115,0.636,0.0,0.16,0.668,91.094,388360,4
11,17 Años,7EZWSz1IvboLZAZ4eY8UUF,salsa,https://open.spotify.com/track/7EZWSz1IvboLZAZ4eY8UUF,"['Los Ángeles Azules', 'Jay de la Cueva']","['0ZCO8oVkMj897cKgFH7fRW', '2PQW0MnXmZd19XKZQyoPgu']","[['gruperas inmortales', 'nu-cumbia', 'regional mexican', 'tropical'], []]",2013-05-21,181000,0,0.694,0.57,2,-6.515,0,0.0395,0.634,0.0,0.117,0.895,90.949,181000,4
